id,tau_coefficient,tau_p_value
1,0.5929994533288809,0.04437842734548687
2,0.5929994533288809,0.04437842734548687
3,0.4447495899966607,0.13158676028118635
4,0.3706246583305506,0.20891238174069848
5,0.6671243849949912,0.023709076464138768
6,0.8153742483272113,0.005702132761524342
7,0.4447495899966607,0.13158676028118635
10,0.8894991799933214,0.002563460923869317
15,0.29649972666444047,0.31477678305963597
19,0.6671243849949912,0.023709076464138768
24,0.5188745216627709,0.07854585095119067
25,0.6671243849949912,0.023709076464138768
26,0.5929994533288809,0.04437842734548687
29,0.7412493166611012,0.011966745157436275
36,0.0,1.0
39,0.8894991799933214,0.002563460923869317
40,0.5929994533288809,0.04437842734548687
41,0.7412493166611012,0.011966745157436275
44,0.6671243849949912,0.023709076464138768
55,0.8894991799933214,0.002563460923869317
56,0.5929994533288809,0.04437842734548687
57,0.8153742483272113,0.005702132761524342
58,0.6671243849949912,0.023709076464138768
