id,tau_coefficient,tau_p_value
1,0.7412493166611012,0.011966745157436275
2,0.5188745216627709,0.07854585095119067
3,-0.22237479499833035,0.45088703102517036
4,0.5929994533288809,0.04437842734548687
5,0.5188745216627709,0.07854585095119067
6,0.8153742483272113,0.005702132761524342
7,0.5929994533288809,0.04437842734548687
10,0.3706246583305506,0.20891238174069848
15,-0.14824986333222023,0.6152281670802446
19,0.7412493166611012,0.011966745157436275
24,0.6671243849949912,0.023709076464138768
25,0.8894991799933214,0.002563460923869317
26,0.4447495899966607,0.13158676028118635
29,0.3706246583305506,0.20891238174069848
36,-0.29649972666444047,0.31477678305963597
39,0.7412493166611012,0.011966745157436275
40,0.6671243849949912,0.023709076464138768
41,0.8153742483272113,0.005702132761524342
44,0.9636241116594316,0.00108670460090955
55,0.5188745216627709,0.07854585095119067
56,0.3706246583305506,0.20891238174069848
57,0.7412493166611012,0.011966745157436275
58,0.7412493166611012,0.011966745157436275
