Index,Group,Meter,Strat level,Beats + Length,Pulses + Prime Factors,Metrical Levels,Indispensability,Weights R=0.5,Weights R=0.3
0,k,2/2,16n,2-24,16 2 2 2 2,0 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4,15 0 0 0 0 0 8 0 0 4 0 0 12 0 0 2 0 0 10 0 0 6 0 0 14 0 0 1 0 0 9 0 0 5 0 0 13 0 0 3 0 0 11 0 0 7 0 0,1. 0 0 0.070312 0 0 0.15625 0 0 0.101562 0 0 0.375 0 0 0.085938 0 0 0.21875 0 0 0.117188 0 0 0.75 0 0 0.078125 0 0 0.1875 0 0 0.109375 0 0 0.5 0 0 0.09375 0 0 0.25 0 0 0.125 0 0,1. 0 0 0.010463 0 0 0.04275 0 0 0.019913 0 0 0.195 0 0 0.015188 0 0 0.07425 0 0 0.024638 0 0 0.65 0 0 0.012825 0 0 0.0585 0 0 0.022275 0 0 0.3 0 0 0.01755 0 0 0.09 0 0 0.027 0 0
1,k,2/4,16n,2-24,8 2 2 2,0 3 2 3 1 3 2 3,7 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 2 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 5 0 0 0 0 0 3 0 0 0 0 0,1. 0 0 0 0 0 0.15625 0 0 0 0 0 0.375 0 0 0 0 0 0.21875 0 0 0 0 0 0.75 0 0 0 0 0 0.1875 0 0 0 0 0 0.5 0 0 0 0 0 0.25 0 0 0 0 0,1. 0 0 0 0 0 0.04275 0 0 0 0 0 0.195 0 0 0 0 0 0.07425 0 0 0 0 0 0.65 0 0 0 0 0 0.0585 0 0 0 0 0 0.3 0 0 0 0 0 0.09 0 0 0 0 0
2,k,3/4,16n,3-24,12 3 2 2,0 3 2 3 1 3 2 3 1 3 2 3,11 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 3 0 0 0 0 0 9 0 0 0 0 0 1 0 0 0 0 0 7 0 0 0 0 0 4 0 0 0 0 0 10 0 0 0 0 0 2 0 0 0 0 0 8 0 0 0 0 0 5 0 0 0 0 0,1. 0 0 0 0 0 0.145833 0 0 0 0 0 0.333333 0 0 0 0 0 0.208333 0 0 0 0 0 0.666667 0 0 0 0 0 0.166667 0 0 0 0 0 0.416667 0 0 0 0 0 0.229167 0 0 0 0 0 0.833333 0 0 0 0 0 0.1875 0 0 0 0 0 0.5 0 0 0 0 0 0.25 0 0 0 0 0,1. 0 0 0 0 0 0.0375 0 0 0 0 0 0.16 0 0 0 0 0 0.069 0 0 0 0 0 0.533333 0 0 0 0 0 0.048 0 0 0 0 0 0.23 0 0 0 0 0 0.0795 0 0 0 0 0 0.766667 0 0 0 0 0 0.0585 0 0 0 0 0 0.3 0 0 0 0 0 0.09 0 0 0 0 0
3,k,4/4,16n,4-24,16 2 2 2 2,0 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4,15 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 4 0 0 0 0 0 12 0 0 0 0 0 2 0 0 0 0 0 10 0 0 0 0 0 6 0 0 0 0 0 14 0 0 0 0 0 1 0 0 0 0 0 9 0 0 0 0 0 5 0 0 0 0 0 13 0 0 0 0 0 3 0 0 0 0 0 11 0 0 0 0 0 7 0 0 0 0 0,1. 0 0 0 0 0 0.070312 0 0 0 0 0 0.15625 0 0 0 0 0 0.101562 0 0 0 0 0 0.375 0 0 0 0 0 0.085938 0 0 0 0 0 0.21875 0 0 0 0 0 0.117188 0 0 0 0 0 0.75 0 0 0 0 0 0.078125 0 0 0 0 0 0.1875 0 0 0 0 0 0.109375 0 0 0 0 0 0.5 0 0 0 0 0 0.09375 0 0 0 0 0 0.25 0 0 0 0 0 0.125 0 0 0 0 0,1. 0 0 0 0 0 0.010463 0 0 0 0 0 0.04275 0 0 0 0 0 0.019913 0 0 0 0 0 0.195 0 0 0 0 0 0.015188 0 0 0 0 0 0.07425 0 0 0 0 0 0.024638 0 0 0 0 0 0.65 0 0 0 0 0 0.012825 0 0 0 0 0 0.0585 0 0 0 0 0 0.022275 0 0 0 0 0 0.3 0 0 0 0 0 0.01755 0 0 0 0 0 0.09 0 0 0 0 0 0.027 0 0 0 0 0
4,c,5/4,16n,5-24,20 5 2 2,0 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3,19 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 5 0 0 0 0 0 15 0 0 0 0 0 1 0 0 0 0 0 11 0 0 0 0 0 6 0 0 0 0 0 16 0 0 0 0 0 3 0 0 0 0 0 13 0 0 0 0 0 8 0 0 0 0 0 18 0 0 0 0 0 2 0 0 0 0 0 12 0 0 0 0 0 7 0 0 0 0 0 17 0 0 0 0 0 4 0 0 0 0 0 14 0 0 0 0 0 9 0 0 0 0 0,1. 0 0 0 0 0 0.1375 0 0 0 0 0 0.3 0 0 0 0 0 0.2 0 0 0 0 0 0.6 0 0 0 0 0 0.15 0 0 0 0 0 0.35 0 0 0 0 0 0.2125 0 0 0 0 0 0.7 0 0 0 0 0 0.175 0 0 0 0 0 0.45 0 0 0 0 0 0.2375 0 0 0 0 0 0.9 0 0 0 0 0 0.1625 0 0 0 0 0 0.4 0 0 0 0 0 0.225 0 0 0 0 0 0.8 0 0 0 0 0 0.1875 0 0 0 0 0 0.5 0 0 0 0 0 0.25 0 0 0 0 0,1. 0 0 0 0 0 0.0333 0 0 0 0 0 0.132 0 0 0 0 0 0.0648 0 0 0 0 0 0.44 0 0 0 0 0 0.0396 0 0 0 0 0 0.174 0 0 0 0 0 0.0711 0 0 0 0 0 0.58 0 0 0 0 0 0.0522 0 0 0 0 0 0.258 0 0 0 0 0 0.0837 0 0 0 0 0 0.86 0 0 0 0 0 0.0459 0 0 0 0 0 0.216 0 0 0 0 0 0.0774 0 0 0 0 0 0.72 0 0 0 0 0 0.0585 0 0 0 0 0 0.3 0 0 0 0 0 0.09 0 0 0 0 0
5,m,6/4,16n,2-24,24 2 3 2 2,0 4 3 4 2 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 2 4 3 4,23 0 0 0 12 0 6 0 18 0 2 0 14 0 8 0 20 0 4 0 16 0 10 0 22 0 1 0 13 0 7 0 19 0 3 0 15 0 9 0 21 0 5 0 17 0 11 0,1. 0 0.067708 0 0.145833 0 0.098958 0 0.3125 0 0.078125 0 0.1875 0 0.109375 0 0.4375 0 0.088542 0 0.229167 0 0.119792 0 0.75 0 0.072917 0 0.166667 0 0.104167 0 0.375 0 0.083333 0 0.208333 0 0.114583 0 0.5 0 0.09375 0 0.25 0 0.125 0,1. 0 0.009675 0 0.0375 0 0.019125 0 0.1425 0 0.012825 0 0.0585 0 0.022275 0 0.2475 0 0.015975 0 0.0795 0 0.025425 0 0.65 0 0.01125 0 0.048 0 0.0207 0 0.195 0 0.0144 0 0.069 0 0.02385 0 0.3 0 0.01755 0 0.09 0 0.027 0
6,c,7/4,16n,7-24,28 7 2 2,0 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3,27 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 7 0 0 0 0 0 21 0 0 0 0 0 4 0 0 0 0 0 18 0 0 0 0 0 11 0 0 0 0 0 25 0 0 0 0 0 1 0 0 0 0 0 15 0 0 0 0 0 8 0 0 0 0 0 22 0 0 0 0 0 5 0 0 0 0 0 19 0 0 0 0 0 12 0 0 0 0 0 26 0 0 0 0 0 2 0 0 0 0 0 16 0 0 0 0 0 9 0 0 0 0 0 23 0 0 0 0 0 3 0 0 0 0 0 17 0 0 0 0 0 10 0 0 0 0 0 24 0 0 0 0 0 6 0 0 0 0 0 20 0 0 0 0 0 13 0 0 0 0 0,1. 0 0 0 0 0 0.133929 0 0 0 0 0 0.285714 0 0 0 0 0 0.196429 0 0 0 0 0 0.571429 0 0 0 0 0 0.169643 0 0 0 0 0 0.428571 0 0 0 0 0 0.232143 0 0 0 0 0 0.857143 0 0 0 0 0 0.142857 0 0 0 0 0 0.321429 0 0 0 0 0 0.205357 0 0 0 0 0 0.642857 0 0 0 0 0 0.178571 0 0 0 0 0 0.464286 0 0 0 0 0 0.241071 0 0 0 0 0 0.928571 0 0 0 0 0 0.151786 0 0 0 0 0 0.357143 0 0 0 0 0 0.214286 0 0 0 0 0 0.714286 0 0 0 0 0 0.160714 0 0 0 0 0 0.392857 0 0 0 0 0 0.223214 0 0 0 0 0 0.785714 0 0 0 0 0 0.1875 0 0 0 0 0 0.5 0 0 0 0 0 0.25 0 0 0 0 0,1. 0 0 0 0 0 0.0315 0 0 0 0 0 0.12 0 0 0 0 0 0.063 0 0 0 0 0 0.4 0 0 0 0 0 0.0495 0 0 0 0 0 0.24 0 0 0 0 0 0.081 0 0 0 0 0 0.8 0 0 0 0 0 0.036 0 0 0 0 0 0.15 0 0 0 0 0 0.0675 0 0 0 0 0 0.5 0 0 0 0 0 0.054 0 0 0 0 0 0.27 0 0 0 0 0 0.0855 0 0 0 0 0 0.9 0 0 0 0 0 0.0405 0 0 0 0 0 0.18 0 0 0 0 0 0.072 0 0 0 0 0 0.6 0 0 0 0 0 0.045 0 0 0 0 0 0.21 0 0 0 0 0 0.0765 0 0 0 0 0 0.7 0 0 0 0 0 0.0585 0 0 0 0 0 0.3 0 0 0 0 0 0.09 0 0 0 0 0
7,m,9/4,16n,3-24,36 3 3 2 2,0 4 3 4 2 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 2 4 3 4,35 0 0 0 18 0 9 0 27 0 3 0 21 0 12 0 30 0 6 0 24 0 15 0 33 0 1 0 19 0 10 0 28 0 4 0 22 0 13 0 31 0 7 0 25 0 16 0 34 0 2 0 20 0 11 0 29 0 5 0 23 0 14 0 32 0 8 0 26 0 17 0,1. 0 0.065972 0 0.138889 0 0.097222 0 0.291667 0 0.076389 0 0.180556 0 0.107639 0 0.416667 0 0.086806 0 0.222222 0 0.118056 0 0.666667 0 0.069444 0 0.152778 0 0.100694 0 0.333333 0 0.079861 0 0.194444 0 0.111111 0 0.458333 0 0.090278 0 0.236111 0 0.121528 0 0.833333 0 0.072917 0 0.166667 0 0.104167 0 0.375 0 0.083333 0 0.208333 0 0.114583 0 0.5 0 0.09375 0 0.25 0 0.125 0,1. 0 0.00915 0 0.034 0 0.0186 0 0.125 0 0.0123 0 0.055 0 0.02175 0 0.23 0 0.01545 0 0.076 0 0.0249 0 0.533333 0 0.0102 0 0.041 0 0.01965 0 0.16 0 0.01335 0 0.062 0 0.0228 0 0.265 0 0.0165 0 0.083 0 0.02595 0 0.766667 0 0.01125 0 0.048 0 0.0207 0 0.195 0 0.0144 0 0.069 0 0.02385 0 0.3 0 0.01755 0 0.09 0 0.027 0
8,m,12/4,16n,4-24,48 2 2 3 2 2,0 5 4 5 3 5 4 5 3 5 4 5 2 5 4 5 3 5 4 5 3 5 4 5 1 5 4 5 3 5 4 5 3 5 4 5 2 5 4 5 3 5 4 5 3 5 4 5,47 0 0 0 24 0 12 0 36 0 4 0 28 0 16 0 40 0 8 0 32 0 20 0 44 0 2 0 26 0 14 0 38 0 6 0 30 0 18 0 42 0 10 0 34 0 22 0 46 0 1 0 25 0 13 0 37 0 5 0 29 0 17 0 41 0 9 0 33 0 21 0 45 0 3 0 27 0 15 0 39 0 7 0 31 0 19 0 43 0 11 0 35 0 23 0,1. 0 0.032552 0 0.067708 0 0.048177 0 0.140625 0 0.03776 0 0.088542 0 0.053385 0 0.203125 0 0.042969 0 0.109375 0 0.058594 0 0.375 0 0.035156 0 0.078125 0 0.050781 0 0.171875 0 0.040365 0 0.098958 0 0.05599 0 0.234375 0 0.045573 0 0.119792 0 0.061198 0 0.75 0 0.033854 0 0.072917 0 0.049479 0 0.15625 0 0.039062 0 0.09375 0 0.054688 0 0.21875 0 0.044271 0 0.114583 0 0.059896 0 0.5 0 0.036458 0 0.083333 0 0.052083 0 0.1875 0 0.041667 0 0.104167 0 0.057292 0 0.25 0 0.046875 0 0.125 0 0.0625 0,1. 0 0.002666 0 0.009675 0 0.005501 0 0.034875 0 0.003611 0 0.015975 0 0.006446 0 0.066375 0 0.004556 0 0.022275 0 0.007391 0 0.195 0 0.003139 0 0.012825 0 0.005974 0 0.050625 0 0.004084 0 0.019125 0 0.006919 0 0.082125 0 0.005029 0 0.025425 0 0.007864 0 0.65 0 0.002903 0 0.01125 0 0.005738 0 0.04275 0 0.003848 0 0.01755 0 0.006683 0 0.07425 0 0.004793 0 0.02385 0 0.007628 0 0.3 0 0.003375 0 0.0144 0 0.00621 0 0.0585 0 0.00432 0 0.0207 0 0.007155 0 0.09 0 0.005265 0 0.027 0 0.0081 0
9,c,5/8,16n,5-24,10 5 2,0 2 1 2 1 2 1 2 1 2,9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0,1. 0 0 0 0 0 0 0 0 0 0 0 0.3 0 0 0 0 0 0 0 0 0 0 0 0.6 0 0 0 0 0 0 0 0 0 0 0 0.35 0 0 0 0 0 0 0 0 0 0 0 0.7 0 0 0 0 0 0 0 0 0 0 0 0.45 0 0 0 0 0 0 0 0 0 0 0 0.9 0 0 0 0 0 0 0 0 0 0 0 0.4 0 0 0 0 0 0 0 0 0 0 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0,1. 0 0 0 0 0 0 0 0 0 0 0 0.132 0 0 0 0 0 0 0 0 0 0 0 0.44 0 0 0 0 0 0 0 0 0 0 0 0.174 0 0 0 0 0 0 0 0 0 0 0 0.58 0 0 0 0 0 0 0 0 0 0 0 0.258 0 0 0 0 0 0 0 0 0 0 0 0.86 0 0 0 0 0 0 0 0 0 0 0 0.216 0 0 0 0 0 0 0 0 0 0 0 0.72 0 0 0 0 0 0 0 0 0 0 0 0.3 0 0 0 0 0 0 0 0 0 0 0
