,2/2,4/4,2/4,6/8,12/4,12/8,6/4,5/8,9/8,9/4,7/4,3/4,7/8,5/4
2/2,0.0,0.0,0.6843871413472937,16.353206557271825,17.298453082751973,17.850828662621215,18.401404183515773,18.46107393830861,18.594701189755288,19.978995049958215,25.265820088582135,28.432970106639296,34.010535245597595,35.1561443320996
4/4,0.0,0.0,0.6843871413472937,16.353206557271825,17.298453082751973,17.850828662621215,18.401404183515773,18.46107393830861,18.594701189755288,19.978995049958215,25.265820088582135,28.432970106639296,34.010535245597595,35.1561443320996
2/4,0.6843871413472937,0.6843871413472937,0.0,16.427084826636968,17.279784262109146,17.94303323255838,18.50578478805124,18.477226060803872,18.593341538180585,19.937734219401737,25.34666740515811,28.523456686478596,34.057016770868444,35.18845094481881
6/8,16.353206557271825,16.353206557271825,16.427084826636968,0.0,17.749168896501704,12.524315356422848,14.09983663424629,21.092569834596933,14.959413871831158,17.304401555270093,25.62511733122233,19.138310024481502,36.06434781931511,35.55850362997119
12/4,17.298453082751973,17.298453082751973,17.279784262109146,17.749168896501704,0.0,14.2321979164725,11.238987135435892,24.402031991131086,24.246145903897418,20.24135471340572,27.69901165497887,27.24092276646472,37.53756644426048,35.95347786062469
12/8,17.850828662621215,17.850828662621215,17.94303323255838,12.524315356422848,14.2321979164725,0.0,9.637393043132661,25.55795116789392,20.705711544837758,20.060721408527883,24.828645223407875,22.957099465957935,37.173356518992804,36.915252557914904
6/4,18.401404183515773,18.401404183515773,18.50578478805124,14.09983663424629,11.238987135435892,9.637393043132661,0.0,24.89383483838249,23.000457607124755,21.32478376973932,24.761561058104085,22.898955162697447,36.50422715655989,36.204678305421304
5/8,18.46107393830861,18.46107393830861,18.477226060803872,21.092569834596933,24.402031991131086,25.55795116789392,24.89383483838249,0.0,24.530438325091687,25.672642935938065,29.55751784145341,29.156415720450376,37.83840210519596,30.85212169450442
9/8,18.594701189755288,18.594701189755288,18.593341538180585,14.959413871831158,24.246145903897418,20.705711544837758,23.000457607124755,24.530438325091687,0.0,21.70201885681352,29.510552349524016,24.481799478143923,37.222109712419005,36.584387410995475
9/4,19.978995049958215,19.978995049958215,19.937734219401737,17.304401555270093,20.24135471340572,20.060721408527883,21.32478376973932,25.672642935938065,21.70201885681352,0.0,30.88208204869528,26.149157591027354,38.67192816632699,37.541295556916005
7/4,25.265820088582135,25.265820088582135,25.34666740515811,25.62511733122233,27.69901165497887,24.828645223407875,24.761561058104085,29.55751784145341,29.510552349524016,30.88208204869528,0.0,27.936758925379312,37.18389094757981,33.918231983026736
3/4,28.432970106639296,28.432970106639296,28.523456686478596,19.138310024481502,27.24092276646472,22.957099465957935,22.898955162697447,29.156415720450376,24.481799478143923,26.149157591027354,27.936758925379312,0.0,30.69617890438257,34.125076228529075
7/8,34.010535245597595,34.010535245597595,34.057016770868444,36.06434781931511,37.53756644426048,37.173356518992804,36.50422715655989,37.83840210519596,37.222109712419005,38.67192816632699,37.18389094757981,30.69617890438257,0.0,43.07658936140947
5/4,35.1561443320996,35.1561443320996,35.18845094481881,35.55850362997119,35.95347786062469,36.915252557914904,36.204678305421304,30.85212169450442,36.584387410995475,37.541295556916005,33.918231983026736,34.125076228529075,43.07658936140947,0.0
