,4/4,6/4,6/8,12/4,12/8,2/4,2/2,5/8,5/4,3/4,7/8,7/4,9/4,9/8
4/4,0.0,11.282811674395193,11.28344039508639,11.75139858981556,11.75198360527316,12.245661643465748,12.262429079719205,16.393690096262397,16.410347637831,16.70573267231576,17.620692566203356,17.657037815202585,18.42306882095588,18.42366258351994
6/4,11.282811674395193,0.0,0.17943368156025197,14.115769675035166,14.116202942456754,6.37917566937267,6.403063821310861,14.283062507618181,14.322829817394481,16.07069673664522,16.5195260249062,16.596165755682783,14.892948876552977,14.892395850511972
6/8,11.28344039508639,0.17943368156025197,0.0,14.114822531879518,14.11464520299275,6.395661325812598,6.419258952444759,14.2818757524909,14.325733683390066,16.067330323462215,16.518507312878985,16.59726391809414,14.892934539049765,14.89091630905358
12/4,11.75139858981556,14.115769675035166,14.114822531879518,0.0,0.05704803180007531,15.782122759050464,15.79293725866541,17.419447696853094,17.442355569904706,19.908149675302838,20.497933907194227,20.503163039649465,20.792464477536758,20.787260867929742
12/8,11.75198360527316,14.116202942456754,14.11464520299275,0.05704803180007531,0.0,15.783967050026083,15.794776561009764,17.41934447086152,17.443529454602054,19.907667207721715,20.49782686816184,20.50334528475414,20.79267975673984,20.787125834213324
2/4,12.245661643465748,6.37917566937267,6.395661325812598,15.782122759050464,15.783967050026083,0.0,0.9816719338482303,13.968639800234874,13.957798367904088,16.78539969070689,16.36306345389738,16.455206817581992,16.13632104891534,16.138462993094404
2/2,12.262429079719205,6.403063821310861,6.419258952444759,15.79293725866541,15.794776561009764,0.9816719338482303,0.0,13.974978003832206,13.963206745795393,16.754782826944428,16.424598790861626,16.52334500958803,16.095115735745466,16.09718840529633
5/8,16.393690096262397,14.283062507618181,14.2818757524909,17.419447696853094,17.41934447086152,13.968639800234874,13.974978003832206,0.0,1.362698728389227,16.23555057577915,17.028098768411212,17.098040149791597,15.624532000066752,15.621588067027751
5/4,16.410347637831,14.322829817394481,14.325733683390066,17.442355569904706,17.443529454602054,13.957798367904088,13.963206745795393,1.362698728389227,0.0,16.147189427096983,17.107936003998883,17.17691797274757,15.654511130121422,15.653681702102704
3/4,16.70573267231576,16.07069673664522,16.067330323462215,19.908149675302838,19.907667207721715,16.78539969070689,16.754782826944428,16.23555057577915,16.147189427096983,0.0,18.882717758438968,19.02982227145539,9.580027917893737,9.578912003015876
7/8,17.620692566203356,16.5195260249062,16.518507312878985,20.497933907194227,20.49782686816184,16.36306345389738,16.424598790861626,17.028098768411212,17.107936003998883,18.882717758438968,0.0,1.3672125465302953,17.142742529157847,17.141362254184585
7/4,17.657037815202585,16.596165755682783,16.59726391809414,20.503163039649465,20.50334528475414,16.455206817581992,16.52334500958803,17.098040149791597,17.17691797274757,19.02982227145539,1.3672125465302953,0.0,17.267564185501048,17.266593381186848
9/4,18.42306882095588,14.892948876552977,14.892934539049765,20.792464477536758,20.79267975673984,16.13632104891534,16.095115735745466,15.624532000066752,15.654511130121422,9.580027917893737,17.142742529157847,17.267564185501048,0.0,0.200175665698408
9/8,18.42366258351994,14.892395850511972,14.89091630905358,20.787260867929742,20.787125834213324,16.138462993094404,16.09718840529633,15.621588067027751,15.653681702102704,9.578912003015876,17.141362254184585,17.266593381186848,0.200175665698408,0.0
