Meter,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c12,c14,c16,bc1,bc2,bc3,bc4,bc6,bc8,bc12,bc24
c1,0.0,0.0,0.9985283792228454,1.0,1.4090385954289635,1.405967348855055,1.7203079548323494,1.7320508075688772,1.9977672979278003,1.9806758753205744,2.225643361388572,2.4328828411822303,2.6457513110645907,0.0,0.0,0.9985283792228454,1.0,1.405967348855055,1.7320508075688772,2.225643361388572,3.2613438390276546
c2,0.0,0.0,0.9985283792228454,1.0,1.4090385954289635,1.405967348855055,1.7203079548323494,1.7320508075688772,1.9977672979278003,1.9806758753205744,2.225643361388572,2.4328828411822303,2.6457513110645907,0.0,0.0,0.9985283792228454,1.0,1.405967348855055,1.7320508075688772,2.225643361388572,3.2613438390276546
c3,0.9985283792228454,0.9985283792228454,0.0,1.413173352463668,1.7219393591550092,0.9927230311585716,1.9861975052672243,1.9934059072973338,1.7303420614635663,2.211231908562089,1.9905384202871277,2.62103537337058,2.8237682467312903,0.9985283792228454,0.9985283792228454,0.0,1.413173352463668,0.9927230311585716,1.9934059072973338,1.9905384202871277,3.105659103460937
c4,1.0,1.0,1.413173352463668,0.0,1.7278280479863808,1.7253243712550146,1.9830361651852022,1.4142135623730951,2.226204495856456,2.2188007849009166,1.9883380930045633,2.6200887131669544,2.449489742783178,1.0,1.0,1.413173352463668,0.0,1.7253243712550146,1.4142135623730951,1.9883380930045633,3.104249287084341
c5,1.4090385954289635,1.4090385954289635,1.7219393591550092,1.7278280479863808,0.0,1.9827827020761186,2.2219900250831497,2.232798639243679,2.4351867534761538,1.3954575013025874,2.628340052142946,2.799863192873173,2.98458034914388,1.4090385954289635,1.4090385954289635,1.7219393591550092,1.7278280479863808,1.9827827020761186,2.232798639243679,2.628340052142946,3.535776872947548
c6,1.405967348855055,1.405967348855055,0.9927230311585716,1.7253243712550146,1.9827827020761186,0.0,2.211406917125668,2.220412699959072,1.9890687404178684,2.416401914229343,1.7253243712550146,2.7935455822620816,2.9883494705505136,1.405967348855055,1.405967348855055,0.9927230311585716,1.7253243712550146,0.0,2.220412699959072,1.7253243712550146,2.9427231351788983
c7,1.7203079548323494,1.7203079548323494,1.9861975052672243,1.9830361651852022,2.2219900250831497,2.211406917125668,0.0,2.4245367347966456,2.6187922319639334,2.611146743882335,2.7904501775858566,1.720307954832349,3.142988765232606,1.7203079548323494,1.7203079548323494,1.9861975052672243,1.9830361651852022,2.211406917125668,2.4245367347966456,2.7904501775858566,3.652100469296791
c8,1.7320508075688772,1.7320508075688772,1.9934059072973338,1.4142135623730951,2.232798639243679,2.220412699959072,2.4245367347966456,0.0,2.6240828909878218,2.631174057921088,2.420839754357787,2.9591817714964312,2.0,1.7320508075688772,1.7320508075688772,1.9934059072973338,1.4142135623730951,2.220412699959072,0.0,2.420839754357787,2.7633971188310302
c9,1.9977672979278003,1.9977672979278003,1.7303420614635663,2.226204495856456,2.4351867534761538,1.9890687404178684,2.6187922319639334,2.6240828909878218,0.0,2.8098501227702926,2.6131765106343954,3.1166795682049266,3.299365244827406,1.9977672979278003,1.9977672979278003,1.7303420614635663,2.226204495856456,1.9890687404178684,2.6240828909878218,2.6131765106343954,3.5183282941309195
c10,1.9806758753205744,1.9806758753205744,2.211231908562089,2.2188007849009166,1.3954575013025874,2.416401914229343,2.611146743882335,2.631174057921088,2.8098501227702926,0.0,2.9691315897308668,3.1165843022606845,3.2816506165694674,1.9806758753205744,1.9806758753205744,2.211231908562089,2.2188007849009166,2.416401914229343,2.631174057921088,2.9691315897308668,3.7843993343301294
c12,2.225643361388572,2.225643361388572,1.9905384202871277,1.9883380930045633,2.628340052142946,1.7253243712550146,2.7904501775858566,2.420839754357787,2.6131765106343954,2.9691315897308668,0.0,3.258793644139631,3.140137754347581,2.225643361388572,2.225643361388572,1.9905384202871277,1.9883380930045633,1.7253243712550146,2.420839754357787,0.0,2.383878198287533
c14,2.4328828411822303,2.4328828411822303,2.62103537337058,2.6200887131669544,2.799863192873173,2.7935455822620816,1.720307954832349,2.9591817714964312,3.1166795682049266,3.1165843022606845,3.258793644139631,0.0,3.5716602241474145,2.4328828411822303,2.4328828411822303,2.62103537337058,2.6200887131669544,2.7935455822620816,2.9591817714964312,3.258793644139631,4.004910990185929
c16,2.6457513110645907,2.6457513110645907,2.8237682467312903,2.449489742783178,2.98458034914388,2.9883494705505136,3.142988765232606,2.0,3.299365244827406,3.2816506165694674,3.140137754347581,3.5716602241474145,0.0,2.6457513110645907,2.6457513110645907,2.8237682467312903,2.449489742783178,2.9883494705505136,2.0,3.140137754347581,3.411211461689767
bc1,0.0,0.0,0.9985283792228454,1.0,1.4090385954289635,1.405967348855055,1.7203079548323494,1.7320508075688772,1.9977672979278003,1.9806758753205744,2.225643361388572,2.4328828411822303,2.6457513110645907,0.0,0.0,0.9985283792228454,1.0,1.405967348855055,1.7320508075688772,2.225643361388572,3.2613438390276546
bc2,0.0,0.0,0.9985283792228454,1.0,1.4090385954289635,1.405967348855055,1.7203079548323494,1.7320508075688772,1.9977672979278003,1.9806758753205744,2.225643361388572,2.4328828411822303,2.6457513110645907,0.0,0.0,0.9985283792228454,1.0,1.405967348855055,1.7320508075688772,2.225643361388572,3.2613438390276546
bc3,0.9985283792228454,0.9985283792228454,0.0,1.413173352463668,1.7219393591550092,0.9927230311585716,1.9861975052672243,1.9934059072973338,1.7303420614635663,2.211231908562089,1.9905384202871277,2.62103537337058,2.8237682467312903,0.9985283792228454,0.9985283792228454,0.0,1.413173352463668,0.9927230311585716,1.9934059072973338,1.9905384202871277,3.105659103460937
bc4,1.0,1.0,1.413173352463668,0.0,1.7278280479863808,1.7253243712550146,1.9830361651852022,1.4142135623730951,2.226204495856456,2.2188007849009166,1.9883380930045633,2.6200887131669544,2.449489742783178,1.0,1.0,1.413173352463668,0.0,1.7253243712550146,1.4142135623730951,1.9883380930045633,3.104249287084341
bc6,1.405967348855055,1.405967348855055,0.9927230311585716,1.7253243712550146,1.9827827020761186,0.0,2.211406917125668,2.220412699959072,1.9890687404178684,2.416401914229343,1.7253243712550146,2.7935455822620816,2.9883494705505136,1.405967348855055,1.405967348855055,0.9927230311585716,1.7253243712550146,0.0,2.220412699959072,1.7253243712550146,2.9427231351788983
bc8,1.7320508075688772,1.7320508075688772,1.9934059072973338,1.4142135623730951,2.232798639243679,2.220412699959072,2.4245367347966456,0.0,2.6240828909878218,2.631174057921088,2.420839754357787,2.9591817714964312,2.0,1.7320508075688772,1.7320508075688772,1.9934059072973338,1.4142135623730951,2.220412699959072,0.0,2.420839754357787,2.7633971188310302
bc12,2.225643361388572,2.225643361388572,1.9905384202871277,1.9883380930045633,2.628340052142946,1.7253243712550146,2.7904501775858566,2.420839754357787,2.6131765106343954,2.9691315897308668,0.0,3.258793644139631,3.140137754347581,2.225643361388572,2.225643361388572,1.9905384202871277,1.9883380930045633,1.7253243712550146,2.420839754357787,0.0,2.383878198287533
bc24,3.2613438390276546,3.2613438390276546,3.105659103460937,3.104249287084341,3.535776872947548,2.9427231351788983,3.652100469296791,2.7633971188310302,3.5183282941309195,3.7843993343301294,2.383878198287533,4.004910990185929,3.411211461689767,3.2613438390276546,3.2613438390276546,3.105659103460937,3.104249287084341,2.9427231351788983,2.7633971188310302,2.383878198287533,0.0
