Meter,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c12,c14,c16,bc1,bc2,bc3,bc4,bc6,bc8,bc12,bc24
c1,0.0,0.0,0.9985283792228454,1.0,1.4090385954289637,1.4059673488550548,1.7203079548323494,1.7320508075688772,1.9977672979278005,1.9806758753205744,2.225643361388572,2.4328828411822303,2.6457513110645907,0.0,0.0,0.9985283792228454,1.0,1.4059673488550548,1.7320508075688772,2.225643361388572,3.2613438390276546
c2,0.0,0.0,0.9985283792228454,1.0,1.4090385954289637,1.4059673488550548,1.7203079548323494,1.7320508075688772,1.9977672979278005,1.9806758753205744,2.225643361388572,2.4328828411822303,2.6457513110645907,0.0,0.0,0.9985283792228454,1.0,1.4059673488550548,1.7320508075688772,2.225643361388572,3.2613438390276546
c3,0.9985283792228454,0.9985283792228454,0.0,1.4090291046251149,1.703818114241593,0.9851504736828418,1.9565593751045711,1.9880347076139728,1.7085095454837456,2.1580691522575792,1.968507919044107,2.5827085061557944,2.806760739417626,0.9985283792228454,0.9985283792228454,0.0,1.4090291046251149,0.9851504736828418,1.9880347076139728,1.968507919044107,3.0741860595131527
c4,1.0,1.0,1.4090291046251149,0.0,1.7221998396470346,1.7253243712550144,1.9802114713553232,1.4142135623730951,2.2262044958564564,2.2188007849009166,1.9883380930045633,2.6200887131669544,2.449489742783178,1.0,1.0,1.4090291046251149,0.0,1.7253243712550144,1.4142135623730951,1.9883380930045633,3.104249287084341
c5,1.4090385954289637,1.4090385954289637,1.703818114241593,1.7221998396470346,0.0,1.9298937074540903,2.15159059470763,2.2197155980494347,2.36307297695408,1.382573195668337,2.532245773490153,2.6974489686452614,2.96371760952992,1.4090385954289637,1.4090385954289637,1.703818114241593,1.7221998396470346,1.9298937074540903,2.2197155980494347,2.532245773490153,3.4023067229335435
c6,1.4059673488550548,1.4059673488550548,0.9851504736828418,1.7253243712550144,1.9298937074540903,0.0,2.171199042861143,2.2160701277379324,1.9515387473334092,2.336816456811431,1.6916300351260647,2.7380029116737132,2.964696623625035,1.4059673488550548,1.4059673488550548,0.9851504736828418,1.7253243712550144,0.0,2.2160701277379324,1.6916300351260647,2.898945441125816
c7,1.7203079548323494,1.7203079548323494,1.9565593751045711,1.9802114713553232,2.15159059470763,2.171199042861143,0.0,2.4188039288373004,2.520027661569704,2.4997805726753914,2.6814332308529103,1.6744300662529432,3.109036391182777,1.7203079548323494,1.7203079548323494,1.9565593751045711,1.9802114713553232,2.171199042861143,2.4188039288373004,2.6814332308529103,3.4822620673974134
c8,1.7320508075688772,1.7320508075688772,1.9880347076139728,1.4142135623730951,2.2197155980494347,2.2160701277379324,2.4188039288373004,0.0,2.624082890987822,2.631174057921088,2.4208397543577864,2.9591817714964317,2.0,1.7320508075688772,1.7320508075688772,1.9880347076139728,1.4142135623730951,2.2160701277379324,0.0,2.4208397543577864,2.76339711883103
c9,1.9977672979278005,1.9977672979278005,1.7085095454837456,2.2262044958564564,2.36307297695408,1.9515387473334092,2.520027661569704,2.624082890987822,0.0,2.6901997171903758,2.5469878676973092,2.9660067137419768,3.259827666174672,1.9977672979278005,1.9977672979278005,1.7085095454837456,2.2262044958564564,1.9515387473334092,2.624082890987822,2.5469878676973092,3.4023567369454994
c10,1.9806758753205744,1.9806758753205744,2.1580691522575792,2.2188007849009166,1.382573195668337,2.336816456811431,2.4997805726753914,2.631174057921088,2.6901997171903758,0.0,2.814826250282722,2.9611630264259143,3.2617183044660427,1.9806758753205744,1.9806758753205744,2.1580691522575792,2.2188007849009166,2.336816456811431,2.631174057921088,2.814826250282722,3.5699815733760727
c12,2.225643361388572,2.225643361388572,1.968507919044107,1.9883380930045633,2.532245773490153,1.6916300351260647,2.6814332308529103,2.4208397543577864,2.5469878676973092,2.814826250282722,0.0,3.101893437904802,3.1103727436838122,2.225643361388572,2.225643361388572,1.968507919044107,1.9883380930045633,1.6916300351260647,2.4208397543577864,0.0,2.3492613507468145
c14,2.4328828411822303,2.4328828411822303,2.5827085061557944,2.6200887131669544,2.6974489686452614,2.7380029116737132,1.6744300662529432,2.9591817714964317,2.9660067137419768,2.9611630264259143,3.101893437904802,0.0,3.52859474173201,2.4328828411822303,2.4328828411822303,2.5827085061557944,2.6200887131669544,2.7380029116737132,2.9591817714964317,3.101893437904802,3.7416339423188854
c16,2.6457513110645907,2.6457513110645907,2.806760739417626,2.449489742783178,2.96371760952992,2.964696623625035,3.109036391182777,2.0,3.259827666174672,3.2617183044660427,3.1103727436838122,3.52859474173201,0.0,2.6457513110645907,2.6457513110645907,2.806760739417626,2.449489742783178,2.964696623625035,2.0,3.1103727436838122,3.4112114616897675
bc1,0.0,0.0,0.9985283792228454,1.0,1.4090385954289637,1.4059673488550548,1.7203079548323494,1.7320508075688772,1.9977672979278005,1.9806758753205744,2.225643361388572,2.4328828411822303,2.6457513110645907,0.0,0.0,0.9985283792228454,1.0,1.4059673488550548,1.7320508075688772,2.225643361388572,3.2613438390276546
bc2,0.0,0.0,0.9985283792228454,1.0,1.4090385954289637,1.4059673488550548,1.7203079548323494,1.7320508075688772,1.9977672979278005,1.9806758753205744,2.225643361388572,2.4328828411822303,2.6457513110645907,0.0,0.0,0.9985283792228454,1.0,1.4059673488550548,1.7320508075688772,2.225643361388572,3.2613438390276546
bc3,0.9985283792228454,0.9985283792228454,0.0,1.4090291046251149,1.703818114241593,0.9851504736828418,1.9565593751045711,1.9880347076139728,1.7085095454837456,2.1580691522575792,1.968507919044107,2.5827085061557944,2.806760739417626,0.9985283792228454,0.9985283792228454,0.0,1.4090291046251149,0.9851504736828418,1.9880347076139728,1.968507919044107,3.0741860595131527
bc4,1.0,1.0,1.4090291046251149,0.0,1.7221998396470346,1.7253243712550144,1.9802114713553232,1.4142135623730951,2.2262044958564564,2.2188007849009166,1.9883380930045633,2.6200887131669544,2.449489742783178,1.0,1.0,1.4090291046251149,0.0,1.7253243712550144,1.4142135623730951,1.9883380930045633,3.104249287084341
bc6,1.4059673488550548,1.4059673488550548,0.9851504736828418,1.7253243712550144,1.9298937074540903,0.0,2.171199042861143,2.2160701277379324,1.9515387473334092,2.336816456811431,1.6916300351260647,2.7380029116737132,2.964696623625035,1.4059673488550548,1.4059673488550548,0.9851504736828418,1.7253243712550144,0.0,2.2160701277379324,1.6916300351260647,2.898945441125816
bc8,1.7320508075688772,1.7320508075688772,1.9880347076139728,1.4142135623730951,2.2197155980494347,2.2160701277379324,2.4188039288373004,0.0,2.624082890987822,2.631174057921088,2.4208397543577864,2.9591817714964317,2.0,1.7320508075688772,1.7320508075688772,1.9880347076139728,1.4142135623730951,2.2160701277379324,0.0,2.4208397543577864,2.76339711883103
bc12,2.225643361388572,2.225643361388572,1.968507919044107,1.9883380930045633,2.532245773490153,1.6916300351260647,2.6814332308529103,2.4208397543577864,2.5469878676973092,2.814826250282722,0.0,3.101893437904802,3.1103727436838122,2.225643361388572,2.225643361388572,1.968507919044107,1.9883380930045633,1.6916300351260647,2.4208397543577864,0.0,2.3492613507468145
bc24,3.2613438390276546,3.2613438390276546,3.0741860595131527,3.104249287084341,3.4023067229335435,2.898945441125816,3.4822620673974134,2.76339711883103,3.4023567369454994,3.5699815733760727,2.3492613507468145,3.7416339423188854,3.4112114616897675,3.2613438390276546,3.2613438390276546,3.0741860595131527,3.104249287084341,2.898945441125816,2.76339711883103,2.3492613507468145,0.0
