Meter,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c12,c14,c16,bc1,bc2,bc3,bc4,bc6,bc8,bc12,bc24
c1,0.0,0.0,16.738726381615233,0.0,19.78897525928905,18.63718150838853,20.17091388554113,0.0,19.21418459441485,19.683490606496733,16.688555934928594,19.87693641336885,0.0,0.0,0.0,16.738726381615233,0.0,18.63718150838853,0.0,16.688555934928594,18.343713502168537
c2,0.0,0.0,16.738726381615233,0.0,19.78897525928905,18.63718150838853,20.17091388554113,0.0,19.21418459441485,19.683490606496733,16.688555934928594,19.87693641336885,0.0,0.0,0.0,16.738726381615233,0.0,18.63718150838853,0.0,16.688555934928594,18.343713502168537
c3,16.738726381615233,16.738726381615233,0.0,16.738726381615233,31.728530519252132,20.42035224833365,29.38190629258264,16.738726381615233,16.738726381615237,25.594823541534836,20.48020777421953,28.854365045899932,16.738726381615233,16.738726381615233,16.738726381615233,0.0,16.738726381615233,20.42035224833365,16.738726381615233,20.48020777421953,23.75058525549776
c4,0.0,0.0,16.738726381615233,0.0,19.78897525928905,18.63718150838853,20.17091388554113,0.0,19.21418459441485,19.683490606496733,16.688555934928594,19.87693641336885,0.0,0.0,0.0,16.738726381615233,0.0,18.63718150838853,0.0,16.688555934928594,18.343713502168537
c5,19.78897525928905,19.78897525928905,31.728530519252132,19.78897525928905,0.0,30.337116052808682,24.759805561018098,19.78897525928905,28.8824101171302,24.10545496592286,27.50120482718456,24.433883919885247,19.78897525928905,19.78897525928905,19.78897525928905,31.728530519252132,19.78897525928905,30.337116052808682,19.78897525928905,27.50120482718456,27.796812753192828
c6,18.63718150838853,18.63718150838853,20.42035224833365,18.63718150838853,30.337116052808682,0.0,33.247129157389494,18.63718150838853,24.93059329106275,23.951424922399063,14.4253452291444,33.09028661041089,18.63718150838853,18.63718150838853,18.63718150838853,20.42035224833365,18.63718150838853,0.0,18.63718150838853,14.4253452291444,23.664396609809035
c7,20.17091388554113,20.17091388554113,29.38190629258264,20.17091388554113,24.759805561018098,33.247129157389494,0.0,20.17091388554113,28.778021211497816,28.071375646476767,28.856953678932314,14.467877051847013,20.17091388554113,20.17091388554113,20.17091388554113,29.38190629258264,20.17091388554113,33.247129157389494,20.17091388554113,28.856953678932314,28.816845543822797
c8,0.0,0.0,16.738726381615233,0.0,19.78897525928905,18.63718150838853,20.17091388554113,0.0,19.21418459441485,19.683490606496733,16.688555934928594,19.87693641336885,0.0,0.0,0.0,16.738726381615233,0.0,18.63718150838853,0.0,16.688555934928594,18.343713502168537
c9,19.21418459441485,19.21418459441485,16.738726381615237,19.21418459441485,28.8824101171302,24.93059329106275,28.778021211497816,19.21418459441485,0.0,27.07737767273091,23.509526717077993,28.099258924162903,19.21418459441485,19.21418459441485,19.21418459441485,16.738726381615237,19.21418459441485,24.93059329106275,19.21418459441485,23.509526717077993,26.096028503877093
c10,19.683490606496733,19.683490606496733,25.594823541534836,19.683490606496733,24.10545496592286,23.951424922399063,28.071375646476767,19.683490606496733,27.07737767273091,0.0,23.592604569938164,27.79126434868572,19.683490606496733,19.683490606496733,19.683490606496733,25.594823541534836,19.683490606496733,23.951424922399063,19.683490606496733,23.592604569938164,25.532613612622704
