,4/4,12/4,12/8,6/4,6/8,2/4,2/2,bc24,5/8,5/4,bc1,bc2,bc4,bc8,bc12,bc3,bc6,7/8,7/4,3/4,9/8,9/4
4/4,0.0,1.644681145092648,1.6491036802046521,9.193280570097627,9.19434166453007,9.891206149307884,9.902279314226272,13.71347694657254,16.3932076874623,16.408369836920212,18.50991098593475,18.50991098593475,18.50991098593475,18.50991098593475,21.636796941696215,24.134349509777714,24.351780370268603,43.719101754407966,129.33078444750072,135.98459944697788,238.21245862508997,238.25991108778035
12/4,1.644681145092648,0.0,0.05704803180007531,9.492716152776456,9.491788546242045,10.691070494057708,10.69945424775465,14.239429539341199,16.929064516170087,16.951955392066036,18.621048625853284,18.621048625853284,18.621048625853284,18.621048625853284,21.776159451283764,24.269092234890422,24.45239418941821,43.432413144223695,129.22915309745662,135.9790815893919,238.23727815693536,238.28482236007662
12/8,1.6491036802046521,0.05704803180007531,0.0,9.493489174884724,9.491653631953305,10.693907149679662,10.702283182497291,14.239322435751257,16.929030506389626,16.953235336762962,18.62092275039319,18.62092275039319,18.62092275039319,18.62092275039319,21.776065712195408,24.272645480310093,24.44070174984753,43.43237654081257,129.23226812324705,135.99697821952037,238.2527748931739,238.30034656753298
6/4,9.193280570097627,9.492716152776456,9.493489174884724,0.0,0.17943368156025197,6.37917566937267,6.403063821310861,10.087619562709659,14.283062507618181,14.322829817394481,16.19716226031538,16.19716226031538,16.19716226031538,16.19716226031538,18.584736198690763,22.20525228487399,21.694504179682507,41.04724958411214,128.01029777118785,134.93206012232474,237.23904295878887,237.2868941137295
6/8,9.19434166453007,9.491788546242045,9.491653631953305,0.17943368156025197,0.0,6.395661325812598,6.419258952444759,10.085427743490046,14.2818757524909,14.325733683390066,16.195369411495964,16.195369411495964,16.195369411495964,16.195369411495964,18.58334321193376,22.21734997911581,21.652624268643613,41.04660370845179,128.02491843251704,134.9867942996034,237.28915997467846,237.33709295897398
2/4,9.891206149307884,10.691070494057708,10.693907149679662,6.37917566937267,6.395661325812598,0.0,0.9816719338482303,11.085931087833938,13.968639800234874,13.957798367904088,17.120437965037727,17.120437965037727,17.120437965037727,17.120437965037727,17.256390552873274,22.317309544352703,20.89021265567216,44.94977756595464,128.3969426692691,135.2661459419567,236.93117045556505,236.97890316381574
2/2,9.902279314226272,10.69945424775465,10.702283182497291,6.403063821310861,6.419258952444759,0.9816719338482303,0.0,11.099532927789499,13.974978003832206,13.963206745795393,17.123362155032957,17.123362155032957,17.123362155032957,17.123362155032957,17.264174578147514,22.119667093676142,20.89788595635358,44.93588516262642,128.55048724370604,135.41324668817214,237.10153083377,237.1492343267748
bc24,13.71347694657254,14.239429539341199,14.239322435751257,10.087619562709659,10.085427743490046,11.085931087833938,11.099532927789499,0.0,13.631479482247123,13.716682743175546,18.343713502168537,18.343713502168537,18.343713502168537,18.343713502168537,20.116008064341784,23.75058525549776,23.664396609809035,42.45038065568436,129.0476036342934,135.2542797603604,237.81607760091248,237.86385677131855
5/8,16.3932076874623,16.929064516170087,16.929030506389626,14.283062507618181,14.2818757524909,13.968639800234874,13.974978003832206,13.631479482247123,0.0,1.362698728389227,16.864219397332974,16.864219397332974,16.864219397332974,16.864219397332974,19.512739497327257,22.782584547499148,22.667047751495293,43.29333165881707,128.77133175109674,135.83287480714105,237.740025579624,237.78793470475412
5/4,16.408369836920212,16.951955392066036,16.953235336762962,14.322829817394481,14.325733683390066,13.957798367904088,13.963206745795393,13.716682743175546,1.362698728389227,0.0,16.881116206100554,16.881116206100554,16.881116206100554,16.881116206100554,19.560502042850658,22.671172674632285,22.50966766251088,43.277221216616695,128.81948835135762,135.80295575940647,237.69079095668545,237.7385711565837
