,4/4,6/4,6/8,12/4,12/8,2/4,2/2,bc24,5/8,5/4,3/4,7/8,7/4,bc1,bc2,bc4,bc8,9/4,9/8,bc12,bc6,bc3
4/4,0.0,11.282811674395193,11.28344039508639,11.75139858981556,11.75198360527316,12.245661643465748,12.262429079719205,16.037747696780855,16.393690096262397,16.410347637831,16.70573267231576,17.620692566203356,17.657037815202585,17.83270770573841,17.83270770573841,17.83270770573841,17.83270770573841,18.42306882095588,18.42366258351994,19.477864685334172,22.646883711821058,23.27697099107639
6/4,11.282811674395193,0.0,0.17943368156025197,14.115769675035166,14.116202942456754,6.37917566937267,6.403063821310861,10.087619562709659,14.283062507618181,14.322829817394481,16.07069673664522,16.5195260249062,16.596165755682783,16.19716226031538,16.19716226031538,16.19716226031538,16.19716226031538,14.892948876552977,14.892395850511972,18.584736198690763,21.694504179682507,22.20525228487399
6/8,11.28344039508639,0.17943368156025197,0.0,14.114822531879518,14.11464520299275,6.395661325812598,6.419258952444759,10.085427743490046,14.2818757524909,14.325733683390066,16.067330323462215,16.518507312878985,16.59726391809414,16.195369411495964,16.195369411495964,16.195369411495964,16.195369411495964,14.892934539049765,14.89091630905358,18.58334321193376,21.652624268643613,22.21734997911581
12/4,11.75139858981556,14.115769675035166,14.114822531879518,0.0,0.05704803180007531,15.782122759050464,15.79293725866541,18.992163336422283,17.419447696853094,17.442355569904706,19.908149675302838,20.497933907194227,20.503163039649465,17.809039359189892,17.809039359189892,17.809039359189892,17.809039359189892,20.792464477536758,20.787260867929742,21.7767849927804,23.994587220168903,23.807760755207912
12/8,11.75198360527316,14.116202942456754,14.11464520299275,0.05704803180007531,0.0,15.783967050026083,15.794776561009764,18.992018672544557,17.41934447086152,17.443529454602054,19.907667207721715,20.49782686816184,20.50334528475414,17.80883910546684,17.80883910546684,17.80883910546684,17.80883910546684,20.79267975673984,20.787125834213324,21.776635123760855,23.98262061439724,23.81133150669927
2/4,12.245661643465748,6.37917566937267,6.395661325812598,15.782122759050464,15.783967050026083,0.0,0.9816719338482303,11.085931087833938,13.968639800234874,13.957798367904088,16.78539969070689,16.36306345389738,16.455206817581992,17.120437965037727,17.120437965037727,17.120437965037727,17.120437965037727,16.13632104891534,16.138462993094404,17.256390552873274,20.89021265567216,22.317309544352703
2/2,12.262429079719205,6.403063821310861,6.419258952444759,15.79293725866541,15.794776561009764,0.9816719338482303,0.0,11.099532927789499,13.974978003832206,13.963206745795393,16.754782826944428,16.424598790861626,16.52334500958803,17.123362155032957,17.123362155032957,17.123362155032957,17.123362155032957,16.095115735745466,16.09718840529633,17.264174578147514,20.89788595635358,22.119667093676142
bc24,16.037747696780855,10.087619562709659,10.085427743490046,18.992163336422283,18.992018672544557,11.085931087833938,11.099532927789499,0.0,13.631479482247123,13.716682743175546,16.4936823061671,18.147832134744633,18.208466656667337,18.343713502168537,18.343713502168537,18.343713502168537,18.343713502168537,15.397169582986056,15.395953383634682,20.116008064341784,23.664396609809035,23.75058525549776
5/8,16.393690096262397,14.283062507618181,14.2818757524909,17.419447696853094,17.41934447086152,13.968639800234874,13.974978003832206,13.631479482247123,0.0,1.362698728389227,16.23555057577915,17.028098768411212,17.098040149791597,16.864219397332974,16.864219397332974,16.864219397332974,16.864219397332974,15.624532000066752,15.621588067027751,19.512739497327257,22.667047751495293,22.782584547499148
5/4,16.410347637831,14.322829817394481,14.325733683390066,17.442355569904706,17.443529454602054,13.957798367904088,13.963206745795393,13.716682743175546,1.362698728389227,0.0,16.147189427096983,17.107936003998883,17.17691797274757,16.881116206100554,16.881116206100554,16.881116206100554,16.881116206100554,15.654511130121422,15.653681702102704,19.560502042850658,22.50966766251088,22.671172674632285
