,c6,6/8,c12,9/8,12/8,2/2,4/4,2/4,c16,c8,c4,c2,c1,6/4,c3,12/4,9/4,5/8,c10,3/4,c9,7/4,c5,c14,c7,5/4,7/8
c6,0.0,10.528083137635672,14.4253452291444,14.821969685768602,17.619181300923326,18.578506662781944,18.578506662781944,18.617480552722668,18.63718150838853,18.63718150838853,18.63718150838853,18.63718150838853,18.63718150838853,19.426713822445752,20.42035224833365,21.433103355061352,21.495676523734478,21.96947311156521,23.951424922399063,24.51779475602692,24.93059329106275,27.72584539043654,30.337116052808682,33.09028661041089,33.247129157389494,34.30162867422132,38.73330130886836
6/8,10.528083137635672,0.0,5.8070384362021255,14.959413871831158,12.524315356422848,16.353206557271825,16.353206557271825,16.427084826636968,16.443057672920688,16.443057672920688,16.443057672920688,16.443057672920688,16.443057672920688,14.09983663424629,18.784284473758003,17.749168896501704,17.304401555270093,21.092569834596933,23.798733263906684,19.138310024481502,22.822836755632053,25.62511733122233,28.052635833360025,30.51345852082349,30.63888847172826,35.55850362997119,36.06434781931511
c12,14.4253452291444,5.8070384362021255,0.0,16.46878755693057,12.51282266534468,16.589661368415243,16.589661368415243,16.69390255421013,16.688555934928594,16.688555934928594,16.688555934928594,16.688555934928594,16.688555934928594,13.447276588709425,20.48020777421953,17.744975132146173,17.09199415971986,21.699889331682517,23.592604569938164,16.949559310352193,23.509526717077993,25.077354427586794,27.50120482718456,28.79317227558482,28.856953678932314,34.384636601189634,34.021245085667665
9/8,14.821969685768602,14.959413871831158,16.46878755693057,0.0,20.705711544837758,18.594701189755288,18.594701189755288,18.593341538180585,18.603997672383628,18.603997672383628,18.603997672383628,18.603997672383628,18.603997672383628,23.000457607124755,21.41791435227951,24.246145903897418,21.70201885681352,24.530438325091687,26.612287277197513,24.481799478143923,23.538955427190558,29.510552349524016,29.625766966020596,32.52758927465076,32.35514061111361,36.584387410995475,37.222109712419005
12/8,17.619181300923326,12.524315356422848,12.51282266534468,20.705711544837758,0.0,17.850828662621215,17.850828662621215,17.94303323255838,17.931504801074638,17.931504801074638,17.931504801074638,17.931504801074638,17.931504801074638,9.637393043132661,21.599640050393543,14.2321979164725,20.060721408527883,25.55795116789392,26.896909719993904,22.957099465957935,24.906474248166017,24.828645223407875,29.24615296504214,30.068494311133097,30.17492780777424,36.915252557914904,37.173356518992804
2/2,18.578506662781944,16.353206557271825,16.589661368415243,18.594701189755288,17.850828662621215,0.0,0.0,0.6843871413472937,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.5984002533353978,18.401404183515773,16.713855198491018,17.298453082751973,19.978995049958215,18.46107393830861,19.70644226936862,28.432970106639296,19.219824339506154,25.265820088582135,19.815889203039955,19.86751339168723,20.179666999028427,35.1561443320996,34.010535245597595
4/4,18.578506662781944,16.353206557271825,16.589661368415243,18.594701189755288,17.850828662621215,0.0,0.0,0.6843871413472937,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.5984002533353978,18.401404183515773,16.713855198491018,17.298453082751973,19.978995049958215,18.46107393830861,19.70644226936862,28.432970106639296,19.219824339506154,25.265820088582135,19.815889203039955,19.86751339168723,20.179666999028427,35.1561443320996,34.010535245597595
2/4,18.617480552722668,16.427084826636968,16.69390255421013,18.593341538180585,17.94303323255838,0.6843871413472937,0.6843871413472937,0.0,0.42247283489375725,0.42247283489375725,0.42247283489375725,0.42247283489375725,0.42247283489375725,18.50578478805124,16.71166713629612,17.279784262109146,19.937734219401737,18.477226060803872,19.688023916895983,28.523456686478596,19.21882860437837,25.34666740515811,19.811590330682883,19.881425614812727,20.179980264520697,35.18845094481881,34.057016770868444
c16,18.63718150838853,16.443057672920688,16.688555934928594,18.603997672383628,17.931504801074638,0.5984002533353978,0.5984002533353978,0.42247283489375725,0.0,0.0,0.0,0.0,0.0,18.50200164121698,16.738726381615233,17.274858561808653,19.934063089033614,18.457004285366466,19.683490606496733,28.523596276963243,19.21418459441485,25.347988238011173,19.78897525928905,19.87693641336885,20.17091388554113,35.14326771784524,34.0630603144222
c8,18.63718150838853,16.443057672920688,16.688555934928594,18.603997672383628,17.931504801074638,0.5984002533353978,0.5984002533353978,0.42247283489375725,0.0,0.0,0.0,0.0,0.0,18.50200164121698,16.738726381615233,17.274858561808653,19.934063089033614,18.457004285366466,19.683490606496733,28.523596276963243,19.21418459441485,25.347988238011173,19.78897525928905,19.87693641336885,20.17091388554113,35.14326771784524,34.0630603144222
