,c6,6/8,9/8,c12,12/8,2/2,4/4,2/4,c16,c8,c4,c2,c1,c3,9/4,12/4,c10,3/4,c9,c5,5/4,7/8,5/8,6/4,7/4,c14,c7
c6,0.0,10.528083137635672,12.560415279763731,14.4253452291444,14.562565122421637,18.578506662781944,18.578506662781944,18.617480552722668,18.63718150838853,18.63718150838853,18.63718150838853,18.63718150838853,18.63718150838853,20.42035224833365,20.49928878953114,21.433103355061352,23.951424922399063,24.51779475602692,24.93059329106275,54.164009344063615,63.44915543766829,73.12317974576075,73.22662902051425,96.78010656620876,100.27450467276792,128.21391981817035,130.0592109762777
6/8,10.528083137635672,0.0,13.781546657620135,5.8070384362021255,9.848711697143274,16.353206557271825,16.353206557271825,16.427084826636968,16.443057672920688,16.443057672920688,16.443057672920688,16.443057672920688,16.443057672920688,18.784284473758003,14.634067190198394,17.749168896501704,23.798733263906684,19.138310024481502,22.822836755632053,52.29337303077151,63.33983271086332,71.98160790976422,70.91986401896361,95.98675297980469,100.29627274830392,127.11292736388668,128.96337167692394
9/8,12.560415279763731,13.781546657620135,0.0,15.723565185614781,18.041858689039085,18.71223031977708,18.71223031977708,18.71087920861897,18.72146844128829,18.72146844128829,18.72146844128829,18.72146844128829,18.72146844128829,20.887286071680467,25.12976932804655,23.97073776295571,25.42217694766456,23.819892269157673,23.865673649796424,54.011227956771705,63.19952163891531,71.87584422485757,72.7396298522928,96.7674041621568,99.72744672757608,128.197469622676,130.0174814867393
c12,14.4253452291444,5.8070384362021255,15.723565185614781,0.0,10.620486506175398,16.589661368415243,16.589661368415243,16.69390255421013,16.688555934928594,16.688555934928594,16.688555934928594,16.688555934928594,16.688555934928594,20.48020777421953,13.136584843896314,17.744975132146173,23.592604569938164,16.949559310352193,23.509526717077993,52.691049574154164,62.43108456975038,71.1445217750998,71.09453373116379,94.84167866343871,101.41844158035813,127.22480582726992,129.05817610328216
12/8,14.562565122421637,9.848711697143274,18.041858689039085,10.620486506175398,0.0,18.973703499189217,18.973703499189217,19.060476964587757,19.049624798505842,19.049624798505842,19.049624798505842,19.049624798505842,19.049624798505842,22.05929410361088,17.384010904699835,19.65724461729065,25.001530067487213,21.51842978442242,26.362695515844347,54.88292915615122,64.63988519720724,71.84254119872848,73.33173786365381,96.20724587232432,101.06602503353285,129.2237750171512,130.87180735755567
2/2,18.578506662781944,16.353206557271825,18.71223031977708,16.589661368415243,18.973703499189217,0.0,0.0,0.6843871413472937,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.5984002533353978,16.713855198491018,23.073251396666382,17.298453082751973,19.70644226936862,28.432970106639296,19.219824339506154,54.45172174116656,66.541033086484,68.64601333328093,70.25375713547841,96.88655103907695,99.03911692077037,129.8338526635875,131.66440204047433
4/4,18.578506662781944,16.353206557271825,18.71223031977708,16.589661368415243,18.973703499189217,0.0,0.0,0.6843871413472937,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.5984002533353978,16.713855198491018,23.073251396666382,17.298453082751973,19.70644226936862,28.432970106639296,19.219824339506154,54.45172174116656,66.541033086484,68.64601333328093,70.25375713547841,96.88655103907695,99.03911692077037,129.8338526635875,131.66440204047433
2/4,18.617480552722668,16.427084826636968,18.71087920861897,16.69390255421013,19.060476964587757,0.6843871413472937,0.6843871413472937,0.0,0.42247283489375725,0.42247283489375725,0.42247283489375725,0.42247283489375725,0.42247283489375725,16.71166713629612,23.226953296490688,17.279784262109146,19.688023916895983,28.523456686478596,19.21882860437837,54.46676678385076,66.57169606220324,68.65400061028147,70.24950251718998,96.91181123058229,99.01026284366174,129.85090897163386,131.67916948075487
c16,18.63718150838853,16.443057672920688,18.72146844128829,16.688555934928594,19.049624798505842,0.5984002533353978,0.5984002533353978,0.42247283489375725,0.0,0.0,0.0,0.0,0.0,16.738726381615233,23.22380211919291,17.274858561808653,19.683490606496733,28.523596276963243,19.21418459441485,54.48531709073966,66.56973461566977,68.64074287239033,70.26494426391287,96.89999088107824,99.02146244570683,129.8700452223264,131.6973287778785
c8,18.63718150838853,16.443057672920688,18.72146844128829,16.688555934928594,19.049624798505842,0.5984002533353978,0.5984002533353978,0.42247283489375725,0.0,0.0,0.0,0.0,0.0,16.738726381615233,23.22380211919291,17.274858561808653,19.683490606496733,28.523596276963243,19.21418459441485,54.48531709073966,66.56973461566977,68.64074287239033,70.26494426391287,96.89999088107824,99.02146244570683,129.8700452223264,131.6973287778785
