Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c12,c14,c16
2/2,0.0,0.5786380864427688,0.7838562759177916,0.0,0.794046049518828,0.9820399525818694,0.7954041870425426,1.0769196136388108,1.5296758125022638,1.035743155397374,1.1108058073430815,1.037832443760916,1.1834883827448277,1.286515329008304,1.014468479783025,1.014468479783025,1.418914043257347,0.7489918511772954,1.7338454198684143,1.726418696133,1.9845197360019478,0.8697984844468629,2.22929834367376,2.221623036763501,2.1130271398227913,2.6168854616667545,1.9138834273526673
2/4,0.5786380864427688,0.0,0.3278928331353998,0.5786380864427688,0.3527120988612451,0.843922993026866,0.35666490977410115,0.8754037077941605,1.6169889378390616,0.5695719223118384,0.7432510616211871,0.5701970274684808,0.8138045777712369,1.131611619072428,0.5257394130651457,0.5257394130651457,1.1264513455543492,0.5639986926823572,1.5040097865693565,1.4981210555223938,1.7927641202071867,1.318067584996503,2.0592412089740284,2.049263002527252,2.0635106246913724,2.4806699817263924,2.395266615351726
3/4,0.7838562759177916,0.3278928331353998,0.0,0.7838562759177916,0.370540894237405,0.6656856836597653,0.3785031157837618,0.6640241793254249,1.5210789885156788,0.584732868988244,0.5860017233292065,0.5840037648773514,0.7201474983696009,0.9599607018447268,0.5411042389377494,0.5411042389377494,1.0393274369564403,0.5800299333513744,1.5060983802610997,1.361315324077826,1.7963088285358941,1.5242880084787516,2.011925531026619,2.0479570024707123,1.8598798534198269,2.482431203294497,2.5172275922926715
4/4,0.0,0.5786380864427688,0.7838562759177916,0.0,0.794046049518828,0.9820399525818694,0.7954041870425426,1.0769196136388108,1.5296758125022638,1.035743155397374,1.1108058073430815,1.037832443760916,1.1834883827448277,1.286515329008304,1.014468479783025,1.014468479783025,1.418914043257347,0.7489918511772954,1.7338454198684143,1.726418696133,1.9845197360019478,0.8697984844468629,2.22929834367376,2.221623036763501,2.1130271398227913,2.6168854616667545,1.9138834273526673
5/4,0.794046049518828,0.3527120988612451,0.370540894237405,0.794046049518828,0.0,0.8991671830723164,0.409015511661444,0.8938972315106615,1.6922162279245594,0.5553061187359066,0.7619170218638296,0.5970768804262566,0.8320556649706025,1.1731336029974986,0.5524848344170975,0.5524848344170975,1.1382890962295513,0.5939218255850602,1.4099211517571408,1.5062602859190615,1.8052135699033238,1.5352136090540538,2.067018330149924,1.901562047003055,2.071177677140781,2.4927276570983006,2.513066636649325
6/4,0.9820399525818694,0.843922993026866,0.6656856836597653,0.9820399525818694,0.8991671830723164,0.0,0.8989211827446119,0.42205283775965724,0.9447122749858438,1.1032565843939623,0.7544421828818575,1.1002960485213027,0.9659411635599995,0.5069669730066296,1.0807258406403695,1.0807258406403695,1.1789894124999782,0.8895642827125796,1.7673855659977369,1.266510804220951,2.013182093234803,1.517470640363029,2.0756761838665434,2.2429330538087173,1.2901286978175406,2.634184531561144,2.5117659099090064
7/4,0.7954041870425426,0.35666490977410115,0.3785031157837618,0.7954041870425426,0.409015511661444,0.8989211827446119,0.0,0.8929758824695787,1.6956809823490804,0.6007009450693117,0.7643662168467119,0.5777353290203622,0.8324071870479263,1.1717949552159483,0.5578057911536867,0.5578057911536867,1.140207965359475,0.5996695597272336,1.5197332902937541,1.507346399928551,1.7018682488965855,1.530168430070586,2.065072684790653,2.0640197004698773,2.0702708055783265,2.3435986315315342,2.519420199810055
9/4,1.0769196136388108,0.8754037077941605,0.6640241793254249,1.0769196136388108,0.8938972315106615,0.42205283775965724,0.8929758824695787,0.0,1.2045127208110995,1.095851525136583,0.7595094709150559,1.0918845228175225,0.9360040869724515,0.6736903266937851,1.0724052774225061,1.0724052774225061,1.1807436055382108,0.8895032535432705,1.7666971646616314,1.2767201880471377,2.0074615046180653,1.6541658579813823,1.961356856253136,2.2457904240175615,1.3236420219440284,2.6288549679309616,2.6002261534681828
12/4,1.5296758125022638,1.6169889378390616,1.5210789885156788,1.5296758125022638,1.6922162279245594,0.9447122749858438,1.6956809823490804,1.2045127208110995,0.0,1.8416627043183982,1.4811939341071059,1.8394524997581958,1.6414089991176128,0.9400461998927989,1.8306739106385945,1.8306739106385945,1.7542454312800582,1.6510182990933666,2.2910190774242185,1.673619661483673,2.4817477060570203,1.7661879201260997,2.4314506566879284,2.664445908131586,1.2750776518806126,2.994555906614835,2.483756189500277
5/8,1.035743155397374,0.5695719223118384,0.584732868988244,1.035743155397374,0.5553061187359066,1.1032565843939623,0.6007009450693117,1.095851525136583,1.8416627043183982,0.0,0.667202423697537,0.3201194510751704,0.6640809200026776,1.2320854081849202,0.2210880731139581,0.2210880731139581,1.021405466781219,1.0241483955332071,1.299576530730351,1.421621645564474,1.734226346931871,1.7440970295374234,2.006387503626664,1.8375229006551195,2.2386725200968014,2.4417320936957774,2.6501307794313322
