Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c12,c14,c16
2/2,0.0,0.6843871413472937,28.432970106639296,0.0,66.541033086484,96.88655103907695,99.03911692077037,23.073251396666382,17.298453082751973,70.25375713547841,16.353206557271825,68.64601333328093,18.71223031977708,18.973703499189217,0.5984002533353978,0.5984002533353978,16.713855198491018,0.5984002533353978,54.45172174116656,18.578506662781944,131.66440204047433,0.5984002533353978,19.219824339506154,19.70644226936862,16.589661368415243,129.8338526635875,0.5984002533353978
2/4,0.6843871413472937,0.0,28.523456686478596,0.6843871413472937,66.57169606220324,96.91181123058229,99.01026284366174,23.226953296490688,17.279784262109146,70.24950251718998,16.427084826636968,68.65400061028147,18.71087920861897,19.060476964587757,0.42247283489375725,0.42247283489375725,16.71166713629612,0.42247283489375725,54.46676678385076,18.617480552722668,131.67916948075487,0.42247283489375725,19.21882860437837,19.688023916895983,16.69390255421013,129.85090897163386,0.42247283489375725
3/4,28.432970106639296,28.523456686478596,0.0,28.432970106639296,52.95788154685906,93.7224930852163,105.34600276491938,20.59193140664261,27.24092276646472,68.12123674913505,19.138310024481502,75.90720737924106,23.819892269157673,21.51842978442242,28.523596276963243,28.523596276963243,29.270809188141307,28.523596276963243,48.43283082048803,24.51779475602692,123.38986230208067,28.523596276963243,30.129349687436587,32.50029463296947,16.949559310352193,121.64986512361479,28.523596276963243
4/4,0.0,0.6843871413472937,28.432970106639296,0.0,66.541033086484,96.88655103907695,99.03911692077037,23.073251396666382,17.298453082751973,70.25375713547841,16.353206557271825,68.64601333328093,18.71223031977708,18.973703499189217,0.5984002533353978,0.5984002533353978,16.713855198491018,0.5984002533353978,54.45172174116656,18.578506662781944,131.66440204047433,0.5984002533353978,19.219824339506154,19.70644226936862,16.589661368415243,129.8338526635875,0.5984002533353978
5/4,66.541033086484,66.57169606220324,52.95788154685906,66.541033086484,0.0,80.21937409290334,143.98772718516446,64.84921498919671,66.46745684851636,54.36141438006295,63.33983271086332,115.16689450201777,63.19952163891531,64.63988519720724,66.56973461566977,66.56973461566977,66.08960573738835,66.56973461566977,37.70541816951354,63.44915543766829,94.71815382906874,66.56973461566977,69.01516798750045,64.37671812241096,62.43108456975038,92.91740184970347,66.56973461566977
6/4,96.88655103907695,96.91181123058229,93.7224930852163,96.88655103907695,80.21937409290334,0.0,192.55707451717177,96.07111056099109,95.59612015217786,68.82063600238402,95.98675297980469,159.2832013384732,96.7674041621568,96.20724587232432,96.89999088107824,96.89999088107824,105.70450520065631,96.89999088107824,74.58292588956921,96.78010656620876,73.86739253602987,96.89999088107824,108.05730889895733,98.41108045712828,94.84167866343871,71.35823006965666,96.89999088107824
7/4,99.03911692077037,99.01026284366174,105.34600276491938,99.03911692077037,143.98772718516446,192.55707451717177,0.0,103.28520803712327,100.7357551333643,156.57800517921632,100.29627274830392,50.56370389610529,99.72744672757608,101.06602503353285,99.02146244570683,99.02146244570683,91.7618155087537,99.02146244570683,139.4207921100384,100.27450467276792,219.18810188623578,99.02146244570683,89.8133101519745,100.62123700415826,101.41844158035813,217.8848587354377,99.02146244570683
9/4,23.073251396666382,23.226953296490688,20.59193140664261,23.073251396666382,64.84921498919671,96.07111056099109,103.28520803712327,0.0,23.16025617402624,72.89617995641822,14.634067190198394,73.24001522798375,25.12976932804655,17.384010904699835,23.22380211919291,23.22380211919291,25.53235502898003,23.22380211919291,54.539961438921736,20.49928878953114,129.38495043616075,23.22380211919291,28.412406820796377,30.089447849973215,13.136584843896314,127.54415582322517,23.22380211919291
12/4,17.298453082751973,17.279784262109146,27.24092276646472,17.298453082751973,66.46745684851636,95.59612015217786,100.7357551333643,23.16025617402624,0.0,71.75552553342835,17.749168896501704,71.40740173773544,23.97073776295571,19.65724461729065,17.274858561808653,17.274858561808653,22.610055528103516,17.274858561808653,55.37468293711148,21.433103355061352,131.17167398444784,17.274858561808653,25.119790541382994,24.908703127599704,17.744975132146173,129.3244238351238,17.274858561808653
5/8,70.25375713547841,70.24950251718998,68.12123674913505,70.25375713547841,54.36141438006295,68.82063600238402,156.57800517921632,72.89617995641822,71.75552553342835,0.0,70.91986401896361,129.38364874301067,72.7396298522928,73.33173786365381,70.26494426391287,70.26494426391287,73.7474672499092,70.26494426391287,30.373474666824823,73.22662902051425,70.54820185044902,70.26494426391287,75.46113637331264,70.0105569458125,71.09453373116379,68.95441319010968,70.26494426391287
6/8,16.353206557271825,16.427084826636968,19.138310024481502,16.353206557271825,63.33983271086332,95.98675297980469,100.29627274830392,14.634067190198394,17.749168896501704,70.91986401896361,0.0,71.98160790976422,13.781546657620135,9.848711697143274,16.443057672920688,16.443057672920688,18.784284473758003,16.443057672920688,52.29337303077151,10.528083137635672,128.96337167692394,16.443057672920688,22.822836755632053,23.798733263906684,5.8070384362021255,127.11292736388668,16.443057672920688
7/8,68.64601333328093,68.65400061028147,75.90720737924106,68.64601333328093,115.16689450201777,159.2832013384732,50.56370389610529,73.24001522798375,71.40740173773544,129.38364874301067,71.98160790976422,0.0,71.87584422485757,71.84254119872848,68.64074287239033,68.64074287239033,63.19047764538673,68.64074287239033,113.11990654684928,73.12317974576075,192.47621021795678,68.64074287239033,63.41323398394598,70.15210494133433,71.1445217750998,191.2241605525805,68.64074287239033
9/8,18.71223031977708,18.71087920861897,23.819892269157673,18.71223031977708,63.19952163891531,96.7674041621568,99.72744672757608,25.12976932804655,23.97073776295571,72.7396298522928,13.781546657620135,71.87584422485757,0.0,18.041858689039085,18.72146844128829,18.72146844128829,20.887286071680467,18.72146844128829,54.011227956771705,12.560415279763731,130.0174814867393,18.72146844128829,23.865673649796424,25.42217694766456,15.723565185614781,128.197469622676,18.72146844128829
12/8,18.973703499189217,19.060476964587757,21.51842978442242,18.973703499189217,64.63988519720724,96.20724587232432,101.06602503353285,17.384010904699835,19.65724461729065,73.33173786365381,9.848711697143274,71.84254119872848,18.041858689039085,0.0,19.049624798505842,19.049624798505842,22.05929410361088,19.049624798505842,54.88292915615122,14.562565122421637,130.87180735755567,19.049624798505842,26.362695515844347,25.001530067487213,10.620486506175398,129.2237750171512,19.049624798505842
c1,0.5984002533353978,0.42247283489375725,28.523596276963243,0.5984002533353978,66.56973461566977,96.89999088107824,99.02146244570683,23.22380211919291,17.274858561808653,70.26494426391287,16.443057672920688,68.64074287239033,18.72146844128829,19.049624798505842,0.0,0.0,16.738726381615233,0.0,54.48531709073966,18.63718150838853,131.6973287778785,0.0,19.21418459441485,19.683490606496733,16.688555934928594,129.8700452223264,0.0
c2,0.5984002533353978,0.42247283489375725,28.523596276963243,0.5984002533353978,66.56973461566977,96.89999088107824,99.02146244570683,23.22380211919291,17.274858561808653,70.26494426391287,16.443057672920688,68.64074287239033,18.72146844128829,19.049624798505842,0.0,0.0,16.738726381615233,0.0,54.48531709073966,18.63718150838853,131.6973287778785,0.0,19.21418459441485,19.683490606496733,16.688555934928594,129.8700452223264,0.0
c3,16.713855198491018,16.71166713629612,29.270809188141307,16.713855198491018,66.08960573738835,105.70450520065631,91.7618155087537,25.53235502898003,22.610055528103516,73.7474672499092,18.784284473758003,63.19047764538673,20.887286071680467,22.05929410361088,16.738726381615233,16.738726381615233,0.0,16.738726381615233,54.95542690884444,20.42035224833365,135.46643838285217,16.738726381615233,16.738726381615237,25.594823541534836,20.48020777421953,133.61979380903236,16.738726381615233
c4,0.5984002533353978,0.42247283489375725,28.523596276963243,0.5984002533353978,66.56973461566977,96.89999088107824,99.02146244570683,23.22380211919291,17.274858561808653,70.26494426391287,16.443057672920688,68.64074287239033,18.72146844128829,19.049624798505842,0.0,0.0,16.738726381615233,0.0,54.48531709073966,18.63718150838853,131.6973287778785,0.0,19.21418459441485,19.683490606496733,16.688555934928594,129.8700452223264,0.0
c5,54.45172174116656,54.46676678385076,48.43283082048803,54.45172174116656,37.70541816951354,74.58292588956921,139.4207921100384,54.539961438921736,55.37468293711148,30.373474666824823,52.29337303077151,113.11990654684928,54.011227956771705,54.88292915615122,54.48531709073966,54.48531709073966,54.95542690884444,54.48531709073966,0.0,54.164009344063615,85.02986521428309,54.48531709073966,58.36884356327716,55.480472894431436,52.691049574154164,83.22661574552224,54.48531709073966
c6,18.578506662781944,18.617480552722668,24.51779475602692,18.578506662781944,63.44915543766829,96.78010656620876,100.27450467276792,20.49928878953114,21.433103355061352,73.22662902051425,10.528083137635672,73.12317974576075,12.560415279763731,14.562565122421637,18.63718150838853,18.63718150838853,20.42035224833365,18.63718150838853,54.164009344063615,0.0,130.0592109762777,18.63718150838853,24.93059329106275,23.951424922399063,14.4253452291444,128.21391981817035,18.63718150838853
c7,131.66440204047433,131.67916948075487,123.38986230208067,131.66440204047433,94.71815382906874,73.86739253602987,219.18810188623578,129.38495043616075,131.17167398444784,70.54820185044902,128.96337167692394,192.47621021795678,130.0174814867393,130.87180735755567,131.6973287778785,131.6973287778785,135.46643838285217,131.6973287778785,85.02986521428309,130.0592109762777,0.0,131.6973287778785,137.3399247639636,132.53395838258263,129.05817610328216,14.467877051847013,131.6973287778785
