Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,bc12,bc24,bc48,bc4,bc8,bc16
2/2,0.0,0.9816719338482303,16.754782826944428,12.262429079719205,13.963206745795393,6.403063821310861,16.52334500958803,16.095115735745466,15.79293725866541,13.974978003832206,6.419258952444759,16.424598790861626,16.09718840529633,15.794776561009764,17.264174578147514,11.099532927789499,8.833929724963541,17.123362155032957,17.123362155032957,17.123362155032957
2/4,0.9816719338482303,0.0,16.78539969070689,12.245661643465748,13.957798367904088,6.37917566937267,16.455206817581992,16.13632104891534,15.782122759050464,13.968639800234874,6.395661325812598,16.36306345389738,16.138462993094404,15.783967050026083,17.256390552873274,11.085931087833938,8.818938113069509,17.120437965037727,17.120437965037727,17.120437965037727
3/4,16.754782826944428,16.78539969070689,0.0,16.70573267231576,16.147189427096983,16.07069673664522,19.02982227145539,9.580027917893737,19.908149675302838,16.23555057577915,16.067330323462215,18.882717758438968,9.578912003015876,19.907667207721715,18.976483274721954,16.4936823061671,17.98096315247232,18.441503713272436,18.441503713272436,18.441503713272436
4/4,12.262429079719205,12.245661643465748,16.70573267231576,0.0,16.410347637831,11.282811674395193,17.657037815202585,18.42306882095588,11.75139858981556,16.393690096262397,11.28344039508639,17.620692566203356,18.42366258351994,11.75198360527316,19.477864685334172,16.037747696780855,11.458413310093674,17.83270770573841,17.83270770573841,17.83270770573841
5/4,13.963206745795393,13.957798367904088,16.147189427096983,16.410347637831,0.0,14.322829817394481,17.17691797274757,15.654511130121422,17.442355569904706,1.362698728389227,14.325733683390066,17.107936003998883,15.653681702102704,17.443529454602054,19.560502042850658,13.716682743175546,15.414451389001199,16.881116206100554,16.881116206100554,16.881116206100554
6/4,6.403063821310861,6.37917566937267,16.07069673664522,11.282811674395193,14.322829817394481,0.0,16.596165755682783,14.892948876552977,14.115769675035166,14.283062507618181,0.17943368156025197,16.5195260249062,14.892395850511972,14.116202942456754,18.584736198690763,10.087619562709659,5.807854381053894,16.19716226031538,16.19716226031538,16.19716226031538
7/4,16.52334500958803,16.455206817581992,19.02982227145539,17.657037815202585,17.17691797274757,16.596165755682783,0.0,17.267564185501048,20.503163039649465,17.098040149791597,16.59726391809414,1.3672125465302953,17.266593381186848,20.50334528475414,20.54766342497029,18.208466656667337,18.16561501348286,19.639320663359058,19.639320663359058,19.639320663359058
9/4,16.095115735745466,16.13632104891534,9.580027917893737,18.42306882095588,15.654511130121422,14.892948876552977,17.267564185501048,0.0,20.792464477536758,15.624532000066752,14.892934539049765,17.142742529157847,0.200175665698408,20.79267975673984,19.155104687511,15.397169582986056,17.164443918819554,17.07614878442352,17.07614878442352,17.07614878442352
12/4,15.79293725866541,15.782122759050464,19.908149675302838,11.75139858981556,17.442355569904706,14.115769675035166,20.503163039649465,20.792464477536758,0.0,17.419447696853094,14.114822531879518,20.497933907194227,20.787260867929742,0.05704803180007531,21.7767849927804,18.992163336422283,13.745023741903918,17.809039359189892,17.809039359189892,17.809039359189892
5/8,13.974978003832206,13.968639800234874,16.23555057577915,16.393690096262397,1.362698728389227,14.283062507618181,17.098040149791597,15.624532000066752,17.419447696853094,0.0,14.2818757524909,17.028098768411212,15.621588067027751,17.41934447086152,19.512739497327257,13.631479482247123,15.385091474901706,16.864219397332974,16.864219397332974,16.864219397332974
6/8,6.419258952444759,6.395661325812598,16.067330323462215,11.28344039508639,14.325733683390066,0.17943368156025197,16.59726391809414,14.892934539049765,14.114822531879518,14.2818757524909,0.0,16.518507312878985,14.89091630905358,14.11464520299275,18.58334321193376,10.085427743490046,5.805562093086122,16.195369411495964,16.195369411495964,16.195369411495964
7/8,16.424598790861626,16.36306345389738,18.882717758438968,17.620692566203356,17.107936003998883,16.5195260249062,1.3672125465302953,17.142742529157847,20.497933907194227,17.028098768411212,16.518507312878985,0.0,17.141362254184585,20.49782686816184,20.480863226664408,18.147832134744633,18.092618027234728,19.574818470918142,19.574818470918142,19.574818470918142
9/8,16.09718840529633,16.138462993094404,9.578912003015876,18.42366258351994,15.653681702102704,14.892395850511972,17.266593381186848,0.200175665698408,20.787260867929742,15.621588067027751,14.89091630905358,17.141362254184585,0.0,20.787125834213324,19.152938618528136,15.395953383634682,17.1622779606266,17.072239322332894,17.072239322332894,17.072239322332894
12/8,15.794776561009764,15.783967050026083,19.907667207721715,11.75198360527316,17.443529454602054,14.116202942456754,20.50334528475414,20.79267975673984,0.05704803180007531,17.41934447086152,14.11464520299275,20.49782686816184,20.787125834213324,0.0,21.776635123760855,18.992018672544557,13.744845296927448,17.80883910546684,17.80883910546684,17.80883910546684
