,bc16,bc8,6/4,6/8,9/4,9/8,bc4,12/4,12/8,2/2,2/4,7/4,5/4,3/4,4/4,7/8,5/8,bc12,bc24,bc48
bc16,0.0,2.0,2.1559699630089377,2.170775674058556,2.347568971986651,2.3752781118903217,2.449489742783178,2.503210715133178,2.564797658947839,2.7158898796070545,2.7751400644519895,2.959788408995173,2.98015231080922,2.982296034385131,2.9967386545045387,3.1159137030684323,3.1376196962003577,3.140137754347581,3.411211461689767,3.9080336836735783
bc8,2.0,0.0,1.2589516977599038,1.3109829769880035,1.262915419319454,1.3161587636900292,1.4142135623730951,2.3447982212527827,2.4395604317236406,2.1184164821687292,2.2091462564967204,2.2533588000879243,2.2532149752985324,2.2293120147496923,2.9525805869692636,2.463117746962628,2.462810187313962,2.420839754357787,2.7633971188310302,4.390071442781686
6/4,2.1559699630089377,1.2589516977599038,0.0,0.18135255374755346,0.5906356489378884,0.6386823016839822,1.5327130863435379,1.3549580202668987,1.4626241253415206,1.0148509859322143,1.099481639804267,1.3072110072525434,1.3224194612052316,1.2930859423189416,1.9043676486124754,1.5136248336904237,1.5283393048085658,1.7769139460318262,1.7896627905115732,3.490917497808653
6/8,2.170775674058556,1.3109829769880035,0.18135255374755346,0.0,0.640543653945031,0.6352283019294499,1.6396568370687472,1.2884688717178001,1.3840898833098982,1.0118922134279316,1.079445522332096,1.3002813732968839,1.3167097073577663,1.2872585565934311,1.8362830196836826,1.4685366620095908,1.4848781429353266,1.8063242723819102,1.6997301718280973,3.4169339393891924
9/4,2.347568971986651,1.262915419319454,0.5906356489378884,0.640543653945031,0.0,0.18715707778275387,1.527241141744452,1.7259297301710825,1.8258365945167263,1.2090259801707084,1.2916554019967357,1.3628357694233568,1.3547024843901374,1.1216629584860036,2.22672636034257,1.5694078757654704,1.5613240904579364,1.7917291015231243,1.8305350296252467,3.8495383569702226
9/8,2.3752781118903217,1.3161587636900292,0.6386823016839822,0.6352283019294499,0.18715707778275387,0.0,1.6371866158288673,1.6979774251729558,1.7867521571984877,1.2193395416203483,1.287080354261953,1.3594983578925481,1.3507320383463748,1.0996133551087752,2.1898337409543522,1.5281930980729352,1.5193086986034823,1.8225251356259722,1.7423531976825697,3.8066962392524326
bc4,2.449489742783178,1.4142135623730951,1.5327130863435379,1.6396568370687472,1.527241141744452,1.6371866158288673,0.0,2.6005825517239076,2.712765879466653,2.0893034932637047,2.2071441381463903,2.2511478991248546,2.2508935143767324,2.227400067552585,3.1166874275784666,2.5124884012234587,2.5120230026317496,1.9883380930045633,3.104249287084341,4.6122366887148445
12/4,2.503210715133178,2.3447982212527827,1.3549580202668987,1.2884688717178001,1.7259297301710825,1.6979774251729558,2.6005825517239076,0.0,0.14228553771727204,1.339533782027483,1.3212670724189552,1.7422420368806026,1.744063812679016,1.7867851795630358,0.7008191036502152,1.7869738809221474,1.7890006073456262,2.36595001438284,1.8111997737485208,2.35783365497291
12/8,2.564797658947839,2.4395604317236406,1.4626241253415206,1.3840898833098982,1.8258365945167263,1.7867521571984877,2.712765879466653,0.14228553771727204,0.0,1.4240770226395114,1.3954610960104632,1.8128754645913847,1.8147095446997525,1.8584854623428386,0.6389069767804659,1.8323325406960953,1.8344233449862666,2.4433736069101064,1.817459217087739,2.2744520574830895
2/2,2.7158898796070545,2.1184164821687292,1.0148509859322143,1.0118922134279316,1.2090259801707084,1.2193395416203483,2.0893034932637047,1.339533782027483,1.4240770226395114,0.0,0.15844720369933335,0.7937740245043746,0.8263738498055486,0.7817198372769737,1.5053933377983226,0.9962732512321678,1.0255077244438382,1.2925947087325136,1.4558080382862086,3.243748810012302
2/4,2.7751400644519895,2.2091462564967204,1.099481639804267,1.079445522332096,1.2916554019967357,1.287080354261953,2.2071441381463903,1.3212670724189552,1.3954610960104632,0.15844720369933335,0.0,0.7943838320416364,0.8289172350122375,0.7851477758628974,1.4391207608714438,0.9552730388612038,0.9876091803044088,1.3321628661612053,1.3807127042057465,3.180115056788845
7/4,2.959788408995173,2.2533588000879243,1.3072110072525434,1.3002813732968839,1.3628357694233568,1.3594983578925481,2.2511478991248546,1.7422420368806026,1.8128754645913847,0.7937740245043746,0.7943838320416364,0.0,1.1170257789784006,0.9010965486695457,1.8874821357783789,0.43830894434886936,1.2627148896448674,1.419217888120888,1.4654881393506707,3.5862274399706635
5/4,2.98015231080922,2.2532149752985324,1.3224194612052316,1.3167097073577663,1.3547024843901374,1.3507320383463748,2.2508935143767324,1.744063812679016,1.8147095446997525,0.8263738498055486,0.8289172350122375,1.1170257789784006,0.0,0.8835918590136324,1.8894615156908252,1.2627344374709848,0.4375706022570788,1.4185256361043792,1.4653208453166364,3.635148855770397
