,bc24,6/8,6/4,2/4,2/2,5/8,4/4,5/4,bc48,12/8,12/4,bc8,bc4,bc16,bc12,7/8,7/4,3/4,9/8,9/4
bc24,0.0,10.085427743490046,10.087619562709659,11.085931087833938,11.099532927789499,13.631479482247123,13.71347694657254,13.716682743175546,14.169854075983336,14.239322435751257,14.239429539341199,18.343713502168537,18.343713502168537,18.343713502168537,20.116008064341784,42.45038065568436,129.0476036342934,135.2542797603604,237.81607760091248,237.86385677131855
6/8,10.085427743490046,0.0,0.17943368156025197,6.395661325812598,6.419258952444759,14.2818757524909,9.19434166453007,14.325733683390066,5.805562093086122,9.491653631953305,9.491788546242045,16.195369411495964,16.195369411495964,16.195369411495964,18.58334321193376,41.04660370845179,128.02491843251704,134.9867942996034,237.28915997467846,237.33709295897398
6/4,10.087619562709659,0.17943368156025197,0.0,6.37917566937267,6.403063821310861,14.283062507618181,9.193280570097627,14.322829817394481,5.807854381053894,9.493489174884724,9.492716152776456,16.19716226031538,16.19716226031538,16.19716226031538,18.584736198690763,41.04724958411214,128.01029777118785,134.93206012232474,237.23904295878887,237.2868941137295
2/4,11.085931087833938,6.395661325812598,6.37917566937267,0.0,0.9816719338482303,13.968639800234874,9.891206149307884,13.957798367904088,8.818938113069509,10.693907149679662,10.691070494057708,17.120437965037727,17.120437965037727,17.120437965037727,17.256390552873274,44.94977756595464,128.3969426692691,135.2661459419567,236.93117045556505,236.97890316381574
2/2,11.099532927789499,6.419258952444759,6.403063821310861,0.9816719338482303,0.0,13.974978003832206,9.902279314226272,13.963206745795393,8.833929724963541,10.702283182497291,10.69945424775465,17.123362155032957,17.123362155032957,17.123362155032957,17.264174578147514,44.93588516262642,128.55048724370604,135.41324668817214,237.10153083377,237.1492343267748
5/8,13.631479482247123,14.2818757524909,14.283062507618181,13.968639800234874,13.974978003832206,0.0,16.3932076874623,1.362698728389227,15.385091474901706,16.929030506389626,16.929064516170087,16.864219397332974,16.864219397332974,16.864219397332974,19.512739497327257,43.29333165881707,128.77133175109674,135.83287480714105,237.740025579624,237.78793470475412
4/4,13.71347694657254,9.19434166453007,9.193280570097627,9.891206149307884,9.902279314226272,16.3932076874623,0.0,16.408369836920212,9.833053939001935,1.6491036802046521,1.644681145092648,18.50991098593475,18.50991098593475,18.50991098593475,21.636796941696215,43.719101754407966,129.33078444750072,135.98459944697788,238.21245862508997,238.25991108778035
5/4,13.716682743175546,14.325733683390066,14.322829817394481,13.957798367904088,13.963206745795393,1.362698728389227,16.408369836920212,0.0,15.414451389001199,16.953235336762962,16.951955392066036,16.881116206100554,16.881116206100554,16.881116206100554,19.560502042850658,43.277221216616695,128.81948835135762,135.80295575940647,237.69079095668545,237.7385711565837
bc48,14.169854075983336,5.805562093086122,5.807854381053894,8.818938113069509,8.833929724963541,15.385091474901706,9.833053939001935,15.414451389001199,0.0,10.00347605660662,10.003599046425624,16.474650862156608,16.474650862156608,16.474650862156608,20.352271610516084,41.42634664427689,128.43784117333817,135.63483732608427,237.7865440637508,237.8344067415258
12/8,14.239322435751257,9.491653631953305,9.493489174884724,10.693907149679662,10.702283182497291,16.929030506389626,1.6491036802046521,16.953235336762962,10.00347605660662,0.0,0.05704803180007531,18.62092275039319,18.62092275039319,18.62092275039319,21.776065712195408,43.43237654081257,129.23226812324705,135.99697821952037,238.2527748931739,238.30034656753298
12/4,14.239429539341199,9.491788546242045,9.492716152776456,10.691070494057708,10.69945424775465,16.929064516170087,1.644681145092648,16.951955392066036,10.003599046425624,0.05704803180007531,0.0,18.621048625853284,18.621048625853284,18.621048625853284,21.776159451283764,43.432413144223695,129.22915309745662,135.9790815893919,238.23727815693536,238.28482236007662
