,c3,2/4,2/2,4/4,c8,c4,c2,6/8,c6,c12,9/8,12/8,12/4,9/4,3/4,7/8,5/4,5/8,7/4,6/4
c3,0.0,16.71166713629612,16.713855198491018,16.713855198491018,16.738726381615233,16.738726381615233,16.738726381615233,18.784284473758003,20.42035224833365,20.48020777421953,20.887286071680467,22.05929410361088,22.610055528103516,25.53235502898003,29.270809188141307,63.19047764538673,66.08960573738835,73.7474672499092,91.7618155087537,105.70450520065631
2/4,16.71166713629612,0.0,0.6843871413472937,0.6843871413472937,0.42247283489375725,0.42247283489375725,0.42247283489375725,16.427084826636968,18.617480552722668,16.69390255421013,18.71087920861897,19.060476964587757,17.279784262109146,23.226953296490688,28.523456686478596,68.65400061028147,66.57169606220324,70.24950251718998,99.01026284366174,96.91181123058229
2/2,16.713855198491018,0.6843871413472937,0.0,0.0,0.5984002533353978,0.5984002533353978,0.5984002533353978,16.353206557271825,18.578506662781944,16.589661368415243,18.71223031977708,18.973703499189217,17.298453082751973,23.073251396666382,28.432970106639296,68.64601333328093,66.541033086484,70.25375713547841,99.03911692077037,96.88655103907695
4/4,16.713855198491018,0.6843871413472937,0.0,0.0,0.5984002533353978,0.5984002533353978,0.5984002533353978,16.353206557271825,18.578506662781944,16.589661368415243,18.71223031977708,18.973703499189217,17.298453082751973,23.073251396666382,28.432970106639296,68.64601333328093,66.541033086484,70.25375713547841,99.03911692077037,96.88655103907695
c8,16.738726381615233,0.42247283489375725,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,16.443057672920688,18.63718150838853,16.688555934928594,18.72146844128829,19.049624798505842,17.274858561808653,23.22380211919291,28.523596276963243,68.64074287239033,66.56973461566977,70.26494426391287,99.02146244570683,96.89999088107824
c4,16.738726381615233,0.42247283489375725,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,16.443057672920688,18.63718150838853,16.688555934928594,18.72146844128829,19.049624798505842,17.274858561808653,23.22380211919291,28.523596276963243,68.64074287239033,66.56973461566977,70.26494426391287,99.02146244570683,96.89999088107824
c2,16.738726381615233,0.42247283489375725,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,16.443057672920688,18.63718150838853,16.688555934928594,18.72146844128829,19.049624798505842,17.274858561808653,23.22380211919291,28.523596276963243,68.64074287239033,66.56973461566977,70.26494426391287,99.02146244570683,96.89999088107824
6/8,18.784284473758003,16.427084826636968,16.353206557271825,16.353206557271825,16.443057672920688,16.443057672920688,16.443057672920688,0.0,10.528083137635672,5.8070384362021255,13.781546657620135,9.848711697143274,17.749168896501704,14.634067190198394,19.138310024481502,71.98160790976422,63.33983271086332,70.91986401896361,100.29627274830392,95.98675297980469
c6,20.42035224833365,18.617480552722668,18.578506662781944,18.578506662781944,18.63718150838853,18.63718150838853,18.63718150838853,10.528083137635672,0.0,14.4253452291444,12.560415279763731,14.562565122421637,21.433103355061352,20.49928878953114,24.51779475602692,73.12317974576075,63.44915543766829,73.22662902051425,100.27450467276792,96.78010656620876
c12,20.48020777421953,16.69390255421013,16.589661368415243,16.589661368415243,16.688555934928594,16.688555934928594,16.688555934928594,5.8070384362021255,14.4253452291444,0.0,15.723565185614781,10.620486506175398,17.744975132146173,13.136584843896314,16.949559310352193,71.1445217750998,62.43108456975038,71.09453373116379,101.41844158035813,94.84167866343871
9/8,20.887286071680467,18.71087920861897,18.71223031977708,18.71223031977708,18.72146844128829,18.72146844128829,18.72146844128829,13.781546657620135,12.560415279763731,15.723565185614781,0.0,18.041858689039085,23.97073776295571,25.12976932804655,23.819892269157673,71.87584422485757,63.19952163891531,72.7396298522928,99.72744672757608,96.7674041621568
12/8,22.05929410361088,19.060476964587757,18.973703499189217,18.973703499189217,19.049624798505842,19.049624798505842,19.049624798505842,9.848711697143274,14.562565122421637,10.620486506175398,18.041858689039085,0.0,19.65724461729065,17.384010904699835,21.51842978442242,71.84254119872848,64.63988519720724,73.33173786365381,101.06602503353285,96.20724587232432
12/4,22.610055528103516,17.279784262109146,17.298453082751973,17.298453082751973,17.274858561808653,17.274858561808653,17.274858561808653,17.749168896501704,21.433103355061352,17.744975132146173,23.97073776295571,19.65724461729065,0.0,23.16025617402624,27.24092276646472,71.40740173773544,66.46745684851636,71.75552553342835,100.7357551333643,95.59612015217786
9/4,25.53235502898003,23.226953296490688,23.073251396666382,23.073251396666382,23.22380211919291,23.22380211919291,23.22380211919291,14.634067190198394,20.49928878953114,13.136584843896314,25.12976932804655,17.384010904699835,23.16025617402624,0.0,20.59193140664261,73.24001522798375,64.84921498919671,72.89617995641822,103.28520803712327,96.07111056099109
3/4,29.270809188141307,28.523456686478596,28.432970106639296,28.432970106639296,28.523596276963243,28.523596276963243,28.523596276963243,19.138310024481502,24.51779475602692,16.949559310352193,23.819892269157673,21.51842978442242,27.24092276646472,20.59193140664261,0.0,75.90720737924106,52.95788154685906,68.12123674913505,105.34600276491938,93.7224930852163
7/8,63.19047764538673,68.65400061028147,68.64601333328093,68.64601333328093,68.64074287239033,68.64074287239033,68.64074287239033,71.98160790976422,73.12317974576075,71.1445217750998,71.87584422485757,71.84254119872848,71.40740173773544,73.24001522798375,75.90720737924106,0.0,115.16689450201777,129.38364874301067,50.56370389610529,159.2832013384732
5/4,66.08960573738835,66.57169606220324,66.541033086484,66.541033086484,66.56973461566977,66.56973461566977,66.56973461566977,63.33983271086332,63.44915543766829,62.43108456975038,63.19952163891531,64.63988519720724,66.46745684851636,64.84921498919671,52.95788154685906,115.16689450201777,0.0,54.36141438006295,143.98772718516446,80.21937409290334
5/8,73.7474672499092,70.24950251718998,70.25375713547841,70.25375713547841,70.26494426391287,70.26494426391287,70.26494426391287,70.91986401896361,73.22662902051425,71.09453373116379,72.7396298522928,73.33173786365381,71.75552553342835,72.89617995641822,68.12123674913505,129.38364874301067,54.36141438006295,0.0,156.57800517921632,68.82063600238402
7/4,91.7618155087537,99.01026284366174,99.03911692077037,99.03911692077037,99.02146244570683,99.02146244570683,99.02146244570683,100.29627274830392,100.27450467276792,101.41844158035813,99.72744672757608,101.06602503353285,100.7357551333643,103.28520803712327,105.34600276491938,50.56370389610529,143.98772718516446,156.57800517921632,0.0,192.55707451717177
6/4,105.70450520065631,96.91181123058229,96.88655103907695,96.88655103907695,96.89999088107824,96.89999088107824,96.89999088107824,95.98675297980469,96.78010656620876,94.84167866343871,96.7674041621568,96.20724587232432,95.59612015217786,96.07111056099109,93.7224930852163,159.2832013384732,80.21937409290334,68.82063600238402,192.55707451717177,0.0
