,c8,c4,c2,2/4,2/2,4/4,6/8,c12,c3,12/4,12/8,5/8,6/4,9/8,c6,9/4,7/4,3/4,7/8,5/4
c8,0.0,0.0,0.0,0.42247283489375725,0.5984002533353978,0.5984002533353978,16.443057672920688,16.688555934928594,16.738726381615233,17.274858561808653,17.931504801074638,18.457004285366466,18.50200164121698,18.603997672383628,18.63718150838853,19.934063089033614,25.347988238011173,28.523596276963243,34.0630603144222,35.14326771784524
c4,0.0,0.0,0.0,0.42247283489375725,0.5984002533353978,0.5984002533353978,16.443057672920688,16.688555934928594,16.738726381615233,17.274858561808653,17.931504801074638,18.457004285366466,18.50200164121698,18.603997672383628,18.63718150838853,19.934063089033614,25.347988238011173,28.523596276963243,34.0630603144222,35.14326771784524
c2,0.0,0.0,0.0,0.42247283489375725,0.5984002533353978,0.5984002533353978,16.443057672920688,16.688555934928594,16.738726381615233,17.274858561808653,17.931504801074638,18.457004285366466,18.50200164121698,18.603997672383628,18.63718150838853,19.934063089033614,25.347988238011173,28.523596276963243,34.0630603144222,35.14326771784524
2/4,0.42247283489375725,0.42247283489375725,0.42247283489375725,0.0,0.6843871413472937,0.6843871413472937,16.427084826636968,16.69390255421013,16.71166713629612,17.279784262109146,17.94303323255838,18.477226060803872,18.50578478805124,18.593341538180585,18.617480552722668,19.937734219401737,25.34666740515811,28.523456686478596,34.057016770868444,35.18845094481881
2/2,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.6843871413472937,0.0,0.0,16.353206557271825,16.589661368415243,16.713855198491018,17.298453082751973,17.850828662621215,18.46107393830861,18.401404183515773,18.594701189755288,18.578506662781944,19.978995049958215,25.265820088582135,28.432970106639296,34.010535245597595,35.1561443320996
4/4,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.6843871413472937,0.0,0.0,16.353206557271825,16.589661368415243,16.713855198491018,17.298453082751973,17.850828662621215,18.46107393830861,18.401404183515773,18.594701189755288,18.578506662781944,19.978995049958215,25.265820088582135,28.432970106639296,34.010535245597595,35.1561443320996
6/8,16.443057672920688,16.443057672920688,16.443057672920688,16.427084826636968,16.353206557271825,16.353206557271825,0.0,5.8070384362021255,18.784284473758003,17.749168896501704,12.524315356422848,21.092569834596933,14.09983663424629,14.959413871831158,10.528083137635672,17.304401555270093,25.62511733122233,19.138310024481502,36.06434781931511,35.55850362997119
c12,16.688555934928594,16.688555934928594,16.688555934928594,16.69390255421013,16.589661368415243,16.589661368415243,5.8070384362021255,0.0,20.48020777421953,17.744975132146173,12.51282266534468,21.699889331682517,13.447276588709425,16.46878755693057,14.4253452291444,17.09199415971986,25.077354427586794,16.949559310352193,34.021245085667665,34.384636601189634
c3,16.738726381615233,16.738726381615233,16.738726381615233,16.71166713629612,16.713855198491018,16.713855198491018,18.784284473758003,20.48020777421953,0.0,22.610055528103516,21.599640050393543,23.64756809627998,22.508173060087884,21.41791435227951,20.42035224833365,23.985603366378804,28.49227524949842,29.270809188141307,42.709933591496714,38.96976251498342
12/4,17.274858561808653,17.274858561808653,17.274858561808653,17.279784262109146,17.298453082751973,17.298453082751973,17.749168896501704,17.744975132146173,22.610055528103516,0.0,14.2321979164725,24.402031991131086,11.238987135435892,24.246145903897418,21.433103355061352,20.24135471340572,27.69901165497887,27.24092276646472,37.53756644426048,35.95347786062469
