,c4,2/4,3/4,5/4,7/4,2/2,4/4,9/4,6/4,c2,7/8,5/8,6/8,9/8,12/8,c3,c8,12/4,c6,c12
c4,0.0,0.5639986926823572,0.5800299333513744,0.5939218255850602,0.5996695597272336,0.7489918511772954,0.7489918511772954,0.8895032535432705,0.8895642827125796,1.0,1.0224138048887819,1.0241483955332071,1.0742061982982847,1.1769541997466937,1.2855842246903986,1.413173352463668,1.4142135623730951,1.6510182990933666,1.7253243712550146,1.9883380930045633
2/4,0.5639986926823572,0.0,0.3278928331353998,0.3527120988612451,0.35666490977410115,0.5786380864427688,0.5786380864427688,0.8754037077941605,0.843922993026866,0.5257394130651457,0.5701970274684808,0.5695719223118384,0.7432510616211871,0.8138045777712369,1.131611619072428,1.1264513455543492,1.318067584996503,1.6169889378390616,1.4981210555223938,2.0635106246913724
3/4,0.5800299333513744,0.3278928331353998,0.0,0.370540894237405,0.3785031157837618,0.7838562759177916,0.7838562759177916,0.6640241793254249,0.6656856836597653,0.5411042389377494,0.5840037648773514,0.584732868988244,0.5860017233292065,0.7201474983696009,0.9599607018447268,1.0393274369564403,1.5242880084787516,1.5210789885156788,1.361315324077826,1.8598798534198269
5/4,0.5939218255850602,0.3527120988612451,0.370540894237405,0.0,0.409015511661444,0.794046049518828,0.794046049518828,0.8938972315106615,0.8991671830723164,0.5524848344170975,0.5970768804262566,0.5553061187359066,0.7619170218638296,0.8320556649706025,1.1731336029974986,1.1382890962295513,1.5352136090540538,1.6922162279245594,1.5062602859190615,2.071177677140781
7/4,0.5996695597272336,0.35666490977410115,0.3785031157837618,0.409015511661444,0.0,0.7954041870425426,0.7954041870425426,0.8929758824695787,0.8989211827446119,0.5578057911536867,0.5777353290203622,0.6007009450693117,0.7643662168467119,0.8324071870479263,1.1717949552159483,1.140207965359475,1.530168430070586,1.6956809823490804,1.507346399928551,2.0702708055783265
2/2,0.7489918511772954,0.5786380864427688,0.7838562759177916,0.794046049518828,0.7954041870425426,0.0,0.0,1.0769196136388108,0.9820399525818694,1.014468479783025,1.037832443760916,1.035743155397374,1.1108058073430815,1.1834883827448277,1.286515329008304,1.418914043257347,0.8697984844468629,1.5296758125022638,1.726418696133,2.1130271398227913
4/4,0.7489918511772954,0.5786380864427688,0.7838562759177916,0.794046049518828,0.7954041870425426,0.0,0.0,1.0769196136388108,0.9820399525818694,1.014468479783025,1.037832443760916,1.035743155397374,1.1108058073430815,1.1834883827448277,1.286515329008304,1.418914043257347,0.8697984844468629,1.5296758125022638,1.726418696133,2.1130271398227913
9/4,0.8895032535432705,0.8754037077941605,0.6640241793254249,0.8938972315106615,0.8929758824695787,1.0769196136388108,1.0769196136388108,0.0,0.42205283775965724,1.0724052774225061,1.0918845228175225,1.095851525136583,0.7595094709150559,0.9360040869724515,0.6736903266937851,1.1807436055382108,1.6541658579813823,1.2045127208110995,1.2767201880471377,1.3236420219440284
6/4,0.8895642827125796,0.843922993026866,0.6656856836597653,0.8991671830723164,0.8989211827446119,0.9820399525818694,0.9820399525818694,0.42205283775965724,0.0,1.0807258406403695,1.1002960485213027,1.1032565843939623,0.7544421828818575,0.9659411635599995,0.5069669730066296,1.1789894124999782,1.517470640363029,0.9447122749858438,1.266510804220951,1.2901286978175406
c2,1.0,0.5257394130651457,0.5411042389377494,0.5524848344170975,0.5578057911536867,1.014468479783025,1.014468479783025,1.0724052774225061,1.0807258406403695,0.0,0.23035179007344964,0.2210880731139581,0.6299130617273753,0.62843090281635,1.2118349965353679,0.9985283792228454,1.7320508075688772,1.8306739106385945,1.405967348855055,2.225643361388572
7/8,1.0224138048887819,0.5701970274684808,0.5840037648773514,0.5970768804262566,0.5777353290203622,1.037832443760916,1.037832443760916,1.0918845228175225,1.1002960485213027,0.23035179007344964,0.0,0.3201194510751704,0.6681476871130236,0.6662594488013395,1.2294764410028574,1.0236017727391715,1.7441025091176028,1.8394524997581958,1.423513149339101,2.2339084964603497
