,c3,2/4,2/2,4/4,c8,c4,c2,6/8,c6,c12,9/8,12/8,6/4,12/4,5/8,9/4,7/4,3/4,5/4,7/8
c3,0.0,16.71166713629612,16.713855198491018,16.713855198491018,16.738726381615233,16.738726381615233,16.738726381615233,18.784284473758003,20.42035224833365,20.48020777421953,21.41791435227951,21.599640050393543,22.508173060087884,22.610055528103516,23.64756809627998,23.985603366378804,28.49227524949842,29.270809188141307,38.96976251498342,42.709933591496714
2/4,16.71166713629612,0.0,0.6843871413472937,0.6843871413472937,0.42247283489375725,0.42247283489375725,0.42247283489375725,16.427084826636968,18.617480552722668,16.69390255421013,18.593341538180585,17.94303323255838,18.50578478805124,17.279784262109146,18.477226060803872,19.937734219401737,25.34666740515811,28.523456686478596,35.18845094481881,34.057016770868444
2/2,16.713855198491018,0.6843871413472937,0.0,0.0,0.5984002533353978,0.5984002533353978,0.5984002533353978,16.353206557271825,18.578506662781944,16.589661368415243,18.594701189755288,17.850828662621215,18.401404183515773,17.298453082751973,18.46107393830861,19.978995049958215,25.265820088582135,28.432970106639296,35.1561443320996,34.010535245597595
4/4,16.713855198491018,0.6843871413472937,0.0,0.0,0.5984002533353978,0.5984002533353978,0.5984002533353978,16.353206557271825,18.578506662781944,16.589661368415243,18.594701189755288,17.850828662621215,18.401404183515773,17.298453082751973,18.46107393830861,19.978995049958215,25.265820088582135,28.432970106639296,35.1561443320996,34.010535245597595
c8,16.738726381615233,0.42247283489375725,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,16.443057672920688,18.63718150838853,16.688555934928594,18.603997672383628,17.931504801074638,18.50200164121698,17.274858561808653,18.457004285366466,19.934063089033614,25.347988238011173,28.523596276963243,35.14326771784524,34.0630603144222
c4,16.738726381615233,0.42247283489375725,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,16.443057672920688,18.63718150838853,16.688555934928594,18.603997672383628,17.931504801074638,18.50200164121698,17.274858561808653,18.457004285366466,19.934063089033614,25.347988238011173,28.523596276963243,35.14326771784524,34.0630603144222
c2,16.738726381615233,0.42247283489375725,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,16.443057672920688,18.63718150838853,16.688555934928594,18.603997672383628,17.931504801074638,18.50200164121698,17.274858561808653,18.457004285366466,19.934063089033614,25.347988238011173,28.523596276963243,35.14326771784524,34.0630603144222
6/8,18.784284473758003,16.427084826636968,16.353206557271825,16.353206557271825,16.443057672920688,16.443057672920688,16.443057672920688,0.0,10.528083137635672,5.8070384362021255,14.959413871831158,12.524315356422848,14.09983663424629,17.749168896501704,21.092569834596933,17.304401555270093,25.62511733122233,19.138310024481502,35.55850362997119,36.06434781931511
c6,20.42035224833365,18.617480552722668,18.578506662781944,18.578506662781944,18.63718150838853,18.63718150838853,18.63718150838853,10.528083137635672,0.0,14.4253452291444,14.821969685768602,17.619181300923326,19.426713822445752,21.433103355061352,21.96947311156521,21.495676523734478,27.72584539043654,24.51779475602692,34.30162867422132,38.73330130886836
c12,20.48020777421953,16.69390255421013,16.589661368415243,16.589661368415243,16.688555934928594,16.688555934928594,16.688555934928594,5.8070384362021255,14.4253452291444,0.0,16.46878755693057,12.51282266534468,13.447276588709425,17.744975132146173,21.699889331682517,17.09199415971986,25.077354427586794,16.949559310352193,34.384636601189634,34.021245085667665
9/8,21.41791435227951,18.593341538180585,18.594701189755288,18.594701189755288,18.603997672383628,18.603997672383628,18.603997672383628,14.959413871831158,14.821969685768602,16.46878755693057,0.0,20.705711544837758,23.000457607124755,24.246145903897418,24.530438325091687,21.70201885681352,29.510552349524016,24.481799478143923,36.584387410995475,37.222109712419005
12/8,21.599640050393543,17.94303323255838,17.850828662621215,17.850828662621215,17.931504801074638,17.931504801074638,17.931504801074638,12.524315356422848,17.619181300923326,12.51282266534468,20.705711544837758,0.0,9.637393043132661,14.2321979164725,25.55795116789392,20.060721408527883,24.828645223407875,22.957099465957935,36.915252557914904,37.173356518992804
6/4,22.508173060087884,18.50578478805124,18.401404183515773,18.401404183515773,18.50200164121698,18.50200164121698,18.50200164121698,14.09983663424629,19.426713822445752,13.447276588709425,23.000457607124755,9.637393043132661,0.0,11.238987135435892,24.89383483838249,21.32478376973932,24.761561058104085,22.898955162697447,36.204678305421304,36.50422715655989
12/4,22.610055528103516,17.279784262109146,17.298453082751973,17.298453082751973,17.274858561808653,17.274858561808653,17.274858561808653,17.749168896501704,21.433103355061352,17.744975132146173,24.246145903897418,14.2321979164725,11.238987135435892,0.0,24.402031991131086,20.24135471340572,27.69901165497887,27.24092276646472,35.95347786062469,37.53756644426048
5/8,23.64756809627998,18.477226060803872,18.46107393830861,18.46107393830861,18.457004285366466,18.457004285366466,18.457004285366466,21.092569834596933,21.96947311156521,21.699889331682517,24.530438325091687,25.55795116789392,24.89383483838249,24.402031991131086,0.0,25.672642935938065,29.55751784145341,29.156415720450376,30.85212169450442,37.83840210519596
9/4,23.985603366378804,19.937734219401737,19.978995049958215,19.978995049958215,19.934063089033614,19.934063089033614,19.934063089033614,17.304401555270093,21.495676523734478,17.09199415971986,21.70201885681352,20.060721408527883,21.32478376973932,20.24135471340572,25.672642935938065,0.0,30.88208204869528,26.149157591027354,37.541295556916005,38.67192816632699
7/4,28.49227524949842,25.34666740515811,25.265820088582135,25.265820088582135,25.347988238011173,25.347988238011173,25.347988238011173,25.62511733122233,27.72584539043654,25.077354427586794,29.510552349524016,24.828645223407875,24.761561058104085,27.69901165497887,29.55751784145341,30.88208204869528,0.0,27.936758925379312,33.918231983026736,37.18389094757981
3/4,29.270809188141307,28.523456686478596,28.432970106639296,28.432970106639296,28.523596276963243,28.523596276963243,28.523596276963243,19.138310024481502,24.51779475602692,16.949559310352193,24.481799478143923,22.957099465957935,22.898955162697447,27.24092276646472,29.156415720450376,26.149157591027354,27.936758925379312,0.0,34.125076228529075,30.69617890438257
5/4,38.96976251498342,35.18845094481881,35.1561443320996,35.1561443320996,35.14326771784524,35.14326771784524,35.14326771784524,35.55850362997119,34.30162867422132,34.384636601189634,36.584387410995475,36.915252557914904,36.204678305421304,35.95347786062469,30.85212169450442,37.541295556916005,33.918231983026736,34.125076228529075,0.0,43.07658936140947
7/8,42.709933591496714,34.057016770868444,34.010535245597595,34.010535245597595,34.0630603144222,34.0630603144222,34.0630603144222,36.06434781931511,38.73330130886836,34.021245085667665,37.222109712419005,37.173356518992804,36.50422715655989,37.53756644426048,37.83840210519596,38.67192816632699,37.18389094757981,30.69617890438257,43.07658936140947,0.0
