Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,pm18,pm14,pm10,pm12,pm8,pm16
2/2,0.0,0.5786380864427688,0.7838562759177916,0.0,0.794046049518828,0.9820399525818694,0.7954041870425426,1.0769196136388108,1.5296758125022638,1.035743155397374,1.1108058073430815,1.037832443760916,1.1834883827448277,1.286515329008304,2.9594917408493955,2.6168854616667545,2.221623036763501,2.1130271398227913,0.8697984844468629,1.9138834273526673
2/4,0.5786380864427688,0.0,0.3278928331353998,0.5786380864427688,0.3527120988612451,0.843922993026866,0.35666490977410115,0.8754037077941605,1.6169889378390616,0.5695719223118384,0.7432510616211871,0.5701970274684808,0.8138045777712369,1.131611619072428,2.83741356369166,2.4806699817263924,2.049263002527252,2.0635106246913724,1.318067584996503,2.395266615351726
3/4,0.7838562759177916,0.3278928331353998,0.0,0.7838562759177916,0.370540894237405,0.6656856836597653,0.3785031157837618,0.6640241793254249,1.5210789885156788,0.584732868988244,0.5860017233292065,0.5840037648773514,0.7201474983696009,0.9599607018447268,2.7670839313548052,2.482431203294497,2.0479570024707123,1.8598798534198269,1.5242880084787516,2.5172275922926715
4/4,0.0,0.5786380864427688,0.7838562759177916,0.0,0.794046049518828,0.9820399525818694,0.7954041870425426,1.0769196136388108,1.5296758125022638,1.035743155397374,1.1108058073430815,1.037832443760916,1.1834883827448277,1.286515329008304,2.9594917408493955,2.6168854616667545,2.221623036763501,2.1130271398227913,0.8697984844468629,1.9138834273526673
5/4,0.794046049518828,0.3527120988612451,0.370540894237405,0.794046049518828,0.0,0.8991671830723164,0.409015511661444,0.8938972315106615,1.6922162279245594,0.5553061187359066,0.7619170218638296,0.5970768804262566,0.8320556649706025,1.1731336029974986,2.8435338160541406,2.4927276570983006,1.901562047003055,2.071177677140781,1.5352136090540538,2.513066636649325
6/4,0.9820399525818694,0.843922993026866,0.6656856836597653,0.9820399525818694,0.8991671830723164,0.0,0.8989211827446119,0.42205283775965724,0.9447122749858438,1.1032565843939623,0.7544421828818575,1.1002960485213027,0.9659411635599995,0.5069669730066296,2.706277101496019,2.634184531561144,2.2429330538087173,1.2901286978175406,1.517470640363029,2.5117659099090064
7/4,0.7954041870425426,0.35666490977410115,0.3785031157837618,0.7954041870425426,0.409015511661444,0.8989211827446119,0.0,0.8929758824695787,1.6956809823490804,0.6007009450693117,0.7643662168467119,0.5777353290203622,0.8324071870479263,1.1717949552159483,2.8398775020036013,2.3435986315315342,2.0640197004698773,2.0702708055783265,1.530168430070586,2.519420199810055
9/4,1.0769196136388108,0.8754037077941605,0.6640241793254249,1.0769196136388108,0.8938972315106615,0.42205283775965724,0.8929758824695787,0.0,1.2045127208110995,1.095851525136583,0.7595094709150559,1.0918845228175225,0.9360040869724515,0.6736903266937851,2.536567042320125,2.6288549679309616,2.2457904240175615,1.3236420219440284,1.6541658579813823,2.6002261534681828
12/4,1.5296758125022638,1.6169889378390616,1.5210789885156788,1.5296758125022638,1.6922162279245594,0.9447122749858438,1.6956809823490804,1.2045127208110995,0.0,1.8416627043183982,1.4811939341071059,1.8394524997581958,1.6414089991176128,0.9400461998927989,2.89266811698795,2.994555906614835,2.664445908131586,1.2750776518806126,1.7661879201260997,2.483756189500277
5/8,1.035743155397374,0.5695719223118384,0.584732868988244,1.035743155397374,0.5553061187359066,1.1032565843939623,0.6007009450693117,1.095851525136583,1.8416627043183982,0.0,0.667202423697537,0.3201194510751704,0.6640809200026776,1.2320854081849202,2.803245878771531,2.4417320936957774,1.8375229006551195,2.2386725200968014,1.7440970295374234,2.6501307794313322
6/8,1.1108058073430815,0.7432510616211871,0.5860017233292065,1.1108058073430815,0.7619170218638296,0.7544421828818575,0.7643662168467119,0.7595094709150559,1.4811939341071059,0.667202423697537,0.0,0.6681476871130236,0.3219910860324843,0.6824258442941183,2.5600638010489214,2.5014564542194067,2.071129779329348,1.7281865157727403,1.7691240987642682,2.6695382843786453
7/8,1.037832443760916,0.5701970274684808,0.5840037648773514,1.037832443760916,0.5970768804262566,1.1002960485213027,0.5777353290203622,1.0918845228175225,1.8394524997581958,0.3201194510751704,0.6681476871130236,0.0,0.6662594488013395,1.2294764410028574,2.80304076615287,2.304631845902239,1.9938103630329933,2.2339084964603497,1.7441025091176028,2.6568921116399347
9/8,1.1834883827448277,0.8138045777712369,0.7201474983696009,1.1834883827448277,0.8320556649706025,0.9659411635599995,0.8324071870479263,0.9360040869724515,1.6414089991176128,0.6640809200026776,0.3219910860324843,0.6662594488013395,0.0,0.880315520569642,2.3681468238802754,2.499626139328482,2.0724709250326274,1.9298784519711734,1.832779104676155,2.706769258558743
12/8,1.286515329008304,1.131611619072428,0.9599607018447268,1.286515329008304,1.1731336029974986,0.5069669730066296,1.1717949552159483,0.6736903266937851,0.9400461998927989,1.2320854081849202,0.6824258442941183,1.2294764410028574,0.880315520569642,0.0,2.5587739145147603,2.688040906097136,2.3092023358004203,1.1700614158001093,1.7646711770811705,2.6666442993935466
pm18,2.9594917408493955,2.83741356369166,2.7670839313548052,2.9594917408493955,2.8435338160541406,2.706277101496019,2.8398775020036013,2.536567042320125,2.89266811698795,2.803245878771531,2.5600638010489214,2.80304076615287,2.3681468238802754,2.5587739145147603,0.0,3.6552251662303146,3.4225031557996974,2.936374210554674,3.2589399588167334,3.8237010415528583
pm14,2.6168854616667545,2.4806699817263924,2.482431203294497,2.6168854616667545,2.4927276570983006,2.634184531561144,2.3435986315315342,2.6288549679309616,2.994555906614835,2.4417320936957774,2.5014564542194067,2.304631845902239,2.499626139328482,2.688040906097136,3.6552251662303146,0.0,3.1165843022606845,3.258793644139631,2.9591817714964312,3.5716602241474145
pm10,2.221623036763501,2.049263002527252,2.0479570024707123,2.221623036763501,1.901562047003055,2.2429330538087173,2.0640197004698773,2.2457904240175615,2.664445908131586,1.8375229006551195,2.071129779329348,1.9938103630329933,2.0724709250326274,2.3092023358004203,3.4225031557996974,3.1165843022606845,0.0,2.9691315897308668,2.631174057921088,3.2816506165694674
pm12,2.1130271398227913,2.0635106246913724,1.8598798534198269,2.1130271398227913,2.071177677140781,1.2901286978175406,2.0702708055783265,1.3236420219440284,1.2750776518806126,2.2386725200968014,1.7281865157727403,2.2339084964603497,1.9298784519711734,1.1700614158001093,2.936374210554674,3.258793644139631,2.9691315897308668,0.0,2.420839754357787,3.140137754347581
pm8,0.8697984844468629,1.318067584996503,1.5242880084787516,0.8697984844468629,1.5352136090540538,1.517470640363029,1.530168430070586,1.6541658579813823,1.7661879201260997,1.7440970295374234,1.7691240987642682,1.7441025091176028,1.832779104676155,1.7646711770811705,3.2589399588167334,2.9591817714964312,2.631174057921088,2.420839754357787,0.0,2.0
pm16,1.9138834273526673,2.395266615351726,2.5172275922926715,1.9138834273526673,2.513066636649325,2.5117659099090064,2.519420199810055,2.6002261534681828,2.483756189500277,2.6501307794313322,2.6695382843786453,2.6568921116399347,2.706769258558743,2.6666442993935466,3.8237010415528583,3.5716602241474145,3.2816506165694674,3.140137754347581,2.0,0.0
