Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,pm18,pm14,pm10,pm12,pm8,pm16
2/2,0.0,0.5713625498910355,0.7808585109320324,0.0,0.7908579820928363,0.9793272886944041,0.793012258147808,1.073629668142576,1.5239735416949591,1.0340631848071955,1.1076367221212904,1.0353574208397751,1.1797742588723776,1.2802040909958925,2.9474242111116675,2.6106080129481497,2.216275029798686,2.1084477335637737,0.8680149559175657,1.899913016838256
2/4,0.5713625498910355,0.0,0.3278551527953735,0.5713625498910355,0.35062914006168744,0.8422062190824534,0.3566170839176929,0.8750964606892008,1.6136071788100435,0.5687515443763678,0.743087832623007,0.5701151230850959,0.8137409931192062,1.1269124438945834,2.8372432352107224,2.4805172822571238,2.049263002527252,2.063015472803755,1.3073913125452439,2.389408304187205
3/4,0.7808585109320324,0.3278551527953735,0.0,0.7808585109320324,0.3482017305426329,0.6390281719327301,0.3567185381349066,0.6385119693339508,1.4887604469537363,0.5729916088717013,0.5673312421773511,0.5775099745284954,0.7042037034979899,0.9246458469814107,2.7550064714856735,2.45560775851362,2.0240147447223555,1.8159956655955014,1.523699348862208,2.5103014036328375
4/4,0.0,0.5713625498910355,0.7808585109320324,0.0,0.7908579820928363,0.9793272886944041,0.793012258147808,1.073629668142576,1.5239735416949591,1.0340631848071955,1.1076367221212904,1.0353574208397751,1.1797742588723776,1.2802040909958925,2.9474242111116675,2.6106080129481497,2.216275029798686,2.1084477335637737,0.8680149559175657,1.899913016838256
5/4,0.7908579820928363,0.35062914006168744,0.3482017305426329,0.7908579820928363,0.0,0.8642078005216504,0.37732880591959905,0.8504890852576493,1.648587715676394,0.5215003231176772,0.7369892075803461,0.5852483043836048,0.8005386696379058,1.1377645916950603,2.7964108709146207,2.454988291509999,1.8647816471204732,2.036453378951739,1.531677149240665,2.5107825770162453
6/4,0.9793272886944041,0.8422062190824534,0.6390281719327301,0.9793272886944041,0.8642078005216504,0.0,0.8666512467689604,0.39968556162363067,0.9178152456875875,1.081466844281392,0.7358317833287117,1.0813346887088815,0.9382226669709148,0.47861793700640326,2.669214276363938,2.539416366753282,2.1607708834276753,1.2689462382606684,1.5172427005348845,2.501920189995918
7/4,0.793012258147808,0.3566170839176929,0.3567185381349066,0.793012258147808,0.37732880591959905,0.8666512467689604,0.0,0.8639303179444312,1.6509357310260633,0.5878618572430745,0.7422473701266755,0.5527134941520594,0.8120146588472341,1.139675432255324,2.811291429336483,2.311287290320047,2.0297044341758186,2.0385146390922295,1.5294049088206862,2.5136618793630965
9/4,1.073629668142576,0.8750964606892008,0.6385119693339508,1.073629668142576,0.8504890852576493,0.39968556162363067,0.8639303179444312,0.0,1.1537106893286961,1.0683015934019662,0.7379838133712118,1.07701095509979,0.8849017564446927,0.6374291137888402,2.4901432866146616,2.5468300459606907,2.135968490493016,1.2957208616227913,1.654000426290441,2.5904831325697923
12/4,1.5239735416949591,1.6136071788100435,1.4887604469537363,1.5239735416949591,1.648587715676394,0.9178152456875875,1.6509357310260633,1.1537106893286961,0.0,1.8130633808584724,1.456312003638819,1.808727075577081,1.6052474740371598,0.8969738840542739,2.7815269102202973,2.788721978566739,2.504581372238008,1.2157884911367243,1.7661364680496185,2.4798780780190106
5/8,1.0340631848071955,0.5687515443763678,0.5729916088717013,1.0340631848071955,0.5215003231176772,1.081466844281392,0.5878618572430745,1.0683015934019662,1.8130633808584724,0.0,0.6463896757764869,0.3003589447482924,0.6459772190644764,1.207479404625368,2.7903093743666565,2.418416944954962,1.7638117015274766,2.2131261168934677,1.743569536129644,2.6475112579441253
6/8,1.1076367221212904,0.743087832623007,0.5673312421773511,1.1076367221212904,0.7369892075803461,0.7358317833287117,0.7422473701266755,0.7379838133712118,1.456312003638819,0.6463896757764869,0.0,0.65546483381469,0.30453983461398626,0.6696423389076898,2.53928933682145,2.4636388723151037,2.020848874410272,1.7147604564809344,1.7676827799324082,2.65926061466424
7/8,1.0353574208397751,0.5701151230850959,0.5775099745284954,1.0353574208397751,0.5852483043836048,1.0813346887088815,0.5527134941520594,1.07701095509979,1.808727075577081,0.3003589447482924,0.65546483381469,0.0,0.6501652454645972,1.2080245851389662,2.777719287314686,2.236997900196411,1.968552940776381,2.219465800378109,1.7438928972480268,2.6500924783640936
9/8,1.1797742588723776,0.8137409931192062,0.7042037034979899,1.1797742588723776,0.8005386696379058,0.9382226669709148,0.8120146588472341,0.8849017564446927,1.6052474740371598,0.6459772190644764,0.30453983461398626,0.6501652454645972,0.0,0.8556871997650715,2.325813771442751,2.456437718686561,2.024607499638621,1.904017427748976,1.8318304049988523,2.6970293575017985
12/8,1.2802040909958925,1.1269124438945834,0.9246458469814107,1.2802040909958925,1.1377645916950603,0.47861793700640326,1.139675432255324,0.6374291137888402,0.8969738840542739,1.207479404625368,0.6696423389076898,1.2080245851389662,0.8556871997650715,0.0,2.5104492059004007,2.5791612533491732,2.2067530170524057,1.159714159305838,1.7614289935506746,2.6502200274720393
