,0_16n,4_16n,8_16n,12_16n,2_16n,6_16n,10_16n,14_16n,3_16n,7_16n,11_16n,15_16n,1_16n,5_16n,9_16n,13_16n
0_16n,0.0,0.0,0.0,0.0,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17
4_16n,0.0,0.0,0.0,0.0,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17
8_16n,0.0,0.0,0.0,0.0,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17
12_16n,0.0,0.0,0.0,0.0,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17
2_16n,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,0.0,0.0,0.0,0.0,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17
6_16n,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,0.0,0.0,0.0,0.0,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17
10_16n,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,0.0,0.0,0.0,0.0,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17
14_16n,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,0.0,0.0,0.0,0.0,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17
3_16n,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,0.0,0.0,0.0,0.0,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17
7_16n,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,0.0,0.0,0.0,0.0,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17
11_16n,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,0.0,0.0,0.0,0.0,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17
15_16n,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,6.206335383118183e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,0.0,0.0,0.0,0.0,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17
1_16n,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,0.0,0.0,0.0,0.0
5_16n,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,0.0,0.0,0.0,0.0
9_16n,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,0.0,0.0,0.0,0.0
13_16n,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,7.343435057440258e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,3.925231146709438e-17,0.0,0.0,0.0,0.0
