,0_16n,8_16n,4_16n,12_16n,1_16n,15_16n,7_16n,9_16n,13_16n,3_16n,5_16n,11_16n,14_16n,2_16n,6_16n,10_16n
0_16n,0.0,0.5718799620226874,1.3400123210341617,1.3400123210341617,1.4336940048499967,1.4336940048499969,1.4339789859161038,1.4339789859161038,1.4339917449376243,1.4339917449376245,1.4347358248351259,1.4347358248351259,1.7690662908918269,1.769066290891827,1.7713897187326448,1.7713897187326448
8_16n,0.5718799620226874,0.0,1.3400123210341617,1.3400123210341617,1.4339789859161038,1.4339789859161038,1.4336940048499969,1.4336940048499967,1.4347358248351259,1.4347358248351259,1.4339917449376243,1.4339917449376245,1.7713897187326448,1.7713897187326448,1.7690662908918269,1.769066290891827
4_16n,1.3400123210341617,1.3400123210341617,0.0,0.5718799620226874,1.4339917449376245,1.4347358248351259,1.4339917449376243,1.4347358248351259,1.4339789859161038,1.4336940048499969,1.4336940048499969,1.4339789859161038,1.771389718732645,1.769066290891827,1.769066290891827,1.7713897187326448
12_16n,1.3400123210341617,1.3400123210341617,0.5718799620226874,0.0,1.4347358248351259,1.4339917449376243,1.4347358248351259,1.4339917449376245,1.4336940048499969,1.4339789859161038,1.4339789859161038,1.4336940048499969,1.769066290891827,1.7713897187326448,1.771389718732645,1.769066290891827
1_16n,1.4336940048499967,1.4339789859161038,1.4339917449376245,1.4347358248351259,0.0,1.769066290891827,1.7713897187326448,0.5718799620226874,1.3400123210341617,1.769066290891827,1.3400123210341617,1.771389718732645,1.4339917449376245,1.4336940048499969,1.4347358248351259,1.4339789859161038
15_16n,1.4336940048499969,1.4339789859161038,1.4347358248351259,1.4339917449376243,1.769066290891827,0.0,0.5718799620226874,1.7713897187326448,1.769066290891827,1.340012321034162,1.7713897187326448,1.3400123210341617,1.4336940048499969,1.4339917449376245,1.4339789859161038,1.4347358248351259
7_16n,1.4339789859161038,1.4336940048499969,1.4339917449376243,1.4347358248351259,1.7713897187326448,0.5718799620226874,0.0,1.769066290891827,1.7713897187326448,1.3400123210341617,1.769066290891827,1.340012321034162,1.4339789859161038,1.4347358248351259,1.4336940048499969,1.4339917449376245
9_16n,1.4339789859161038,1.4336940048499967,1.4347358248351259,1.4339917449376245,0.5718799620226874,1.7713897187326448,1.769066290891827,0.0,1.3400123210341617,1.771389718732645,1.3400123210341617,1.769066290891827,1.4347358248351259,1.4339789859161038,1.4339917449376245,1.4336940048499969
13_16n,1.4339917449376243,1.4347358248351259,1.4339789859161038,1.4336940048499969,1.3400123210341617,1.769066290891827,1.7713897187326448,1.3400123210341617,0.0,1.7713897187326448,0.5718799620226874,1.769066290891827,1.4336940048499969,1.434735824835126,1.4339789859161038,1.4339917449376245
3_16n,1.4339917449376245,1.4347358248351259,1.4336940048499969,1.4339789859161038,1.769066290891827,1.340012321034162,1.3400123210341617,1.771389718732645,1.7713897187326448,0.0,1.769066290891827,0.5718799620226874,1.4347358248351259,1.4336940048499969,1.4339917449376243,1.4339789859161038
5_16n,1.4347358248351259,1.4339917449376243,1.4336940048499969,1.4339789859161038,1.3400123210341617,1.7713897187326448,1.769066290891827,1.3400123210341617,0.5718799620226874,1.769066290891827,0.0,1.7713897187326448,1.4339789859161038,1.4339917449376245,1.4336940048499969,1.434735824835126
11_16n,1.4347358248351259,1.4339917449376245,1.4339789859161038,1.4336940048499969,1.771389718732645,1.3400123210341617,1.340012321034162,1.769066290891827,1.769066290891827,0.5718799620226874,1.7713897187326448,0.0,1.4339917449376243,1.4339789859161038,1.4347358248351259,1.4336940048499969
14_16n,1.7690662908918269,1.7713897187326448,1.771389718732645,1.769066290891827,1.4339917449376245,1.4336940048499969,1.4339789859161038,1.4347358248351259,1.4336940048499969,1.4347358248351259,1.4339789859161038,1.4339917449376243,0.0,1.3400123210341617,0.5718799620226875,1.3400123210341615
2_16n,1.769066290891827,1.7713897187326448,1.769066290891827,1.7713897187326448,1.4336940048499969,1.4339917449376245,1.4347358248351259,1.4339789859161038,1.434735824835126,1.4336940048499969,1.4339917449376245,1.4339789859161038,1.3400123210341617,0.0,1.3400123210341615,0.5718799620226875
6_16n,1.7713897187326448,1.7690662908918269,1.769066290891827,1.771389718732645,1.4347358248351259,1.4339789859161038,1.4336940048499969,1.4339917449376245,1.4339789859161038,1.4339917449376243,1.4336940048499969,1.4347358248351259,0.5718799620226875,1.3400123210341615,0.0,1.3400123210341617
10_16n,1.7713897187326448,1.769066290891827,1.7713897187326448,1.769066290891827,1.4339789859161038,1.4347358248351259,1.4339917449376245,1.4336940048499969,1.4339917449376245,1.4339789859161038,1.434735824835126,1.4336940048499969,1.3400123210341615,0.5718799620226875,1.3400123210341617,0.0
