,0_16n,8_16n,12_16n,4_16n,14_16n,13_16n,5_16n,15_16n,10_16n,11_16n,6_16n,9_16n,7_16n,3_16n,1_16n,2_16n
0_16n,0.0,23.548966279035408,27.673822589244224,28.132270885389254,31.61129967191333,32.44260452202922,32.54569596089906,32.838791338008804,33.103377961693404,33.135123041466066,33.73182503684443,33.994338854003374,34.06368219296869,34.60407137023116,34.81101626451216,35.0145673024019
8_16n,23.548966279035408,0.0,30.37591139110982,32.315069224935186,34.12417261599273,36.53956635683207,38.55472038278604,34.87535227435537,34.99728157188863,34.673506332572195,35.067339572637124,36.824552497896086,35.76532489841953,34.46327908743596,38.24819116753645,34.90183560266673
12_16n,27.673822589244224,30.37591139110982,0.0,28.423632480182366,37.30870947708316,38.70016376697804,39.837515877079646,37.06184471231199,36.254088660271805,36.893204106908684,37.125580408750956,39.927425288003406,37.052228827012044,36.79842817234579,40.74015162386553,39.144854358636515
4_16n,28.132270885389254,32.315069224935186,28.423632480182366,0.0,40.33946656486885,38.59731797588135,39.68941067206849,37.98716303524608,39.739533561101474,38.19809309314127,37.81430448131391,38.17128489562315,38.67982097877682,38.48847280722574,38.979686073489184,39.93254289195682
14_16n,31.61129967191333,34.12417261599273,37.30870947708316,40.33946656486885,0.0,39.54961459873951,40.40152288002597,37.41113965340552,38.50530304734544,41.52898542271785,32.52370544946658,38.52703056821461,43.00118473499478,42.92322774156489,43.05372555154343,33.12437919632992
13_16n,32.44260452202922,36.53956635683207,38.70016376697804,38.59731797588135,39.54961459873951,0.0,26.90653344939356,39.2964694015249,39.69029130220826,37.276711312936655,41.851240440323735,35.06289094491803,38.438763205930464,38.409757859424374,36.726583684466675,37.832467386305986
5_16n,32.54569596089906,38.55472038278604,39.837515877079646,39.68941067206849,40.40152288002597,26.90653344939356,0.0,41.024876241460326,40.82009781489749,37.248646895703224,42.879365463746275,32.67775194365023,39.40750626474306,41.28819356798444,37.8636383706947,38.77838783479849
15_16n,32.838791338008804,34.87535227435537,37.06184471231199,37.98716303524608,37.41113965340552,39.2964694015249,41.024876241460326,0.0,42.515798545499564,35.12491939839545,42.08728870748403,35.91730390557894,30.563833401677908,33.988042357023716,34.69742990243965,39.543835073040036
10_16n,33.103377961693404,34.99728157188863,36.254088660271805,39.739533561101474,38.50530304734544,39.69029130220826,40.82009781489749,42.515798545499564,0.0,39.285282903898455,31.508194092498645,42.77249131311774,38.02570848423557,40.28822182534672,40.85781830235182,29.385276773412965
11_16n,33.135123041466066,34.673506332572195,36.893204106908684,38.19809309314127,41.52898542271785,37.276711312936655,37.248646895703224,35.12491939839545,39.285282903898455,0.0,39.667996668678406,38.495327948957346,30.50995167273631,28.17612240668035,40.76340874427476,41.643888009125874
6_16n,33.73182503684443,35.067339572637124,37.125580408750956,37.81430448131391,32.52370544946658,41.851240440323735,42.879365463746275,42.08728870748403,31.508194092498645,39.667996668678406,0.0,40.217359116175075,38.815775186102464,39.39243219054093,38.52749528985857,37.0006317768885
9_16n,33.994338854003374,36.824552497896086,39.927425288003406,38.17128489562315,38.52703056821461,35.06289094491803,32.67775194365023,35.91730390557894,42.77249131311774,38.495327948957346,40.217359116175075,0.0,36.297658250726464,43.11663413703437,30.19087197739802,40.02346607752484
7_16n,34.06368219296869,35.76532489841953,37.052228827012044,38.67982097877682,43.00118473499478,38.438763205930464,39.40750626474306,30.563833401677908,38.02570848423557,30.50995167273631,38.815775186102464,36.297658250726464,0.0,35.38270096346495,36.11483561878526,39.27674654358763
3_16n,34.60407137023116,34.46327908743596,36.79842817234579,38.48847280722574,42.92322774156489,38.409757859424374,41.28819356798444,33.988042357023716,40.28822182534672,28.17612240668035,39.39243219054093,43.11663413703437,35.38270096346495,0.0,37.489974767836614,42.03981511898748
1_16n,34.81101626451216,38.24819116753645,40.74015162386553,38.979686073489184,43.05372555154343,36.726583684466675,37.8636383706947,34.69742990243965,40.85781830235182,40.76340874427476,38.52749528985857,30.19087197739802,36.11483561878526,37.489974767836614,0.0,42.178747121521376
2_16n,35.0145673024019,34.90183560266673,39.144854358636515,39.93254289195682,33.12437919632992,37.832467386305986,38.77838783479849,39.543835073040036,29.385276773412965,41.643888009125874,37.0006317768885,40.02346607752484,39.27674654358763,42.03981511898748,42.178747121521376,0.0
