,0_16n,8_16n,12_16n,4_16n,10_16n,6_16n,2_16n,14_16n,9_16n,13_16n,5_16n,11_16n,1_16n,7_16n,3_16n,15_16n
0_16n,0.0,1.387118131758142,3.2903516199303056,3.292580493743552,4.3323056915156775,4.338663949663372,4.353446943804245,4.355093198807592,4.618668551336718,4.62722810122851,4.636672127269565,4.648932492654779,4.654109996576246,4.657544538900979,4.668897736198751,4.6757236121789765
8_16n,1.387118131758142,0.0,3.2101700292832884,3.2122464868019676,4.284182821331397,4.289542296851794,4.316428277992051,4.3163086357216285,4.581211440616127,4.591081220051832,4.597865367797657,4.61052551420973,4.617969977466473,4.619803738542657,4.6333417763659215,4.639018909690504
12_16n,3.2903516199303056,3.2101700292832884,0.0,1.3811740578728535,4.291224310550103,4.298011123201435,4.325792712286086,4.313756277993676,4.59041020415634,4.597753455864225,4.606745326074743,4.617656619233591,4.627989053343016,4.628855766503796,4.640042351027548,4.646210527094255
4_16n,3.292580493743552,3.2122464868019676,1.3811740578728535,0.0,4.308180100001955,4.303202323919127,4.3319169581085175,4.332309050616474,4.599990029882811,4.607098085351094,4.615069990472224,4.627525879217925,4.634806813569131,4.636703869849632,4.648894506636119,4.657062670149527
10_16n,4.3323056915156775,4.284182821331397,4.291224310550103,4.308180100001955,0.0,3.2456559097217035,1.39624863159957,3.2816435938472286,4.606643306345354,4.6154487691763695,4.623941431701781,4.634757088721285,4.642790732849863,4.644633985250576,4.657533298553647,4.663991709026317
6_16n,4.338663949663372,4.289542296851794,4.298011123201435,4.303202323919127,3.2456559097217035,0.0,3.278960424340241,1.404472092445874,4.614840325569374,4.6222970467422755,4.628913909635373,4.644501412702824,4.6519275755096725,4.652067536223253,4.665190272799511,4.670556230506652
2_16n,4.353446943804245,4.316428277992051,4.325792712286086,4.3319169581085175,1.39624863159957,3.278960424340241,0.0,3.3292233059681373,4.6306182433764524,4.640446903446184,4.6462752704741,4.658089515816087,4.6656342073187815,4.668765142193377,4.679848550956254,4.685512738237002
14_16n,4.355093198807592,4.3163086357216285,4.313756277993676,4.332309050616474,3.2816435938472286,1.404472092445874,3.3292233059681373,0.0,4.634147135854661,4.639744706335657,4.647690801691682,4.661399666020836,4.668523181451019,4.670396847780212,4.684977787971592,4.687563191325511
9_16n,4.618668551336718,4.581211440616127,4.59041020415634,4.599990029882811,4.606643306345354,4.614840325569374,4.6306182433764524,4.634147135854661,0.0,3.2085449465354867,3.210065933897891,4.284242969437791,1.3861335583721845,4.290783871553345,4.315688749330059,4.317799111438707
13_16n,4.62722810122851,4.591081220051832,4.597753455864225,4.607098085351094,4.6154487691763695,4.6222970467422755,4.640446903446184,4.639744706335657,3.2085449465354867,0.0,1.3802303962077984,4.291246632274619,3.2881109559256654,4.299200890378067,4.325024971839268,4.315189642657703
5_16n,4.636672127269565,4.597865367797657,4.606745326074743,4.615069990472224,4.623941431701781,4.628913909635373,4.6462752704741,4.647690801691682,3.210065933897891,1.3802303962077984,0.0,4.30747174328193,3.289794216458,4.30365813123993,4.33042525390285,4.33301683225929
11_16n,4.648932492654779,4.61052551420973,4.617656619233591,4.627525879217925,4.634757088721285,4.644501412702824,4.658089515816087,4.661399666020836,4.284242969437791,4.291246632274619,4.30747174328193,0.0,4.331572848375828,3.2481977398531003,1.3966810981190814,3.2843822206860374
1_16n,4.654109996576246,4.617969977466473,4.627989053343016,4.634806813569131,4.642790732849863,4.6519275755096725,4.6656342073187815,4.668523181451019,1.3861335583721845,3.2881109559256654,3.289794216458,4.331572848375828,0.0,4.33910307582783,4.351927084221478,4.355783901069204
7_16n,4.657544538900979,4.619803738542657,4.628855766503796,4.636703869849632,4.644633985250576,4.652067536223253,4.668765142193377,4.670396847780212,4.290783871553345,4.299200890378067,4.30365813123993,3.2481977398531003,4.33910307582783,0.0,3.2808956459707668,1.4060192683418866
3_16n,4.668897736198751,4.6333417763659215,4.640042351027548,4.648894506636119,4.657533298553647,4.665190272799511,4.679848550956254,4.684977787971592,4.315688749330059,4.325024971839268,4.33042525390285,1.3966810981190814,4.351927084221478,3.2808956459707668,0.0,3.331371138224617
15_16n,4.6757236121789765,4.639018909690504,4.646210527094255,4.657062670149527,4.663991709026317,4.670556230506652,4.685512738237002,4.687563191325511,4.317799111438707,4.315189642657703,4.33301683225929,3.2843822206860374,4.355783901069204,1.4060192683418866,3.331371138224617,0.0
