,3/4,9/8,9/4,6/4,mc6,6/8,mc3,12/4,mc12,12/8,mc9,4/4,2/2,2/4,5/4,7/4,5/8,7/8,mc8,mc4,mc7,mc5,mc2
3/4,0.0,9.170976670922379,9.371251924922923,11.318237560650331,11.543337910270731,11.685041766761138,12.31057745622331,15.466636498301206,15.747319750278555,15.81787560594014,18.863602306564708,18.88114988408391,18.88114988408391,19.71931874015798,19.738020719772177,19.98406530747323,20.48600291309661,20.495332605963448,22.752572286845634,24.028753859048933,24.38566103542461,25.48202146733009,28.17961344738517
9/8,9.170976670922379,0.0,1.572153163643502,14.459428242478689,15.444209218650991,15.285289748233405,14.933256131143402,17.122445912498744,16.78386721069146,17.68040095805835,10.976287895672767,20.256166105877966,20.256166105877966,21.313596804954397,18.09709192201779,17.866506495253958,19.09428551306404,18.57845697408884,21.730312065442106,24.89056299524408,22.418257060837796,23.95120936451877,30.235863700870926
9/4,9.371251924922923,1.572153163643502,0.0,14.183782067845545,15.185274801765173,15.117066471485764,15.708281143665182,16.674972690884047,15.65181648387643,17.286250771000123,10.52997496911535,19.98187734320453,19.98187734320453,21.102920812886534,17.38305332412552,16.99591057158241,18.501639514241212,17.807710322550097,20.84143350233301,24.263759074330288,21.702337577119646,23.396319374142724,30.302856145887514
6/4,11.318237560650331,14.459428242478689,14.183782067845545,0.0,12.917888763141859,1.855287940084312,22.20639799703207,6.746301393630056,15.65600948638201,7.015829783950621,21.169416084432868,10.353393821168684,10.353393821168684,11.228266461381969,17.824827723151614,18.36675507637721,18.507081403861847,18.814916826701467,19.189025898925898,18.452711477167362,23.53741705681455,24.60390859957022,18.757410620094124
mc6,11.543337910270731,15.444209218650991,15.185274801765173,12.917888763141859,0.0,13.457851417599567,20.493901531919196,18.27149803230125,14.491376746189438,18.73008404478359,20.493901531919196,21.97276672180963,21.97276672180963,22.920623619492535,22.087904136170966,21.507212299549547,23.095222269284594,22.24436172208018,22.9128784747792,25.099800796022265,25.69046515733026,27.49545416973504,28.982753492378876
6/8,11.685041766761138,15.285289748233405,15.117066471485764,1.855287940084312,13.457851417599567,0.0,22.367324822310767,7.1315773073327335,16.762614058487916,7.201800772677564,22.228117927933784,10.310541562590961,10.310541562590961,11.00365162810339,18.817164304695858,19.521514556398227,19.37134672493801,19.875153855897736,20.529163627878088,18.759208097533556,24.53354493949243,25.4216180875216,17.79694046739368
mc3,12.31057745622331,14.933256131143402,15.708281143665182,22.20639799703207,20.493901531919196,22.367324822310767,0.0,25.544050069011647,25.099800796022265,25.785575437242628,23.664319132398465,27.97687483862031,27.97687483862031,28.59722741405223,27.548866067037522,27.787107779719644,28.019408056301927,28.10400319541597,30.740852297878796,32.4037034920393,30.983866769659336,31.74901573277509,35.4964786985977
12/4,15.466636498301206,17.122445912498744,16.674972690884047,6.746301393630056,18.27149803230125,7.1315773073327335,25.544050069011647,0.0,16.90821829199694,1.0486824967566328,22.70325975727764,5.160388578965741,5.160388578965741,6.3045080092247545,17.73653773736894,18.446272707354705,18.54269577821641,18.98399306348789,17.17327007544309,13.156076620070605,23.75520897494223,24.723891915356436,17.79284465202101
mc12,15.747319750278555,16.78386721069146,15.65181648387643,15.65600948638201,14.491376746189438,16.762614058487916,25.099800796022265,16.90821829199694,0.0,17.611488809111773,18.708286933869708,21.507275069144484,21.507275069144484,22.73540613010013,19.324159691869433,17.987699387537617,21.012316858738544,19.31262812405109,17.74823934929885,20.493901531919196,22.58317958127243,25.099800796022265,32.4037034920393
12/8,15.81787560594014,17.68040095805835,17.286250771000123,7.015829783950621,18.73008404478359,7.201800772677564,25.785575437242628,1.0486824967566328,17.611488809111773,0.0,23.38587582348263,4.687107787650878,4.687107787650878,5.630034663905703,18.361290809268578,19.17067446996353,19.08960478791456,19.650984729138486,17.74411824156036,13.16566875692523,24.379601630577053,25.237880918156065,17.172555090635655
