,mc3,3/4,9/8,9/4,mc6,6/4,6/8,mc9,mc12,12/4,12/8,5/4,7/4,2/2,4/4,5/8,7/8,2/4,mc8,mc7,mc5,mc4,mc2
mc3,0.0,12.31057745622331,14.933256131143402,15.708281143665182,20.493901531919196,22.20639799703207,22.367324822310767,23.664319132398465,25.099800796022265,25.544050069011647,25.785575437242628,27.548866067037522,27.787107779719644,27.97687483862031,27.97687483862031,28.019408056301927,28.10400319541597,28.59722741405223,30.740852297878796,30.983866769659336,31.74901573277509,32.4037034920393,35.4964786985977
3/4,12.31057745622331,0.0,9.170976670922379,9.371251924922923,11.543337910270731,11.318237560650331,11.685041766761138,18.863602306564708,15.747319750278555,15.466636498301206,15.81787560594014,19.738020719772177,19.98406530747323,18.88114988408391,18.88114988408391,20.48600291309661,20.495332605963448,19.71931874015798,22.752572286845634,24.38566103542461,25.48202146733009,24.028753859048933,28.17961344738517
9/8,14.933256131143402,9.170976670922379,0.0,1.572153163643502,15.444209218650991,14.459428242478689,15.285289748233405,10.976287895672767,16.78386721069146,17.122445912498744,17.68040095805835,18.09709192201779,17.866506495253958,20.256166105877966,20.256166105877966,19.09428551306404,18.57845697408884,21.313596804954397,21.730312065442106,22.418257060837796,23.95120936451877,24.89056299524408,30.235863700870926
9/4,15.708281143665182,9.371251924922923,1.572153163643502,0.0,15.185274801765173,14.183782067845545,15.117066471485764,10.52997496911535,15.65181648387643,16.674972690884047,17.286250771000123,17.38305332412552,16.99591057158241,19.98187734320453,19.98187734320453,18.501639514241212,17.807710322550097,21.102920812886534,20.84143350233301,21.702337577119646,23.396319374142724,24.263759074330288,30.302856145887514
mc6,20.493901531919196,11.543337910270731,15.444209218650991,15.185274801765173,0.0,12.917888763141859,13.457851417599567,20.493901531919196,14.491376746189438,18.27149803230125,18.73008404478359,22.087904136170966,21.507212299549547,21.97276672180963,21.97276672180963,23.095222269284594,22.24436172208018,22.920623619492535,22.9128784747792,25.69046515733026,27.49545416973504,25.099800796022265,28.982753492378876
6/4,22.20639799703207,11.318237560650331,14.459428242478689,14.183782067845545,12.917888763141859,0.0,1.855287940084312,21.169416084432868,15.65600948638201,6.746301393630056,7.015829783950621,17.824827723151614,18.36675507637721,10.353393821168684,10.353393821168684,18.507081403861847,18.814916826701467,11.228266461381969,19.189025898925898,23.53741705681455,24.60390859957022,18.452711477167362,18.757410620094124
6/8,22.367324822310767,11.685041766761138,15.285289748233405,15.117066471485764,13.457851417599567,1.855287940084312,0.0,22.228117927933784,16.762614058487916,7.1315773073327335,7.201800772677564,18.817164304695858,19.521514556398227,10.310541562590961,10.310541562590961,19.37134672493801,19.875153855897736,11.00365162810339,20.529163627878088,24.53354493949243,25.4216180875216,18.759208097533556,17.79694046739368
mc9,23.664319132398465,18.863602306564708,10.976287895672767,10.52997496911535,20.493901531919196,21.169416084432868,22.228117927933784,0.0,18.708286933869708,22.70325975727764,23.38587582348263,20.91515051842962,19.73567963405563,25.76577184739933,25.76577184739933,22.243939126410382,20.75349094324468,26.95105796038624,22.9128784747792,23.664319132398465,25.92296279363144,27.748873851023216,35.4964786985977
mc12,25.099800796022265,15.747319750278555,16.78386721069146,15.65181648387643,14.491376746189438,15.65600948638201,16.762614058487916,18.708286933869708,0.0,16.90821829199694,17.611488809111773,19.324159691869433,17.987699387537617,21.507275069144484,21.507275069144484,21.012316858738544,19.31262812405109,22.73540613010013,17.74823934929885,22.58317958127243,25.099800796022265,20.493901531919196,32.4037034920393
12/4,25.544050069011647,15.466636498301206,17.122445912498744,16.674972690884047,18.27149803230125,6.746301393630056,7.1315773073327335,22.70325975727764,16.90821829199694,0.0,1.0486824967566328,17.73653773736894,18.446272707354705,5.160388578965741,5.160388578965741,18.54269577821641,18.98399306348789,6.3045080092247545,17.17327007544309,23.75520897494223,24.723891915356436,13.156076620070605,17.79284465202101
12/8,25.785575437242628,15.81787560594014,17.68040095805835,17.286250771000123,18.73008404478359,7.015829783950621,7.201800772677564,23.38587582348263,17.611488809111773,1.0486824967566328,0.0,18.361290809268578,19.17067446996353,4.687107787650878,4.687107787650878,19.08960478791456,19.650984729138486,5.630034663905703,17.74411824156036,24.379601630577053,25.237880918156065,13.16566875692523,17.172555090635655
5/4,27.548866067037522,19.738020719772177,18.09709192201779,17.38305332412552,22.087904136170966,17.824827723151614,18.817164304695858,20.91515051842962,19.324159691869433,17.73653773736894,18.361290809268578,0.0,17.29774172905198,20.0761211292932,20.0761211292932,2.8545807211371392,18.161952629026118,21.202556572887715,20.5374556891494,21.985713376875875,9.751701647701985,23.80921883104286,30.17011742336955
7/4,27.787107779719644,19.98406530747323,17.866506495253958,16.99591057158241,21.507212299549547,18.36675507637721,19.521514556398227,19.73567963405563,17.987699387537617,18.446272707354705,19.17067446996353,17.29774172905198,0.0,21.126536338935267,21.126536338935267,18.711955008037986,2.4427129587190586,22.36938103046971,19.65309252030103,8.319980162087745,23.292650640825517,23.96464468079562,31.485119494790034
2/2,27.97687483862031,18.88114988408391,20.256166105877966,19.98187734320453,21.97276672180963,10.353393821168684,10.310541562590961,25.76577184739933,21.507275069144484,5.160388578965741,4.687107787650878,20.0761211292932,21.126536338935267,0.0,0.0,20.61266753713839,21.46826011459733,1.8435488673206095,18.064670108169057,26.093117645105576,26.67221793607858,13.370458921018807,15.475398582663823
4/4,27.97687483862031,18.88114988408391,20.256166105877966,19.98187734320453,21.97276672180963,10.353393821168684,10.310541562590961,25.76577184739933,21.507275069144484,5.160388578965741,4.687107787650878,20.0761211292932,21.126536338935267,0.0,0.0,20.61266753713839,21.46826011459733,1.8435488673206095,18.064670108169057,26.093117645105576,26.67221793607858,13.370458921018807,15.475398582663823
5/8,28.019408056301927,20.48600291309661,19.09428551306404,18.501639514241212,23.095222269284594,18.507081403861847,19.37134672493801,22.243939126410382,21.012316858738544,18.54269577821641,19.08960478791456,2.8545807211371392,18.711955008037986,20.61266753713839,20.61266753713839,0.0,19.413508938780016,21.63806623888902,22.078346308540485,23.157362898785287,8.846525447416168,25.00522192589559,30.0146067648767
7/8,28.10400319541597,20.495332605963448,18.57845697408884,17.807710322550097,22.24436172208018,18.814916826701467,19.875153855897736,20.75349094324468,19.31262812405109,18.98399306348789,19.650984729138486,18.161952629026118,2.4427129587190586,21.46826011459733,21.46826011459733,19.413508938780016,0.0,22.639796644912682,20.830137223271425,7.569506446716221,23.965776224482774,24.832350911413993,31.33923614069389
2/4,28.59722741405223,19.71931874015798,21.313596804954397,21.102920812886534,22.920623619492535,11.228266461381969,11.00365162810339,26.95105796038624,22.73540613010013,6.3045080092247545,5.630034663905703,21.202556572887715,22.36938103046971,1.8435488673206095,1.8435488673206095,21.63806623888902,22.639796644912682,0.0,19.12167827076478,27.192327087081047,27.621301226026034,13.762954476438104,14.655640604833392
mc8,30.740852297878796,22.752572286845634,21.730312065442106,20.84143350233301,22.9128784747792,19.189025898925898,20.529163627878088,22.9128784747792,17.74823934929885,17.17327007544309,17.74411824156036,20.5374556891494,19.65309252030103,18.064670108169057,18.064670108169057,22.078346308540485,20.830137223271425,19.12167827076478,0.0,24.186773244895647,26.324893162176366,17.74823934929885,30.740852297878796
mc7,30.983866769659336,24.38566103542461,22.418257060837796,21.702337577119646,25.69046515733026,23.53741705681455,24.53354493949243,23.664319132398465,22.58317958127243,23.75520897494223,24.379601630577053,21.985713376875875,8.319980162087745,26.093117645105576,26.093117645105576,23.157362898785287,7.569506446716221,27.192327087081047,24.186773244895647,0.0,26.832815729997478,28.460498941515414,35.4964786985977
mc5,31.74901573277509,25.48202146733009,23.95120936451877,23.396319374142724,27.49545416973504,24.60390859957022,25.4216180875216,25.92296279363144,25.099800796022265,24.723891915356436,25.237880918156065,9.751701647701985,23.292650640825517,26.67221793607858,26.67221793607858,8.846525447416168,23.965776224482774,27.621301226026034,26.324893162176366,26.832815729997478,0.0,29.698484809834994,35.4964786985977
mc4,32.4037034920393,24.028753859048933,24.89056299524408,24.263759074330288,25.099800796022265,18.452711477167362,18.759208097533556,27.748873851023216,20.493901531919196,13.156076620070605,13.16566875692523,23.80921883104286,23.96464468079562,13.370458921018807,13.370458921018807,25.00522192589559,24.832350911413993,13.762954476438104,17.74823934929885,28.460498941515414,29.698484809834994,0.0,25.099800796022265
mc2,35.4964786985977,28.17961344738517,30.235863700870926,30.302856145887514,28.982753492378876,18.757410620094124,17.79694046739368,35.4964786985977,32.4037034920393,17.79284465202101,17.172555090635655,30.17011742336955,31.485119494790034,15.475398582663823,15.475398582663823,30.0146067648767,31.33923614069389,14.655640604833392,30.740852297878796,35.4964786985977,35.4964786985977,25.099800796022265,0.0
