,mc6,3/4,6/4,6/8,mc12,9/4,9/8,12/4,12/8,mc9,mc3,7/4,2/2,4/4,5/4,7/8,mc8,2/4,5/8,mc4,mc7,mc5,mc2
mc6,0.0,11.543337910270731,12.917888763141859,13.457851417599567,14.491376746189438,15.185274801765173,15.444209218650991,18.27149803230125,18.73008404478359,20.493901531919196,20.493901531919196,21.507212299549547,21.97276672180963,21.97276672180963,22.087904136170966,22.24436172208018,22.9128784747792,22.920623619492535,23.095222269284594,25.099800796022265,25.69046515733026,27.49545416973504,28.982753492378876
3/4,11.543337910270731,0.0,11.318237560650331,11.685041766761138,15.747319750278555,9.371251924922923,9.170976670922379,15.466636498301206,15.81787560594014,18.863602306564708,12.31057745622331,19.98406530747323,18.88114988408391,18.88114988408391,19.738020719772177,20.495332605963448,22.752572286845634,19.71931874015798,20.48600291309661,24.028753859048933,24.38566103542461,25.48202146733009,28.17961344738517
6/4,12.917888763141859,11.318237560650331,0.0,1.855287940084312,15.65600948638201,14.183782067845545,14.459428242478689,6.746301393630056,7.015829783950621,21.169416084432868,22.20639799703207,18.36675507637721,10.353393821168684,10.353393821168684,17.824827723151614,18.814916826701467,19.189025898925898,11.228266461381969,18.507081403861847,18.452711477167362,23.53741705681455,24.60390859957022,18.757410620094124
6/8,13.457851417599567,11.685041766761138,1.855287940084312,0.0,16.762614058487916,15.117066471485764,15.285289748233405,7.1315773073327335,7.201800772677564,22.228117927933784,22.367324822310767,19.521514556398227,10.310541562590961,10.310541562590961,18.817164304695858,19.875153855897736,20.529163627878088,11.00365162810339,19.37134672493801,18.759208097533556,24.53354493949243,25.4216180875216,17.79694046739368
mc12,14.491376746189438,15.747319750278555,15.65600948638201,16.762614058487916,0.0,15.65181648387643,16.78386721069146,16.90821829199694,17.611488809111773,18.708286933869708,25.099800796022265,17.987699387537617,21.507275069144484,21.507275069144484,19.324159691869433,19.31262812405109,17.74823934929885,22.73540613010013,21.012316858738544,20.493901531919196,22.58317958127243,25.099800796022265,32.4037034920393
9/4,15.185274801765173,9.371251924922923,14.183782067845545,15.117066471485764,15.65181648387643,0.0,1.572153163643502,16.674972690884047,17.286250771000123,10.52997496911535,15.708281143665182,16.99591057158241,19.98187734320453,19.98187734320453,17.38305332412552,17.807710322550097,20.84143350233301,21.102920812886534,18.501639514241212,24.263759074330288,21.702337577119646,23.396319374142724,30.302856145887514
9/8,15.444209218650991,9.170976670922379,14.459428242478689,15.285289748233405,16.78386721069146,1.572153163643502,0.0,17.122445912498744,17.68040095805835,10.976287895672767,14.933256131143402,17.866506495253958,20.256166105877966,20.256166105877966,18.09709192201779,18.57845697408884,21.730312065442106,21.313596804954397,19.09428551306404,24.89056299524408,22.418257060837796,23.95120936451877,30.235863700870926
12/4,18.27149803230125,15.466636498301206,6.746301393630056,7.1315773073327335,16.90821829199694,16.674972690884047,17.122445912498744,0.0,1.0486824967566328,22.70325975727764,25.544050069011647,18.446272707354705,5.160388578965741,5.160388578965741,17.73653773736894,18.98399306348789,17.17327007544309,6.3045080092247545,18.54269577821641,13.156076620070605,23.75520897494223,24.723891915356436,17.79284465202101
12/8,18.73008404478359,15.81787560594014,7.015829783950621,7.201800772677564,17.611488809111773,17.286250771000123,17.68040095805835,1.0486824967566328,0.0,23.38587582348263,25.785575437242628,19.17067446996353,4.687107787650878,4.687107787650878,18.361290809268578,19.650984729138486,17.74411824156036,5.630034663905703,19.08960478791456,13.16566875692523,24.379601630577053,25.237880918156065,17.172555090635655
mc9,20.493901531919196,18.863602306564708,21.169416084432868,22.228117927933784,18.708286933869708,10.52997496911535,10.976287895672767,22.70325975727764,23.38587582348263,0.0,23.664319132398465,19.73567963405563,25.76577184739933,25.76577184739933,20.91515051842962,20.75349094324468,22.9128784747792,26.95105796038624,22.243939126410382,27.748873851023216,23.664319132398465,25.92296279363144,35.4964786985977
mc3,20.493901531919196,12.31057745622331,22.20639799703207,22.367324822310767,25.099800796022265,15.708281143665182,14.933256131143402,25.544050069011647,25.785575437242628,23.664319132398465,0.0,27.787107779719644,27.97687483862031,27.97687483862031,27.548866067037522,28.10400319541597,30.740852297878796,28.59722741405223,28.019408056301927,32.4037034920393,30.983866769659336,31.74901573277509,35.4964786985977
7/4,21.507212299549547,19.98406530747323,18.36675507637721,19.521514556398227,17.987699387537617,16.99591057158241,17.866506495253958,18.446272707354705,19.17067446996353,19.73567963405563,27.787107779719644,0.0,21.126536338935267,21.126536338935267,17.29774172905198,2.4427129587190586,19.65309252030103,22.36938103046971,18.711955008037986,23.96464468079562,8.319980162087745,23.292650640825517,31.485119494790034
2/2,21.97276672180963,18.88114988408391,10.353393821168684,10.310541562590961,21.507275069144484,19.98187734320453,20.256166105877966,5.160388578965741,4.687107787650878,25.76577184739933,27.97687483862031,21.126536338935267,0.0,0.0,20.0761211292932,21.46826011459733,18.064670108169057,1.8435488673206095,20.61266753713839,13.370458921018807,26.093117645105576,26.67221793607858,15.475398582663823
4/4,21.97276672180963,18.88114988408391,10.353393821168684,10.310541562590961,21.507275069144484,19.98187734320453,20.256166105877966,5.160388578965741,4.687107787650878,25.76577184739933,27.97687483862031,21.126536338935267,0.0,0.0,20.0761211292932,21.46826011459733,18.064670108169057,1.8435488673206095,20.61266753713839,13.370458921018807,26.093117645105576,26.67221793607858,15.475398582663823
5/4,22.087904136170966,19.738020719772177,17.824827723151614,18.817164304695858,19.324159691869433,17.38305332412552,18.09709192201779,17.73653773736894,18.361290809268578,20.91515051842962,27.548866067037522,17.29774172905198,20.0761211292932,20.0761211292932,0.0,18.161952629026118,20.5374556891494,21.202556572887715,2.8545807211371392,23.80921883104286,21.985713376875875,9.751701647701985,30.17011742336955
7/8,22.24436172208018,20.495332605963448,18.814916826701467,19.875153855897736,19.31262812405109,17.807710322550097,18.57845697408884,18.98399306348789,19.650984729138486,20.75349094324468,28.10400319541597,2.4427129587190586,21.46826011459733,21.46826011459733,18.161952629026118,0.0,20.830137223271425,22.639796644912682,19.413508938780016,24.832350911413993,7.569506446716221,23.965776224482774,31.33923614069389
mc8,22.9128784747792,22.752572286845634,19.189025898925898,20.529163627878088,17.74823934929885,20.84143350233301,21.730312065442106,17.17327007544309,17.74411824156036,22.9128784747792,30.740852297878796,19.65309252030103,18.064670108169057,18.064670108169057,20.5374556891494,20.830137223271425,0.0,19.12167827076478,22.078346308540485,17.74823934929885,24.186773244895647,26.324893162176366,30.740852297878796
2/4,22.920623619492535,19.71931874015798,11.228266461381969,11.00365162810339,22.73540613010013,21.102920812886534,21.313596804954397,6.3045080092247545,5.630034663905703,26.95105796038624,28.59722741405223,22.36938103046971,1.8435488673206095,1.8435488673206095,21.202556572887715,22.639796644912682,19.12167827076478,0.0,21.63806623888902,13.762954476438104,27.192327087081047,27.621301226026034,14.655640604833392
5/8,23.095222269284594,20.48600291309661,18.507081403861847,19.37134672493801,21.012316858738544,18.501639514241212,19.09428551306404,18.54269577821641,19.08960478791456,22.243939126410382,28.019408056301927,18.711955008037986,20.61266753713839,20.61266753713839,2.8545807211371392,19.413508938780016,22.078346308540485,21.63806623888902,0.0,25.00522192589559,23.157362898785287,8.846525447416168,30.0146067648767
mc4,25.099800796022265,24.028753859048933,18.452711477167362,18.759208097533556,20.493901531919196,24.263759074330288,24.89056299524408,13.156076620070605,13.16566875692523,27.748873851023216,32.4037034920393,23.96464468079562,13.370458921018807,13.370458921018807,23.80921883104286,24.832350911413993,17.74823934929885,13.762954476438104,25.00522192589559,0.0,28.460498941515414,29.698484809834994,25.099800796022265
mc7,25.69046515733026,24.38566103542461,23.53741705681455,24.53354493949243,22.58317958127243,21.702337577119646,22.418257060837796,23.75520897494223,24.379601630577053,23.664319132398465,30.983866769659336,8.319980162087745,26.093117645105576,26.093117645105576,21.985713376875875,7.569506446716221,24.186773244895647,27.192327087081047,23.157362898785287,28.460498941515414,0.0,26.832815729997478,35.4964786985977
mc5,27.49545416973504,25.48202146733009,24.60390859957022,25.4216180875216,25.099800796022265,23.396319374142724,23.95120936451877,24.723891915356436,25.237880918156065,25.92296279363144,31.74901573277509,23.292650640825517,26.67221793607858,26.67221793607858,9.751701647701985,23.965776224482774,26.324893162176366,27.621301226026034,8.846525447416168,29.698484809834994,26.832815729997478,0.0,35.4964786985977
mc2,28.982753492378876,28.17961344738517,18.757410620094124,17.79694046739368,32.4037034920393,30.302856145887514,30.235863700870926,17.79284465202101,17.172555090635655,35.4964786985977,35.4964786985977,31.485119494790034,15.475398582663823,15.475398582663823,30.17011742336955,31.33923614069389,30.740852297878796,14.655640604833392,30.0146067648767,25.099800796022265,35.4964786985977,35.4964786985977,0.0
