,mc8,12/4,12/8,mc4,mc12,2/2,4/4,2/4,6/4,7/4,6/8,5/4,7/8,9/4,9/8,5/8,3/4,mc6,mc9,mc7,mc5,mc3,mc2
mc8,0.0,17.17327007544309,17.74411824156036,17.74823934929885,17.74823934929885,18.064670108169057,18.064670108169057,19.12167827076478,19.189025898925898,19.65309252030103,20.529163627878088,20.5374556891494,20.830137223271425,20.84143350233301,21.730312065442106,22.078346308540485,22.752572286845634,22.9128784747792,22.9128784747792,24.186773244895647,26.324893162176366,30.740852297878796,30.740852297878796
12/4,17.17327007544309,0.0,1.0486824967566328,13.156076620070605,16.90821829199694,5.160388578965741,5.160388578965741,6.3045080092247545,6.746301393630056,18.446272707354705,7.1315773073327335,17.73653773736894,18.98399306348789,16.674972690884047,17.122445912498744,18.54269577821641,15.466636498301206,18.27149803230125,22.70325975727764,23.75520897494223,24.723891915356436,25.544050069011647,17.79284465202101
12/8,17.74411824156036,1.0486824967566328,0.0,13.16566875692523,17.611488809111773,4.687107787650878,4.687107787650878,5.630034663905703,7.015829783950621,19.17067446996353,7.201800772677564,18.361290809268578,19.650984729138486,17.286250771000123,17.68040095805835,19.08960478791456,15.81787560594014,18.73008404478359,23.38587582348263,24.379601630577053,25.237880918156065,25.785575437242628,17.172555090635655
mc4,17.74823934929885,13.156076620070605,13.16566875692523,0.0,20.493901531919196,13.370458921018807,13.370458921018807,13.762954476438104,18.452711477167362,23.96464468079562,18.759208097533556,23.80921883104286,24.832350911413993,24.263759074330288,24.89056299524408,25.00522192589559,24.028753859048933,25.099800796022265,27.748873851023216,28.460498941515414,29.698484809834994,32.4037034920393,25.099800796022265
mc12,17.74823934929885,16.90821829199694,17.611488809111773,20.493901531919196,0.0,21.507275069144484,21.507275069144484,22.73540613010013,15.65600948638201,17.987699387537617,16.762614058487916,19.324159691869433,19.31262812405109,15.65181648387643,16.78386721069146,21.012316858738544,15.747319750278555,14.491376746189438,18.708286933869708,22.58317958127243,25.099800796022265,25.099800796022265,32.4037034920393
2/2,18.064670108169057,5.160388578965741,4.687107787650878,13.370458921018807,21.507275069144484,0.0,0.0,1.8435488673206095,10.353393821168684,21.126536338935267,10.310541562590961,20.0761211292932,21.46826011459733,19.98187734320453,20.256166105877966,20.61266753713839,18.88114988408391,21.97276672180963,25.76577184739933,26.093117645105576,26.67221793607858,27.97687483862031,15.475398582663823
4/4,18.064670108169057,5.160388578965741,4.687107787650878,13.370458921018807,21.507275069144484,0.0,0.0,1.8435488673206095,10.353393821168684,21.126536338935267,10.310541562590961,20.0761211292932,21.46826011459733,19.98187734320453,20.256166105877966,20.61266753713839,18.88114988408391,21.97276672180963,25.76577184739933,26.093117645105576,26.67221793607858,27.97687483862031,15.475398582663823
2/4,19.12167827076478,6.3045080092247545,5.630034663905703,13.762954476438104,22.73540613010013,1.8435488673206095,1.8435488673206095,0.0,11.228266461381969,22.36938103046971,11.00365162810339,21.202556572887715,22.639796644912682,21.102920812886534,21.313596804954397,21.63806623888902,19.71931874015798,22.920623619492535,26.95105796038624,27.192327087081047,27.621301226026034,28.59722741405223,14.655640604833392
6/4,19.189025898925898,6.746301393630056,7.015829783950621,18.452711477167362,15.65600948638201,10.353393821168684,10.353393821168684,11.228266461381969,0.0,18.36675507637721,1.855287940084312,17.824827723151614,18.814916826701467,14.183782067845545,14.459428242478689,18.507081403861847,11.318237560650331,12.917888763141859,21.169416084432868,23.53741705681455,24.60390859957022,22.20639799703207,18.757410620094124
7/4,19.65309252030103,18.446272707354705,19.17067446996353,23.96464468079562,17.987699387537617,21.126536338935267,21.126536338935267,22.36938103046971,18.36675507637721,0.0,19.521514556398227,17.29774172905198,2.4427129587190586,16.99591057158241,17.866506495253958,18.711955008037986,19.98406530747323,21.507212299549547,19.73567963405563,8.319980162087745,23.292650640825517,27.787107779719644,31.485119494790034
6/8,20.529163627878088,7.1315773073327335,7.201800772677564,18.759208097533556,16.762614058487916,10.310541562590961,10.310541562590961,11.00365162810339,1.855287940084312,19.521514556398227,0.0,18.817164304695858,19.875153855897736,15.117066471485764,15.285289748233405,19.37134672493801,11.685041766761138,13.457851417599567,22.228117927933784,24.53354493949243,25.4216180875216,22.367324822310767,17.79694046739368
5/4,20.5374556891494,17.73653773736894,18.361290809268578,23.80921883104286,19.324159691869433,20.0761211292932,20.0761211292932,21.202556572887715,17.824827723151614,17.29774172905198,18.817164304695858,0.0,18.161952629026118,17.38305332412552,18.09709192201779,2.8545807211371392,19.738020719772177,22.087904136170966,20.91515051842962,21.985713376875875,9.751701647701985,27.548866067037522,30.17011742336955
7/8,20.830137223271425,18.98399306348789,19.650984729138486,24.832350911413993,19.31262812405109,21.46826011459733,21.46826011459733,22.639796644912682,18.814916826701467,2.4427129587190586,19.875153855897736,18.161952629026118,0.0,17.807710322550097,18.57845697408884,19.413508938780016,20.495332605963448,22.24436172208018,20.75349094324468,7.569506446716221,23.965776224482774,28.10400319541597,31.33923614069389
9/4,20.84143350233301,16.674972690884047,17.286250771000123,24.263759074330288,15.65181648387643,19.98187734320453,19.98187734320453,21.102920812886534,14.183782067845545,16.99591057158241,15.117066471485764,17.38305332412552,17.807710322550097,0.0,1.572153163643502,18.501639514241212,9.371251924922923,15.185274801765173,10.52997496911535,21.702337577119646,23.396319374142724,15.708281143665182,30.302856145887514
9/8,21.730312065442106,17.122445912498744,17.68040095805835,24.89056299524408,16.78386721069146,20.256166105877966,20.256166105877966,21.313596804954397,14.459428242478689,17.866506495253958,15.285289748233405,18.09709192201779,18.57845697408884,1.572153163643502,0.0,19.09428551306404,9.170976670922379,15.444209218650991,10.976287895672767,22.418257060837796,23.95120936451877,14.933256131143402,30.235863700870926
5/8,22.078346308540485,18.54269577821641,19.08960478791456,25.00522192589559,21.012316858738544,20.61266753713839,20.61266753713839,21.63806623888902,18.507081403861847,18.711955008037986,19.37134672493801,2.8545807211371392,19.413508938780016,18.501639514241212,19.09428551306404,0.0,20.48600291309661,23.095222269284594,22.243939126410382,23.157362898785287,8.846525447416168,28.019408056301927,30.0146067648767
3/4,22.752572286845634,15.466636498301206,15.81787560594014,24.028753859048933,15.747319750278555,18.88114988408391,18.88114988408391,19.71931874015798,11.318237560650331,19.98406530747323,11.685041766761138,19.738020719772177,20.495332605963448,9.371251924922923,9.170976670922379,20.48600291309661,0.0,11.543337910270731,18.863602306564708,24.38566103542461,25.48202146733009,12.31057745622331,28.17961344738517
mc6,22.9128784747792,18.27149803230125,18.73008404478359,25.099800796022265,14.491376746189438,21.97276672180963,21.97276672180963,22.920623619492535,12.917888763141859,21.507212299549547,13.457851417599567,22.087904136170966,22.24436172208018,15.185274801765173,15.444209218650991,23.095222269284594,11.543337910270731,0.0,20.493901531919196,25.69046515733026,27.49545416973504,20.493901531919196,28.982753492378876
mc9,22.9128784747792,22.70325975727764,23.38587582348263,27.748873851023216,18.708286933869708,25.76577184739933,25.76577184739933,26.95105796038624,21.169416084432868,19.73567963405563,22.228117927933784,20.91515051842962,20.75349094324468,10.52997496911535,10.976287895672767,22.243939126410382,18.863602306564708,20.493901531919196,0.0,23.664319132398465,25.92296279363144,23.664319132398465,35.4964786985977
mc7,24.186773244895647,23.75520897494223,24.379601630577053,28.460498941515414,22.58317958127243,26.093117645105576,26.093117645105576,27.192327087081047,23.53741705681455,8.319980162087745,24.53354493949243,21.985713376875875,7.569506446716221,21.702337577119646,22.418257060837796,23.157362898785287,24.38566103542461,25.69046515733026,23.664319132398465,0.0,26.832815729997478,30.983866769659336,35.4964786985977
