,mc9,9/4,9/8,mc12,3/4,7/4,mc6,7/8,5/4,6/4,6/8,5/8,12/4,mc8,12/8,mc3,mc7,4/4,2/2,mc5,2/4,mc4,mc2
mc9,0.0,10.52997496911535,10.976287895672767,18.708286933869708,18.863602306564708,19.73567963405563,20.493901531919196,20.75349094324468,20.91515051842962,21.169416084432868,22.228117927933784,22.243939126410382,22.70325975727764,22.9128784747792,23.38587582348263,23.664319132398465,23.664319132398465,25.76577184739933,25.76577184739933,25.92296279363144,26.95105796038624,27.748873851023216,35.4964786985977
9/4,10.52997496911535,0.0,1.572153163643502,15.65181648387643,9.371251924922923,16.99591057158241,15.185274801765173,17.807710322550097,17.38305332412552,14.183782067845545,15.117066471485764,18.501639514241212,16.674972690884047,20.84143350233301,17.286250771000123,15.708281143665182,21.702337577119646,19.98187734320453,19.98187734320453,23.396319374142724,21.102920812886534,24.263759074330288,30.302856145887514
9/8,10.976287895672767,1.572153163643502,0.0,16.78386721069146,9.170976670922379,17.866506495253958,15.444209218650991,18.57845697408884,18.09709192201779,14.459428242478689,15.285289748233405,19.09428551306404,17.122445912498744,21.730312065442106,17.68040095805835,14.933256131143402,22.418257060837796,20.256166105877966,20.256166105877966,23.95120936451877,21.313596804954397,24.89056299524408,30.235863700870926
mc12,18.708286933869708,15.65181648387643,16.78386721069146,0.0,15.747319750278555,17.987699387537617,14.491376746189438,19.31262812405109,19.324159691869433,15.65600948638201,16.762614058487916,21.012316858738544,16.90821829199694,17.74823934929885,17.611488809111773,25.099800796022265,22.58317958127243,21.507275069144484,21.507275069144484,25.099800796022265,22.73540613010013,20.493901531919196,32.4037034920393
3/4,18.863602306564708,9.371251924922923,9.170976670922379,15.747319750278555,0.0,19.98406530747323,11.543337910270731,20.495332605963448,19.738020719772177,11.318237560650331,11.685041766761138,20.48600291309661,15.466636498301206,22.752572286845634,15.81787560594014,12.31057745622331,24.38566103542461,18.88114988408391,18.88114988408391,25.48202146733009,19.71931874015798,24.028753859048933,28.17961344738517
7/4,19.73567963405563,16.99591057158241,17.866506495253958,17.987699387537617,19.98406530747323,0.0,21.507212299549547,2.4427129587190586,17.29774172905198,18.36675507637721,19.521514556398227,18.711955008037986,18.446272707354705,19.65309252030103,19.17067446996353,27.787107779719644,8.319980162087745,21.126536338935267,21.126536338935267,23.292650640825517,22.36938103046971,23.96464468079562,31.485119494790034
mc6,20.493901531919196,15.185274801765173,15.444209218650991,14.491376746189438,11.543337910270731,21.507212299549547,0.0,22.24436172208018,22.087904136170966,12.917888763141859,13.457851417599567,23.095222269284594,18.27149803230125,22.9128784747792,18.73008404478359,20.493901531919196,25.69046515733026,21.97276672180963,21.97276672180963,27.49545416973504,22.920623619492535,25.099800796022265,28.982753492378876
7/8,20.75349094324468,17.807710322550097,18.57845697408884,19.31262812405109,20.495332605963448,2.4427129587190586,22.24436172208018,0.0,18.161952629026118,18.814916826701467,19.875153855897736,19.413508938780016,18.98399306348789,20.830137223271425,19.650984729138486,28.10400319541597,7.569506446716221,21.46826011459733,21.46826011459733,23.965776224482774,22.639796644912682,24.832350911413993,31.33923614069389
5/4,20.91515051842962,17.38305332412552,18.09709192201779,19.324159691869433,19.738020719772177,17.29774172905198,22.087904136170966,18.161952629026118,0.0,17.824827723151614,18.817164304695858,2.8545807211371392,17.73653773736894,20.5374556891494,18.361290809268578,27.548866067037522,21.985713376875875,20.0761211292932,20.0761211292932,9.751701647701985,21.202556572887715,23.80921883104286,30.17011742336955
6/4,21.169416084432868,14.183782067845545,14.459428242478689,15.65600948638201,11.318237560650331,18.36675507637721,12.917888763141859,18.814916826701467,17.824827723151614,0.0,1.855287940084312,18.507081403861847,6.746301393630056,19.189025898925898,7.015829783950621,22.20639799703207,23.53741705681455,10.353393821168684,10.353393821168684,24.60390859957022,11.228266461381969,18.452711477167362,18.757410620094124
