Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,mc2,mc3,mc4,mc5,mc6,mc7,mc9,mc12
2/2,0.0,50218.26996699636,99807.31537310586,0.0,150474.1172905922,199045.50004506396,85022.1143476314,121976.92666465811,149510.97026705736,108301.55059510899,199540.41846483003,141848.01013106472,99844.05628035944,149304.78986397048,99795.55650454674,99319.98293181627,99810.35942051541,147947.0585072016,99809.03336253273,132712.2143403181,100517.6701318101,99815.58978735597
2/4,50218.26996699636,0.0,49591.21072748246,50218.26996699636,100257.98515626871,148829.47533939066,34813.00581787374,71761.36017894323,99294.79120329465,58087.60547206443,149323.98496368513,91633.15089149537,49628.87794016127,99089.27747901714,49579.3343391475,49106.942736988516,49594.066134332956,97732.21570544661,49592.76524702133,82505.03587791821,50304.991636741026,49599.254735585
3/4,99807.31537310586,49591.21072748246,0.0,99807.31537310586,50672.84583965421,99239.7023602253,14810.905107865574,22179.40264371175,49704.71117773472,8521.651776996676,99734.35940697032,42045.95130929942,610.5622385932502,49499.71196102,234.43312371773226,867.348477846663,226.8115499860751,48149.436617023595,233.0233619152819,32962.67142187512,1265.701291218372,224.44877154368302
4/4,0.0,50218.26996699636,99807.31537310586,0.0,150474.1172905922,199045.50004506396,85022.1143476314,121976.92666465811,149510.97026705736,108301.55059510899,199540.41846483003,141848.01013106472,99844.05628035944,149304.78986397048,99795.55650454674,99319.98293181627,99810.35942051541,147947.0585072016,99809.03336253273,132712.2143403181,100517.6701318101,99815.58978735597
5/4,150474.1172905922,100257.98515626871,50672.84583965421,150474.1172905922,0.0,48586.49239945055,65466.10698958724,28515.384888398377,1354.9931475597552,42189.93795684413,49077.75243527124,8718.149384876295,50639.94081368049,1552.827784686564,50683.90851249414,51169.24132454166,50668.9924056976,2796.101310194149,50670.35280287998,17914.629182196746,49974.92757864755,50663.7093728419
6/4,199045.50004506396,148829.47533939066,99239.7023602253,199045.50004506396,48586.49239945055,0.0,114030.12072203157,77074.00100686165,49537.0528662156,90748.907163331,817.4868011006471,57202.698161792876,99206.38131839213,49742.381036145016,99251.16903148379,99729.45289732373,99236.36923267093,51117.73719671441,99237.68701738834,66395.55225545692,98540.82683557399,99231.12203954537
7/4,85022.1143476314,34813.00581787374,14810.905107865574,85022.1143476314,65466.10698958724,114030.12072203157,0.0,36970.619135781475,64497.209518623866,23301.417557579553,114525.40483847698,56833.78226164275,14855.513224395689,64291.51522863403,14798.647812547275,14332.594789638084,14813.433056986127,62940.75954770105,14812.46800221799,47738.88402215088,15557.647552574725,14818.761999680484
9/4,121976.92666465811,71761.36017894323,22179.40264371175,121976.92666465811,28515.384888398377,77074.00100686165,36970.619135781475,0.0,27543.4781422505,13706.538179887639,77568.26936651397,19892.451164599213,22139.88205183823,27338.144785199376,22188.42117509073,22677.477237649407,22173.557882601173,26002.95356628976,22175.26549157224,10968.688104094746,21494.623895887944,22168.437701963565
12/4,149510.97026705736,99294.79120329465,49704.71117773472,149510.97026705736,1354.9931475597552,49537.0528662156,64497.209518623866,27543.4781422505,0.0,41216.9082132028,50031.57134862037,7695.1332914749,49672.65986612554,420.3317851685801,49716.073406779724,50198.321045764045,49701.22463539321,1945.4542693901317,49702.57178068036,16972.148049433916,49011.46353569615,49695.947743205215
5/8,108301.55059510899,58087.60547206443,8521.651776996676,108301.55059510899,42189.93795684413,90748.907163331,23301.417557579553,13706.538179887639,41216.9082132028,0.0,91244.1228352128,33558.40057258799,8503.281080774432,41011.07251490572,8530.545795286132,9026.149389990163,8515.822370150729,39664.38632870729,8517.569854951846,24512.899650812607,7898.049822997583,8510.794728362163
6/8,199540.41846483003,149323.98496368513,99734.35940697032,199540.41846483003,49077.75243527124,817.4868011006471,114525.40483847698,77568.26936651397,50031.57134862037,91244.1228352128,0.0,57698.938446287146,99700.51986208593,50237.218174456495,99745.70833489788,100227.7813212244,99730.86819619293,51610.386979869785,99732.18662897317,66885.3436528036,99035.40219510043,99725.62287395845
7/8,141848.01013106472,91633.15089149537,42045.95130929942,141848.01013106472,8718.149384876295,57202.698161792876,56833.78226164275,19892.451164599213,7695.1332914749,33558.40057258799,57698.938446287146,0.0,42014.398463452766,7487.0542891379355,42057.02005038227,42538.29930585078,42042.26083439441,6250.530588818538,42043.61735643015,9491.261483609704,41357.76440679983,42037.02363994227
9/8,99844.05628035944,49628.87794016127,610.5622385932502,99844.05628035944,50639.94081368049,99206.38131839213,14855.513224395689,22139.88205183823,49672.65986612554,8503.281080774432,99700.51986208593,42014.398463452766,0.0,49467.233236526205,551.1355324886049,1019.7344633701437,547.6451416290689,48119.98488642811,562.022186231733,32932.6280860393,1194.2046933044467,551.205798246968
