,2/2,4/4,2/4,12/8,12/4,mc4,6/4,6/8,mc12,3/4,5/4,7/4,9/4,9/8,7/8,5/8,mc6,mc2,mc9,mc7,mc5,mc3
2/2,0.0,0.0,0.00040904051549103083,0.0009750637010598944,0.001025369900490002,0.0013316617809817767,0.0017366784177961056,0.001814731421388863,0.002219429655358478,0.002344822285196637,0.002416660867406057,0.002451579328409529,0.002481307411503734,0.0025911467838875065,0.0026161652884411804,0.002645737774389063,0.0026647060822634254,0.0028805719272791456,0.0030085930761213913,0.0031273085140156574,0.0033303491981027246,0.00376173045375799
4/4,0.0,0.0,0.00040904051549103083,0.0009750637010598944,0.001025369900490002,0.0013316617809817767,0.0017366784177961056,0.001814731421388863,0.002219429655358478,0.002344822285196637,0.002416660867406057,0.002451579328409529,0.002481307411503734,0.0025911467838875065,0.0026161652884411804,0.002645737774389063,0.0026647060822634254,0.0028805719272791456,0.0030085930761213913,0.0031273085140156574,0.0033303491981027246,0.00376173045375799
2/4,0.00040904051549103083,0.00040904051549103083,0.0,0.0011556046286837016,0.001254816692826495,0.0012015526104177396,0.0019288970401425784,0.00196914257002966,0.0024315693274162206,0.002517950230677773,0.0026456255046736266,0.002703087487307722,0.0027260738135664133,0.002820354150504479,0.002846281321591673,0.00284683600857478,0.00280983751457391,0.0027187682998792376,0.0032249301545423203,0.0033232452084541596,0.003493246384156213,0.0038609149172879505
12/8,0.0009750637010598944,0.0009750637010598944,0.0011556046286837016,0.0,0.0002092117496823067,0.001660102070980616,0.000984812195151272,0.0010992567288927659,0.0013658151842718535,0.0016406450745023115,0.0021392252368453405,0.0021300184471762917,0.0019649023851984865,0.0021079483790760302,0.002330917739261074,0.0024128484168878445,0.0020846310071649804,0.0031923499827081463,0.0026114387661188244,0.0028911866228888655,0.0031469472020568675,0.0033856314228857954
12/4,0.001025369900490002,0.001025369900490002,0.001254816692826495,0.0002092117496823067,0.0,0.0017657911364589323,0.0009432530438008935,0.001100577412581618,0.0012969662557361697,0.0016070610780349822,0.002032169303294024,0.00200406543782403,0.0018498664521640232,0.002006264794205733,0.0022210983835123845,0.002324656737705496,0.0020647702774468316,0.0032949045513557757,0.0025152026215473455,0.002802713949180701,0.003079205589197013,0.003376363371810262
mc4,0.0013316617809817767,0.0013316617809817767,0.0012015526104177396,0.001660102070980616,0.0017657911364589323,0.0,0.002537553626767337,0.0025219521817247785,0.002711192159269636,0.0029808017153786504,0.0031105490996226853,0.003167976609440946,0.0032186448569677824,0.0033249488881590588,0.003338224602968699,0.003348282403052233,0.0033205186924225765,0.0033205186924225795,0.00367097153737574,0.0037651142930963644,0.0039288907011291166,0.004286771198841024
6/4,0.0017366784177961056,0.0017366784177961056,0.0019288970401425784,0.000984812195151272,0.0009432530438008935,0.002537553626767337,0.0,0.0003914483473379314,0.0011331380013443267,0.0009052743946266006,0.0021635830369390024,0.0021150934541931806,0.0016169012195997134,0.0017216870270856735,0.0022907353556169455,0.002399737527866393,0.0012236359334171299,0.0034246537259921836,0.002356962774682603,0.0028587742404903157,0.0031371020927579616,0.0029435925599534964
6/8,0.001814731421388863,0.001814731421388863,0.00196914257002966,0.0010992567288927659,0.001100577412581618,0.0025219521817247785,0.0003914483473379314,0.0,0.0012443954143502847,0.0008637188033162454,0.002349251238751829,0.0023282672430263887,0.001798097716199138,0.0018733127517333872,0.002477340846512047,0.002552915484513346,0.001105734197712379,0.0032794349068008804,0.0025039334487243874,0.003011506225636969,0.0032568876373112532,0.0028916163867161275
mc12,0.002219429655358478,0.002219429655358478,0.0024315693274162206,0.0013658151842718535,0.0012969662557361697,0.002711192159269636,0.0011331380013443267,0.0012443954143502847,0.0,0.0013059959676385287,0.002314920521893237,0.00220549881742361,0.0017695170389572445,0.001961253674005929,0.0024485140325833767,0.0026321603065743724,0.0019171023609193605,0.0042867711988410235,0.0024749685056052006,0.002987588249936822,0.0033205186924225786,0.0033205186924225795
3/4,0.002344822285196637,0.002344822285196637,0.002517950230677773,0.0016406450745023115,0.0016070610780349822,0.0029808017153786504,0.0009052743946266006,0.0008637188033162454,0.0013059959676385287,0.0,0.0024993214639115404,0.0024466558848141302,0.0015837033041856126,0.0016188180027336926,0.0026070779590036466,0.0027157378652036632,0.00099340508560473,0.003918361991756475,0.002290361980898878,0.0030645266617998984,0.0033159448658479115,0.0022305739510672384
5/4,0.002416660867406057,0.002416660867406057,0.0026456255046736266,0.0021392252368453405,0.002032169303294024,0.0031105490996226853,0.0021635830369390024,0.002349251238751829,0.002314920521893237,0.0024993214639115404,0.0,0.0021135738466644045,0.002141466902502904,0.0022915351167518863,0.002325786291191434,0.0006251774762234575,0.0028488067640912895,0.004236277206523787,0.0026504307931758658,0.0028491100148705525,0.0017350420939776375,0.003830573690892873
