Meter,Index,Method,Distance,16n Binary Rhythmic Patterns
2/4,Nearst (0),metricSync,0.105,"[1,1,0,1,1,0,1,0]"
2/2,Nearst (0),metricSync,0.111,"[1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0]"
4/4,Nearst (0),metricSync,0.111,"[1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0]"
12/8,Nearst (0),metricSync,0.155,"[1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0]"
12/4,Nearst (0),metricSync,0.161,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]"
6/4,Nearst (0),metricSync,0.165,"[1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0]"
2/2,Furthest (14),metricSync,0.167,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1]"
6/8,Nearst (0),metricSync,0.169,"[1,0,0,0,1,1,1,0,0,1,0,0]"
2/4,Furthest (14),metricSync,0.172,"[1,1,1,1,1,0,0,0]"
4/4,Furthest (14),metricSync,0.172,"[1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0]"
3/4,Nearst (0),metricSync,0.173,"[0,0,1,0,0,0,1,0,1,0,1,1]"
5/4,Nearst (0),metricSync,0.175,"[1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0]"
7/4,Nearst (0),metricSync,0.179,"[0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0]"
9/8,Nearst (0),metricSync,0.179,"[0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0]"
9/4,Nearst (0),metricSync,0.184,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0]"
7/8,Nearst (0),metricSync,0.186,"[1,0,0,0,1,0,1,0,1,1,0,0,0,0]"
12/8,Furthest (14),metricSync,0.188,"[1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0] "
5/8,Nearst (0),metricSync,0.192,"[0,0,1,1,1,1,0,0,1,0]"
12/4,Furthest (14),metricSync,0.196,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
9/8,Furthest (14),metricSync,0.208,"[1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1]"
9/4,Furthest (14),metricSync,0.216,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0]"
7/4,Furthest (14),metricSync,0.218,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0]"
7/8,Furthest (14),metricSync,0.221,"[1,0,1,0,1,0,1,0,1,0,0,0,0,0]"
3/4,Furthest (14),metricSync,0.228,"[0,0,1,0,1,0,1,0,1,0,1,0]"
6/4,Furthest (14),metricSync,0.228,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0]"
6/8,Furthest (14),metricSync,0.228,"[1,0,1,0,1,0,1,0,1,0,0,0]"
5/4,Furthest (14),metricSync,0.257,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0]"
5/8,Furthest (14),metricSync,0.257,"[1,0,1,0,1,0,1,0,1,0]"
2/2,Nearst (0),pulseSync,0.037,"[1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0]"
4/4,Nearst (0),pulseSync,0.040,"[1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0]"
2/2,Furthest (14),pulseSync,0.054,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1]"
2/4,Nearst (0),pulseSync,0.056,"[1,1,1,0,1,0,1,0]"
4/4,Furthest (14),pulseSync,0.058,"[1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0]"
2/4,Furthest (14),pulseSync,0.064,"[1,1,1,1,1,0,0,0]"
6/8,Nearst (0),pulseSync,0.068,"[1,0,1,0,1,0,1,0,0,0,1,0]"
6/8,Furthest (14),pulseSync,0.081,"[1,0,0,0,0,1,1,0,1,0,0,1]"
9/8,Nearst (0),pulseSync,0.085,"[1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0]"
6/4,Nearst (0),pulseSync,0.086,"[1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0]"
12/8,Nearst (0),pulseSync,0.086,"[1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0] "
6/4,Furthest (14),pulseSync,0.093,"[1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0]"
12/8,Furthest (14),pulseSync,0.093,"[1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0]"
9/8,Furthest (14),pulseSync,0.096,"[1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1]"
12/4,Nearst (0),pulseSync,0.106,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0]"
9/4,Nearst (0),pulseSync,0.110,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0]"
9/4,Furthest (14),pulseSync,0.116,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0]"
12/4,Furthest (14),pulseSync,0.128,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0]"
5/8,Nearst (0),pulseSync,0.246,"[1,1,1,1,1,0,0,0,0,0]"
5/4,Nearst (0),pulseSync,0.252,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0]"
3/4,Nearst (0),pulseSync,0.254,"[1,0,0,0,1,0,0,0,1,1,0,1]"
7/4,Nearst (0),pulseSync,0.254,"[1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0]"
7/8,Nearst (0),pulseSync,0.254,"[1,0,1,0,1,0,0,0,0,0,0,0,1,1]"
5/4,Furthest (14),pulseSync,0.258,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0] "
5/8,Furthest (14),pulseSync,0.258,"[1,0,1,0,1,0,1,0,1,0]"
7/4,Furthest (14),pulseSync,0.259,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0]"
7/8,Furthest (14),pulseSync,0.259,"[1,0,1,0,1,0,1,0,1,0,0,0,0,0]"
3/4,Furthest (14),pulseSync,0.262,"[0,0,1,0,1,0,1,0,1,0,1,0]"
