Index,Distance,Pattern,Meter,Method
0,0.094,"[1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0]","[4,4]",metricSync
1,0.103,"[1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0]","[4,4]",metricSync
2,0.105,"[1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0]","[2,2]",metricSync
3,0.105,"[1,1,0,1,1,0,1,0]","[2,4]",metricSync
4,0.105,"[1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0]","[4,4]",metricSync
5,0.106,"[1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0]","[4,4]",metricSync
6,0.107,"[0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0]","[2,2]",metricSync
7,0.111,"[1,1,1,0,1,0,0,1]","[2,4]",metricSync
8,0.112,"[1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0]","[2,2]",metricSync
9,0.112,"[1,0,0,1,1,1,1,0]","[2,4]",metricSync
10,0.112,"[1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0]","[4,4]",metricSync
11,0.113,"[1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0]","[2,2]",metricSync
12,0.113,"[1,1,0,0,1,0,1,1]","[2,4]",metricSync
13,0.113,"[1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0]","[4,4]",metricSync
14,0.115,"[1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0]","[2,2]",metricSync
15,0.115,"[1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0]","[2,2]",metricSync
16,0.12,"[1,0,1,1,1,1,0,0]","[2,4]",metricSync
17,0.12,"[0,0,1,1,1,1,0,1]","[2,4]",metricSync
18,0.135,"[1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1]","[2,2]",metricSync
19,0.136,"[1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0]","[12,8]",metricSync
20,0.142,"[1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0]","[2,2]",metricSync
21,0.143,"[1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0]","[4,4]",metricSync
22,0.148,"[1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0]","[2,2]",metricSync
23,0.149,"[1,1,0,1,1,0,0,1]","[2,4]",metricSync
24,0.149,"[1,0,0,1,1,0,1,1]","[2,4]",metricSync
25,0.149,"[1,1,0,0,1,1,1,0]","[2,4]",metricSync
26,0.15,"[1,0,1,1,1,0,0,1]","[2,4]",metricSync
27,0.15,"[1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0]","[4,4]",metricSync
28,0.153,"[1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0]","[2,2]",metricSync
29,0.153,"[1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0]","[2,2]",metricSync
30,0.153,"[1,1,1,0,1,0,1,0]","[2,4]",metricSync
31,0.153,"[1,0,1,0,1,1,1,0]","[2,4]",metricSync
32,0.153,"[1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0]","[4,4]",metricSync
33,0.153,"[1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0]","[4,4]",metricSync
34,0.157,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0]","[2,2]",metricSync
35,0.157,"[1,0,1,0,1,0,1,1]","[2,4]",metricSync
36,0.157,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0]","[4,4]",metricSync
37,0.16,"[1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0]","[2,2]",metricSync
38,0.16,"[1,0,1,1,1,0,1,0]","[2,4]",metricSync
39,0.16,"[1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0]","[4,4]",metricSync
40,0.161,"[1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0]","[12,8]",metricSync
41,0.163,"[1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0]","[2,2]",metricSync
42,0.163,"[1,0,0,0,1,1,1,1]","[2,4]",metricSync
43,0.163,"[1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0]","[4,4]",metricSync
44,0.164,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0]","[12,8]",metricSync
45,0.165,"[1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0]","[12,4]",metricSync
46,0.166,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","[12,4]",metricSync
47,0.166,"[1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0]","[12,8]",metricSync
48,0.167,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0]","[12,4]",metricSync
49,0.167,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1]","[2,2]",metricSync
50,0.168,"[0,0,1,0,1,1,1,0,0,0,0,1]","[6,8]",metricSync
51,0.168,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[12,4]",metricSync
52,0.17,"[1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0]","[12,8]",metricSync
53,0.17,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[12,4]",metricSync
54,0.171,"[1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0]","[4,4]",metricSync
55,0.171,"[1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0]","[12,8]",metricSync
56,0.171,"[1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0]","[4,4]",metricSync
57,0.171,"[1,0,0,0,0,1,0,0,1,0,1,1]","[6,8]",metricSync
58,0.174,"[1,0,1,0,0,0,1,0,0,1,1,0]","[6,8]",metricSync
59,0.174,"[1,1,0,0,1,0,0,0,1,0,1,0]","[3,4]",metricSync
