Index,Distance,Pattern,Meter,Method
0,0.029,"[1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0]","[4,4]",pulseSync
1,0.034,"[1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0]","[4,4]",pulseSync
2,0.034,"[1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0]","[4,4]",pulseSync
3,0.034,"[1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0]","[4,4]",pulseSync
4,0.037,"[1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0]","[2,2]",pulseSync
5,0.037,"[1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0]","[4,4]",pulseSync
6,0.037,"[0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0]","[2,2]",pulseSync
7,0.037,"[1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0]","[2,2]",pulseSync
8,0.037,"[1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0]","[2,2]",pulseSync
9,0.04,"[1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0]","[2,2]",pulseSync
10,0.04,"[1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0]","[2,2]",pulseSync
11,0.04,"[1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0]","[4,4]",pulseSync
12,0.044,"[1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1]","[2,2]",pulseSync
13,0.047,"[1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0]","[2,2]",pulseSync
14,0.047,"[1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0]","[2,2]",pulseSync
15,0.05,"[1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0]","[4,4]",pulseSync
16,0.05,"[1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0]","[4,4]",pulseSync
17,0.052,"[1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0]","[2,2]",pulseSync
18,0.052,"[1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0]","[2,2]",pulseSync
19,0.052,"[1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0]","[4,4]",pulseSync
20,0.052,"[1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0]","[4,4]",pulseSync
21,0.052,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0]","[2,2]",pulseSync
22,0.052,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0]","[4,4]",pulseSync
23,0.052,"[1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0]","[2,2]",pulseSync
24,0.052,"[1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0]","[4,4]",pulseSync
25,0.054,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1]","[2,2]",pulseSync
26,0.054,"[1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0]","[4,4]",pulseSync
27,0.054,"[1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0]","[4,4]",pulseSync
28,0.056,"[1,1,1,0,1,0,1,0]","[2,4]",pulseSync
29,0.056,"[1,0,1,0,1,1,1,0]","[2,4]",pulseSync
30,0.056,"[1,0,1,0,1,0,1,1]","[2,4]",pulseSync
31,0.056,"[1,0,1,1,1,0,1,0]","[2,4]",pulseSync
32,0.058,"[1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0]","[2,2]",pulseSync
33,0.058,"[1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0]","[4,4]",pulseSync
34,0.063,"[1,1,1,0,1,0,0,1]","[2,4]",pulseSync
35,0.063,"[1,0,0,1,1,1,1,0]","[2,4]",pulseSync
36,0.063,"[1,1,0,0,1,0,1,1]","[2,4]",pulseSync
37,0.063,"[1,0,1,1,1,1,0,0]","[2,4]",pulseSync
38,0.063,"[0,0,1,1,1,1,0,1]","[2,4]",pulseSync
39,0.063,"[1,1,0,1,1,0,0,1]","[2,4]",pulseSync
40,0.063,"[1,0,0,1,1,0,1,1]","[2,4]",pulseSync
41,0.063,"[1,1,0,0,1,1,1,0]","[2,4]",pulseSync
42,0.063,"[1,0,1,1,1,0,0,1]","[2,4]",pulseSync
43,0.064,"[1,1,0,1,1,0,1,0]","[2,4]",pulseSync
44,0.064,"[1,0,0,0,1,1,1,1]","[2,4]",pulseSync
45,0.065,"[1,0,1,0,1,0,1,0,1,0]","[5,8]",pulseSync
46,0.068,"[1,0,1,0,1,0,1,0,0,0,1,0]","[3,4]",pulseSync
47,0.068,"[1,0,0,0,1,0,1,0,1,0,1,0]","[3,4]",pulseSync
48,0.068,"[1,0,1,0,1,0,1,0,0,0,1,0]","[6,8]",pulseSync
49,0.068,"[1,0,0,0,1,0,1,0,1,0,1,0]","[6,8]",pulseSync
50,0.068,"[1,0,1,0,0,0,1,0,1,1]","[5,8]",pulseSync
51,0.068,"[1,0,1,0,1,0,0,0,1,0,1,0]","[3,4]",pulseSync
52,0.068,"[1,0,1,0,0,0,1,0,1,0,1,0]","[3,4]",pulseSync
53,0.068,"[1,0,1,0,0,0,1,0,1,0,1,0]","[6,8]",pulseSync
