INDEX,DISTANCE,PATTERN,METER,METHOD
0,0.04056826553,"[1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0]","[4,4]",beatSync
1,0.04112790639,"[0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1]","[2,2]",beatSync
2,0.04112790639,"[0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1]","[4,4]",beatSync
3,0.04415807312,"[1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0]","[4,4]",beatSync
4,0.04421013662,"[1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0]","[2,2]",beatSync
5,0.04421013662,"[1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0]","[4,4]",beatSync
6,0.0456562963,"[1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0]","[2,2]",beatSync
7,0.04590208322,"[1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0]","[4,4]",beatSync
8,0.0478193943,"[1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1]","[2,2]",beatSync
9,0.05350676569,"[1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0]","[2,2]",beatSync
10,0.05773192677,"[1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0]","[4,4]",beatSync
11,0.05790045284,"[1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0]","[2,2]",beatSync
12,0.05830090018,"[1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1]","[4,4]",beatSync
13,0.05975367295,"[1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0]","[2,2]",beatSync
14,0.05975367295,"[1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0]","[4,4]",beatSync
15,0.05975367295,"[1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0]","[2,2]",beatSync
16,0.05975367295,"[1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0]","[4,4]",beatSync
17,0.05996490605,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0]","[2,2]",beatSync
18,0.05996490605,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0]","[4,4]",beatSync
19,0.06011114661,"[1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0]","[4,4]",beatSync
20,0.06334599536,"[1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0]","[2,2]",beatSync
21,0.06335381854,"[1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0]","[4,4]",beatSync
22,0.06388751146,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","[12,4]",beatSync
23,0.06428326358,"[1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0]","[12,4]",beatSync
24,0.06433948427,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[12,4]",beatSync
