INDEX,DISTANCE,PATTERN,METER,METHOD
0,0.1047704081,"[1,0,1,1,0,1,1,0]","[2,4]",metricSync
1,0.1047704081,"[1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0]","[4,4]",metricSync
2,0.1077499444,"[0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1]","[2,2]",metricSync
3,0.1077499444,"[0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1]","[4,4]",metricSync
4,0.1110306659,"[1,1,1,0,1,0,0,1]","[2,4]",metricSync
5,0.1115364326,"[1,0,0,1,1,1,1,0]","[2,4]",metricSync
6,0.1115364326,"[1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0]","[4,4]",metricSync
7,0.1130811363,"[1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0]","[2,2]",metricSync
8,0.1130811363,"[1,1,0,0,1,0,1,1]","[2,4]",metricSync
9,0.1130811363,"[1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0]","[4,4]",metricSync
10,0.1131811147,"[1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0]","[2,2]",metricSync
11,0.1146599101,"[1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1]","[2,2]",metricSync
12,0.1178518132,"[1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0]","[4,4]",metricSync
13,0.1196444691,"[1,0,1,1,1,1,0,0]","[2,4]",metricSync
14,0.1341262203,"[1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0]","[2,2]",metricSync
15,0.1428225606,"[1,0,1,1,0,0,1,1]","[2,4]",metricSync
16,0.1473208631,"[1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0]","[4,4]",metricSync
17,0.148342383,"[0,0,1,1,1,0,1,1]","[2,4]",metricSync
18,0.1487690467,"[1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0]","[2,2]",metricSync
19,0.1487690467,"[1,0,0,1,1,0,1,1]","[2,4]",metricSync
20,0.1500651532,"[1,0,1,1,1,0,0,1]","[2,4]",metricSync
21,0.1525077159,"[1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0]","[2,2]",metricSync
22,0.1525077159,"[1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0]","[2,2]",metricSync
23,0.1525077159,"[1,1,1,0,1,0,1,0]","[2,4]",metricSync
24,0.1525077159,"[1,0,1,0,1,1,1,0]","[2,4]",metricSync
25,0.1525077159,"[1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0]","[4,4]",metricSync
26,0.1525077159,"[1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0]","[4,4]",metricSync
27,0.1532433916,"[1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1]","[4,4]",metricSync
28,0.1567817186,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0]","[2,2]",metricSync
29,0.1567817186,"[1,0,1,0,1,0,1,1]","[2,4]",metricSync
30,0.1567817186,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0]","[4,4]",metricSync
31,0.1578901376,"[1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0]","[2,2]",metricSync
32,0.1595933092,"[1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0]","[4,4]",metricSync
33,0.1596246722,"[1,0,1,1,1,0,1,0]","[2,4]",metricSync
34,0.1596246722,"[1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0]","[4,4]",metricSync
35,0.1611772188,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","[12,4]",metricSync
36,0.1632642941,"[1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0]","[2,2]",metricSync
37,0.1632642941,"[1,0,0,0,1,1,1,1]","[2,4]",metricSync
38,0.1636541639,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0]","[12,4]",metricSync
