id,tau_coefficient,tau_p_value
1,0.0,1.0
2,0.9285714285714285,0.0003968253968253968
3,0.42857142857142855,0.17886904761904762
4,0.07142857142857142,0.9048611111111111
5,0.14285714285714285,0.7195436507936508
6,0.07142857142857142,0.9048611111111111
7,0.07142857142857142,0.9048611111111111
10,0.4999999999999999,0.10868055555555556
15,0.5714285714285714,0.06101190476190476
19,0.5714285714285714,0.06101190476190476
24,0.4999999999999999,0.10868055555555556
25,0.5714285714285714,0.06101190476190476
26,0.14285714285714285,0.7195436507936508
29,0.14285714285714285,0.7195436507936508
36,0.2857142857142857,0.39875992063492066
39,0.5714285714285714,0.06101190476190476
40,0.5714285714285714,0.06101190476190476
41,0.6428571428571428,0.03115079365079365
44,0.0,1.0
55,0.21428571428571427,0.5484126984126985
56,-0.21428571428571427,0.5484126984126985
