id,tau_coefficient,tau_p_value
1,0.6943650748294136,0.021539452429296755
2,0.5400617248673217,0.07383431516145597
3,0.46291004988627577,0.12545785464424314
4,0.46291004988627577,0.12545785464424314
5,0.6943650748294136,0.021539452429296755
6,0.8486684247915055,0.004967302907964282
7,0.5400617248673217,0.07383431516145597
10,0.9258200997725515,0.002180170377404106
15,0.46291004988627577,0.12545785464424314
19,0.9258200997725515,0.002180170377404106
24,0.3857583749052298,0.2016429225591495
25,0.6172133998483676,0.04105088656045887
26,0.6943650748294136,0.021539452429296755
29,0.6943650748294136,0.021539452429296755
36,-0.1543033499620919,0.6095233803508289
39,0.9258200997725515,0.002180170377404106
40,0.6172133998483676,0.04105088656045887
41,0.6943650748294136,0.021539452429296755
44,0.6172133998483676,0.04105088656045887
55,0.7715167498104596,0.010656374721291433
56,0.46291004988627577,0.12545785464424314
57,0.7715167498104596,0.010656374721291433
58,0.6943650748294136,0.021539452429296755
