id,tau_coefficient,tau_p_value
1,0.6943650748294136,0.021539452429296755
2,0.6172133998483676,0.04105088656045887
3,-0.3086066999241838,0.30701389803382517
4,0.5400617248673217,0.07383431516145597
5,0.46291004988627577,0.12545785464424314
6,0.8486684247915055,0.004967302907964282
7,0.6172133998483676,0.04105088656045887
10,0.3857583749052298,0.2016429225591495
15,-0.1543033499620919,0.6095233803508289
19,0.6943650748294136,0.021539452429296755
24,0.6943650748294136,0.021539452429296755
25,0.9258200997725515,0.002180170377404106
26,0.3857583749052298,0.2016429225591495
29,0.3857583749052298,0.2016429225591495
36,-0.23145502494313788,0.4435984319578372
39,0.7715167498104596,0.010656374721291433
40,0.6943650748294136,0.021539452429296755
41,0.7715167498104596,0.010656374721291433
44,0.9258200997725515,0.002180170377404106
55,0.5400617248673217,0.07383431516145597
56,0.3086066999241838,0.30701389803382517
57,0.7715167498104596,0.010656374721291433
58,0.7715167498104596,0.010656374721291433
