id,tau_coefficient,tau_p_value
1,0.07715167498104596,0.798431964808643
2,0.8486684247915055,0.004967302907964282
3,0.3857583749052298,0.2016429225591495
4,0.23145502494313788,0.4435984319578372
5,0.23145502494313788,0.4435984319578372
6,0.1543033499620919,0.6095233803508289
7,0.23145502494313788,0.4435984319578372
10,0.5400617248673217,0.07383431516145597
15,0.5400617248673217,0.07383431516145597
19,0.6943650748294136,0.021539452429296755
24,0.46291004988627577,0.12545785464424314
25,0.6172133998483676,0.04105088656045887
26,0.23145502494313788,0.4435984319578372
29,0.23145502494313788,0.4435984319578372
36,0.3086066999241838,0.30701389803382517
39,0.6172133998483676,0.04105088656045887
40,0.6943650748294136,0.021539452429296755
41,0.6943650748294136,0.021539452429296755
44,0.1543033499620919,0.6095233803508289
55,0.3857583749052298,0.2016429225591495
56,-0.23145502494313788,0.4435984319578372
57,0.3857583749052298,0.2016429225591495
58,0.3857583749052298,0.2016429225591495
