id,tau_coefficient,tau_p_value
1,0.6428571428571428,0.03115079365079365
2,0.4999999999999999,0.10868055555555556
3,-0.21428571428571427,0.5484126984126985
4,0.6428571428571428,0.03115079365079365
5,0.5714285714285714,0.06101190476190476
6,0.7857142857142856,0.005505952380952381
7,0.5714285714285714,0.06101190476190476
10,0.3571428571428571,0.27509920634920637
15,-0.07142857142857142,0.9048611111111111
19,0.7857142857142856,0.005505952380952381
24,0.6428571428571428,0.03115079365079365
25,0.9285714285714285,0.0003968253968253968
26,0.42857142857142855,0.17886904761904762
29,0.42857142857142855,0.17886904761904762
36,-0.21428571428571427,0.5484126984126985
39,0.7857142857142856,0.005505952380952381
40,0.5714285714285714,0.06101190476190476
41,0.8571428571428571,0.001736111111111111
44,0.8571428571428571,0.001736111111111111
55,0.5714285714285714,0.06101190476190476
56,0.3571428571428571,0.27509920634920637
57,0.7142857142857142,0.014136904761904762
58,0.7857142857142856,0.005505952380952381
61,0.5714285714285714,0.06101190476190476
