Index,Group,Meter,Strat level,#Pulses + Prime Factors,Displacement,Metrical Levels,Indispensability,Weights R=0.5,Weights R=0.3
0,0,4/4,16n,16 2 2 2 2,0_16n,0 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4,15 0 8 4 12 2 10 6 14 1 9 5 13 3 11 7,1.000 0.070 0.156 0.102 0.375 0.086 0.219 0.117 0.750 0.078 0.188 0.109 0.500 0.094 0.250 0.125,1.000 0.010 0.043 0.020 0.195 0.015 0.074 0.025 0.650 0.013 0.059 0.022 0.300 0.018 0.090 0.027
1,0,4/4,16n,16 2 2 2 2,1_16n,4 0 4 3 4 2 4 3 4 1 4 3 4 2 4 3,7 15 0 8 4 12 2 10 6 14 1 9 5 13 3 11,0.125 1.000 0.070 0.156 0.102 0.375 0.086 0.219 0.117 0.750 0.078 0.188 0.109 0.500 0.094 0.250,0.027 1.000 0.010 0.043 0.020 0.195 0.015 0.074 0.025 0.650 0.013 0.059 0.022 0.300 0.018 0.090
2,0,4/4,16n,16 2 2 2 2,2_16n,3 4 0 4 3 4 2 4 3 4 1 4 3 4 2 4,11 7 15 0 8 4 12 2 10 6 14 1 9 5 13 3,0.250 0.125 1.000 0.070 0.156 0.102 0.375 0.086 0.219 0.117 0.750 0.078 0.188 0.109 0.500 0.094,0.090 0.027 1.000 0.010 0.043 0.020 0.195 0.015 0.074 0.025 0.650 0.013 0.059 0.022 0.300 0.018
3,0,4/4,16n,16 2 2 2 2,3_16n,4 3 4 0 4 3 4 2 4 3 4 1 4 3 4 2,3 11 7 15 0 8 4 12 2 10 6 14 1 9 5 13,0.094 0.250 0.125 1.000 0.070 0.156 0.102 0.375 0.086 0.219 0.117 0.750 0.078 0.188 0.109 0.500,0.018 0.090 0.027 1.000 0.010 0.043 0.020 0.195 0.015 0.074 0.025 0.650 0.013 0.059 0.022 0.300
4,0,4/4,16n,16 2 2 2 2,4_16n,2 4 3 4 0 4 3 4 2 4 3 4 1 4 3 4,13 3 11 7 15 0 8 4 12 2 10 6 14 1 9 5,0.500 0.094 0.250 0.125 1.000 0.070 0.156 0.102 0.375 0.086 0.219 0.117 0.750 0.078 0.188 0.109,0.300 0.018 0.090 0.027 1.000 0.010 0.043 0.020 0.195 0.015 0.074 0.025 0.650 0.013 0.059 0.022
5,0,4/4,16n,16 2 2 2 2,5_16n,4 2 4 3 4 0 4 3 4 2 4 3 4 1 4 3,5 13 3 11 7 15 0 8 4 12 2 10 6 14 1 9,0.109 0.500 0.094 0.250 0.125 1.000 0.070 0.156 0.102 0.375 0.086 0.219 0.117 0.750 0.078 0.188,0.022 0.300 0.018 0.090 0.027 1.000 0.010 0.043 0.020 0.195 0.015 0.074 0.025 0.650 0.013 0.059
6,0,4/4,16n,16 2 2 2 2,6_16n,3 4 2 4 3 4 0 4 3 4 2 4 3 4 1 4,9 5 13 3 11 7 15 0 8 4 12 2 10 6 14 1,0.188 0.109 0.500 0.094 0.250 0.125 1.000 0.070 0.156 0.102 0.375 0.086 0.219 0.117 0.750 0.078,0.059 0.022 0.300 0.018 0.090 0.027 1.000 0.010 0.043 0.020 0.195 0.015 0.074 0.025 0.650 0.013
7,0,4/4,16n,16 2 2 2 2,7_16n,4 3 4 2 4 3 4 0 4 3 4 2 4 3 4 1,1 9 5 13 3 11 7 15 0 8 4 12 2 10 6 14,0.078 0.188 0.109 0.500 0.094 0.250 0.125 1.000 0.070 0.156 0.102 0.375 0.086 0.219 0.117 0.750,0.013 0.059 0.022 0.300 0.018 0.090 0.027 1.000 0.010 0.043 0.020 0.195 0.015 0.074 0.025 0.650
8,0,4/4,16n,16 2 2 2 2,8_16n,1 4 3 4 2 4 3 4 0 4 3 4 2 4 3 4,14 1 9 5 13 3 11 7 15 0 8 4 12 2 10 6,0.750 0.078 0.188 0.109 0.500 0.094 0.250 0.125 1.000 0.070 0.156 0.102 0.375 0.086 0.219 0.117,0.650 0.013 0.059 0.022 0.300 0.018 0.090 0.027 1.000 0.010 0.043 0.020 0.195 0.015 0.074 0.025
9,0,4/4,16n,16 2 2 2 2,9_16n,4 1 4 3 4 2 4 3 4 0 4 3 4 2 4 3,6 14 1 9 5 13 3 11 7 15 0 8 4 12 2 10,0.117 0.750 0.078 0.188 0.109 0.500 0.094 0.250 0.125 1.000 0.070 0.156 0.102 0.375 0.086 0.219,0.025 0.650 0.013 0.059 0.022 0.300 0.018 0.090 0.027 1.000 0.010 0.043 0.020 0.195 0.015 0.074
