Index,Meter,Strat level,#Pulses + Prime Factors,Metrical Levels,Indispensability,Weights
0,2/4,16n,8 2 2 2,0 2 1 2 0 2 1 2,7 0 4 2 6 1 5 3,1. 0.15625 0.375 0.21875 0.75 0.1875 0.5 0.25
1,3/4,16n,12 3 2 2,0 2 1 2 0 2 1 2 0 2 1 2,11 0 6 3 9 1 7 4 10 2 8 5,1. 0.145833 0.333333 0.208333 0.666667 0.166667 0.416667 0.229167 0.833333 0.1875 0.5 0.25
2,4/4,16n,16 2 2 2 2,0 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3,15 0 8 4 12 2 10 6 14 1 9 5 13 3 11 7,1. 0.070312 0.15625 0.101562 0.375 0.085938 0.21875 0.117188 0.75 0.078125 0.1875 0.109375 0.5 0.09375 0.25 0.125
3,5/4,16n,20 5 2 2,0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2,19 0 10 5 15 1 11 6 16 3 13 8 18 2 12 7 17 4 14 9,1. 0.1375 0.3 0.2 0.6 0.15 0.35 0.2125 0.7 0.175 0.45 0.2375 0.9 0.1625 0.4 0.225 0.8 0.1875 0.5 0.25
4,6/4,16n,24 2 3 2 2,0 3 2 3 1 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3 1 3 2 3,23 0 12 6 18 2 14 8 20 4 16 10 22 1 13 7 19 3 15 9 21 5 17 11,1. 0.067708 0.145833 0.098958 0.3125 0.078125 0.1875 0.109375 0.4375 0.088542 0.229167 0.119792 0.75 0.072917 0.166667 0.104167 0.375 0.083333 0.208333 0.114583 0.5 0.09375 0.25 0.125
5,7/4,16n,28 7 2 2,0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2,27 0 14 7 21 4 18 11 25 1 15 8 22 5 19 12 26 2 16 9 23 3 17 10 24 6 20 13,1. 0.133929 0.285714 0.196429 0.571429 0.169643 0.428571 0.232143 0.857143 0.142857 0.321429 0.205357 0.642857 0.178571 0.464286 0.241071 0.928571 0.151786 0.357143 0.214286 0.714286 0.160714 0.392857 0.223214 0.785714 0.1875 0.5 0.25
6,8/4,16n,32 2 2 2 2 2,0 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 0 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4,31 0 16 8 24 4 20 12 28 2 18 10 26 6 22 14 30 1 17 9 25 5 21 13 29 3 19 11 27 7 23 15,1. 0.033203 0.070312 0.048828 0.15625 0.041016 0.101562 0.056641 0.375 0.037109 0.085938 0.052734 0.21875 0.044922 0.117188 0.060547 0.75 0.035156 0.078125 0.050781 0.1875 0.042969 0.109375 0.058594 0.5 0.039062 0.09375 0.054688 0.25 0.046875 0.125 0.0625
7,9/4,16n,36 3 3 2 2,0 3 2 3 1 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3 1 3 2 3,35 0 18 9 27 3 21 12 30 6 24 15 33 1 19 10 28 4 22 13 31 7 25 16 34 2 20 11 29 5 23 14 32 8 26 17,1. 0.065972 0.138889 0.097222 0.291667 0.076389 0.180556 0.107639 0.416667 0.086806 0.222222 0.118056 0.666667 0.069444 0.152778 0.100694 0.333333 0.079861 0.194444 0.111111 0.458333 0.090278 0.236111 0.121528 0.833333 0.072917 0.166667 0.104167 0.375 0.083333 0.208333 0.114583 0.5 0.09375 0.25 0.125
8,10/4,16n,40 5 2 2 2,0 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3,39 0 20 10 30 5 25 15 35 1 21 11 31 6 26 16 36 3 23 13 33 8 28 18 38 2 22 12 32 7 27 17 37 4 24 14 34 9 29 19,1. 0.065625 0.1375 0.096875 0.3 0.08125 0.2 0.1125 0.6 0.06875 0.15 0.1 0.35 0.084375 0.2125 0.115625 0.7 0.075 0.175 0.10625 0.45 0.090625 0.2375 0.121875 0.9 0.071875 0.1625 0.103125 0.4 0.0875 0.225 0.11875 0.8 0.078125 0.1875 0.109375 0.5 0.09375 0.25 0.125
9,11/4,16n,44 11 2 2,0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2,43 0 22 11 33 6 28 17 39 3 25 14 36 9 31 20 42 1 23 12 34 7 29 18 40 2 24 13 35 8 30 19 41 4 26 15 37 5 27 16 38 10 32 21,1. 0.130682 0.272727 0.193182 0.545455 0.164773 0.409091 0.227273 0.818182 0.147727 0.340909 0.210227 0.681818 0.181818 0.477273 0.244318 0.954545 0.136364 0.295455 0.198864 0.590909 0.170455 0.431818 0.232955 0.863636 0.142045 0.318182 0.204545 0.636364 0.176136 0.454545 0.238636 0.909091 0.153409 0.363636 0.215909 0.727273 0.159091 0.386364 0.221591 0.772727 0.1875 0.5 0.25
10,12/4,16n,48 2 2 3 2 2,0 4 3 4 2 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 2 4 3 4 0 4 3 4 2 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 2 4 3 4,47 0 24 12 36 4 28 16 40 8 32 20 44 2 26 14 38 6 30 18 42 10 34 22 46 1 25 13 37 5 29 17 41 9 33 21 45 3 27 15 39 7 31 19 43 11 35 23,1. 0.032552 0.067708 0.048177 0.140625 0.03776 0.088542 0.053385 0.203125 0.042969 0.109375 0.058594 0.375 0.035156 0.078125 0.050781 0.171875 0.040365 0.098958 0.05599 0.234375 0.045573 0.119792 0.061198 0.75 0.033854 0.072917 0.049479 0.15625 0.039062 0.09375 0.054688 0.21875 0.044271 0.114583 0.059896 0.5 0.036458 0.083333 0.052083 0.1875 0.041667 0.104167 0.057292 0.25 0.046875 0.125 0.0625
11,4/8,16n,8 2 2 2,0 2 1 2 0 2 1 2,7 0 4 2 6 1 5 3,1. 0.15625 0.375 0.21875 0.75 0.1875 0.5 0.25
12,5/8,16n,10 5 2,0 1 0 1 0 1 0 1 0 1,9 0 5 1 6 3 8 2 7 4,1. 0.3 0.6 0.35 0.7 0.45 0.9 0.4 0.8 0.5
13,6/8,16n,12 2 3 2,0 2 1 2 1 2 0 2 1 2 1 2,11 0 6 2 8 4 10 1 7 3 9 5,1. 0.145833 0.3125 0.1875 0.4375 0.229167 0.75 0.166667 0.375 0.208333 0.5 0.25
14,7/8,16n,14 7 2,0 1 0 1 0 1 0 1 0 1 0 1 0 1,13 0 7 4 11 1 8 5 12 2 9 3 10 6,1. 0.285714 0.571429 0.428571 0.857143 0.321429 0.642857 0.464286 0.928571 0.357143 0.714286 0.392857 0.785714 0.5
15,8/8,16n,16 2 2 2 2,0 3 2 3 1 3 2 3 0 3 2 3 1 3 2 3,15 0 8 4 12 2 10 6 14 1 9 5 13 3 11 7,1. 0.070312 0.15625 0.101562 0.375 0.085938 0.21875 0.117188 0.75 0.078125 0.1875 0.109375 0.5 0.09375 0.25 0.125
16,9/8,16n,18 3 3 2,0 2 1 2 1 2 0 2 1 2 1 2 0 2 1 2 1 2,17 0 9 3 12 6 15 1 10 4 13 7 16 2 11 5 14 8,1. 0.138889 0.291667 0.180556 0.416667 0.222222 0.666667 0.152778 0.333333 0.194444 0.458333 0.236111 0.833333 0.166667 0.375 0.208333 0.5 0.25
17,10/8,16n,20 5 2 2,0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2 0 2 1 2,19 0 10 5 15 1 11 6 16 3 13 8 18 2 12 7 17 4 14 9,1. 0.1375 0.3 0.2 0.6 0.15 0.35 0.2125 0.7 0.175 0.45 0.2375 0.9 0.1625 0.4 0.225 0.8 0.1875 0.5 0.25
18,11/8,16n,22 11 2,0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1,21 0 11 6 17 3 14 9 20 1 12 7 18 2 13 8 19 4 15 5 16 10,1. 0.272727 0.545455 0.409091 0.818182 0.340909 0.681818 0.477273 0.954545 0.295455 0.590909 0.431818 0.863636 0.318182 0.636364 0.454545 0.909091 0.363636 0.727273 0.386364 0.772727 0.5
19,12/8,16n,24 2 2 3 2,0 3 2 3 2 3 1 3 2 3 2 3 0 3 2 3 2 3 1 3 2 3 2 3,23 0 12 4 16 8 20 2 14 6 18 10 22 1 13 5 17 9 21 3 15 7 19 11,1. 0.067708 0.140625 0.088542 0.203125 0.109375 0.375 0.078125 0.171875 0.098958 0.234375 0.119792 0.75 0.072917 0.15625 0.09375 0.21875 0.114583 0.5 0.083333 0.1875 0.104167 0.25 0.125
20,13/8,16n,26 13 2,0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1,25 0 13 7 20 3 16 10 23 1 14 8 21 4 17 11 24 2 15 9 22 5 18 6 19 12,1. 0.269231 0.538462 0.403846 0.807692 0.326923 0.653846 0.461538 0.923077 0.288462 0.576923 0.423077 0.846154 0.346154 0.692308 0.480769 0.961538 0.307692 0.615385 0.442308 0.884615 0.365385 0.730769 0.384615 0.769231 0.5
