,4/4,12/4b,10/4,2/4,7/4,5/4,10/8a,3/4,6/4,9/4,7/8,5/8,6/8b,10/8b,6/8a,9/8b,9/8a,2/2,12/8b,12/8a,12/4a
4/4,0.0,0.535769867336873,0.6474558519509955,0.9662517324202131,1.2942082592504427,1.30959507126813,1.30959507126813,1.3381036276040283,1.68243148310469,1.7778625994183632,1.8035095780801293,1.8152020600054948,1.8225429398184847,1.871086499361601,1.9584234941929715,1.9771030288125258,2.044376832954547,2.158718078868965,2.185225840833791,2.229580934300305,2.5715919353141174
12/4b,0.535769867336873,0.0,0.8310573205576,0.8914873877773607,1.2018226654152764,1.2166833400383144,1.2166833400383144,1.235597103993461,1.6668901189564687,1.7480021955717033,1.6872978897031137,1.696936768566181,1.4923505990063932,1.6657091536075659,1.8669293689837123,1.6651029514472815,1.9593544201915571,1.6919842625100043,2.0198202782015997,2.2080041267018764,2.646922706646204
10/4,0.6474558519509955,0.8310573205576,0.0,1.015140513868626,1.317463518439355,1.2584202168578806,1.2584202168578806,1.3530529180349509,1.6439290473056807,1.7261493160801775,1.8174211863144856,1.7833837233053227,1.859522954308894,1.8566817086083478,1.9391158267756463,2.0021770954625246,2.0173615971016408,2.200916077101678,2.1649339558748935,2.1787009195070786,2.5292878733112856
2/4,0.9662517324202131,0.8914873877773607,1.015140513868626,0.0,0.5944010680257391,0.5703798416049528,0.5703798416049528,0.5822154781297767,1.4991566699162178,1.5193656932146882,1.0336491365103875,1.0534660545050554,1.078734276016924,1.1259611358321542,1.3982484784003348,1.2640425699430369,1.4915393662574374,1.6328748374235373,1.7130973923023942,2.034750955129863,2.765390474346215
7/4,1.2942082592504427,1.2018226654152764,1.317463518439355,0.5944010680257391,0.0,0.5963437256191982,0.5963437256191982,0.6418504498622043,1.542290051378702,1.5050816695465112,1.0157975716917573,1.081233203732284,1.140406630987572,1.1611861721664736,1.4060063181018136,1.312237240744413,1.4849758953900614,1.70839376262084,1.7161961022292185,2.0618660109336355,2.81096146647867
5/4,1.30959507126813,1.2166833400383144,1.2584202168578806,0.5703798416049528,0.5963437256191982,0.0,0.0,0.6014327849435295,1.536850659542312,1.4967264774609994,1.053802937674042,0.9634716499527247,1.1205098192257787,1.0729222549411739,1.3834709042645073,1.2924778924403264,1.4645840027070967,1.6995253356176132,1.7005186226494842,2.0564562392180608,2.8342975630863916
10/8a,1.30959507126813,1.2166833400383144,1.2584202168578806,0.5703798416049528,0.5963437256191982,0.0,0.0,0.6014327849435295,1.536850659542312,1.4967264774609994,1.053802937674042,0.9634716499527247,1.1205098192257787,1.0729222549411739,1.3834709042645073,1.2924778924403264,1.4645840027070967,1.6995253356176132,1.7005186226494842,2.0564562392180608,2.8342975630863916
3/4,1.3381036276040283,1.235597103993461,1.3530529180349509,0.5822154781297767,0.6418504498622043,0.6014327849435295,0.6014327849435295,0.0,1.140209109771491,1.114481390826501,1.0587808869759048,1.0707851960286467,1.1066265525474235,1.1453560605602213,1.0918389809711666,1.2332968127468003,1.3058913961755894,1.6835475349684208,1.4371260038987013,1.6829749068488857,2.5540869786130265
6/4,1.68243148310469,1.6668901189564687,1.6439290473056807,1.4991566699162178,1.542290051378702,1.536850659542312,1.536850659542312,1.140209109771491,0.0,0.6169073991255977,1.9461481984049827,1.9444069799686436,1.9790179948826347,2.0008569318113065,1.3155538367700002,1.9965339153108976,1.6629461701744928,2.3391482805040105,1.5082243128889132,0.8664033543001444,1.5353459599547132
9/4,1.7778625994183632,1.7480021955717033,1.7261493160801775,1.5193656932146882,1.5050816695465112,1.4967264774609994,1.4967264774609994,1.114481390826501,0.6169073991255977,0.0,1.9119475690366647,1.9130065770912463,1.960077337926201,1.973811354079648,1.3034422997790829,1.9795964483605193,1.5874113825990068,2.341066873318668,1.5033261498472372,1.0897799950020688,1.8940337832001044
