,4/4,12/4b,10/4,2/2,6/8b,3/4,5/4,10/8a,2/4,7/8,9/8b,10/8b,5/8,7/4,6/8a,9/8a,12/8b,9/4,6/4,12/8a,12/4a
4/4,0.0,2.8452158594023027,13.957798367904088,17.12722124086479,17.168081211640892,18.197870625628873,18.96522532717097,18.96522532717097,19.446558083605776,20.600837188097195,23.28022792379225,42.30568390942778,73.03369507541255,112.08722599534859,135.56143238994287,136.80216551667962,214.32174490818232,230.27091512210188,237.60745514088114,239.35404553836727,467.88277866231635
12/4b,2.8452158594023027,0.0,14.155051634512862,17.279572246896905,17.714694735870403,19.171878076537663,19.00496592804991,19.00496592804991,19.744972524838182,20.838607619267698,23.94537512007395,42.53618647794332,73.1777625616903,112.13384355985256,135.59334055916736,136.70367077063753,214.22909217395073,230.15892312670778,237.53410998591332,239.25439111528274,467.7591040105447
10/4,13.957798367904088,14.155051634512862,0.0,16.888278419268165,19.288969475819066,20.612490984565888,19.581609587125477,19.581609587125477,21.463058759968096,22.647450972233564,24.15196893303365,40.83512290172832,72.95216887881494,112.98287314890368,135.95918489872463,137.06094294182643,214.65690054725584,230.67527486450126,238.26911801662575,239.77888330412077,468.3625873825486
2/2,17.12722124086479,17.279572246896905,16.888278419268165,0.0,16.390888512644956,18.299834458896882,18.57742889882088,18.57742889882088,19.00219933165989,19.316081344818137,18.66604367886628,37.55809006077534,72.32943297550189,112.63793185923355,135.8307221053793,136.89746772808743,214.58048493249476,230.9678225764755,238.2136912447582,239.7312286679793,468.94155866033407
6/8b,17.168081211640892,17.714694735870403,19.288969475819066,16.390888512644956,0.0,11.608581294667703,14.568402317302523,14.568402317302523,9.490025211263719,12.847693534247764,13.756925653935909,43.15713993371847,70.65249878090809,110.50145165307681,133.986838288491,135.62930146896963,212.8421946403963,228.26915641197002,235.03583036722335,237.9905828497395,466.5353438780343
3/4,18.197870625628873,19.171878076537663,20.612490984565888,18.299834458896882,11.608581294667703,0.0,17.025803059277887,17.025803059277887,14.278426723598368,17.233026729009353,18.26047582485209,43.289101077448045,72.79876694676187,110.92656780426651,136.01566888749142,137.95932081644906,214.7273640717772,229.47654276674774,236.79583857521948,239.75200189903046,468.17159638011805
5/4,18.96522532717097,19.00496592804991,19.581609587125477,18.57742889882088,14.568402317302523,17.025803059277887,0.0,0.0,17.374252704466063,18.76395281990899,19.230514216108453,44.145872428500496,71.91649573149506,109.70285306648503,134.20071258549427,135.5249245961737,212.64107168182497,227.5967417625342,235.0397668724787,237.48906466987856,466.2671034053217
10/8a,18.96522532717097,19.00496592804991,19.581609587125477,18.57742889882088,14.568402317302523,17.025803059277887,0.0,0.0,17.374252704466063,18.76395281990899,19.230514216108453,44.145872428500496,71.91649573149506,109.70285306648503,134.20071258549427,135.5249245961737,212.64107168182497,227.5967417625342,235.0397668724787,237.48906466987856,466.2671034053217
2/4,19.446558083605776,19.744972524838182,21.463058759968096,19.00219933165989,9.490025211263719,14.278426723598368,17.374252704466063,17.374252704466063,0.0,14.854870964110004,17.55376850783564,44.87733716177173,73.43066449234888,111.05855954736826,137.0813851565166,138.7491555787148,215.020571693452,229.37175920235003,236.62043515019883,240.17365945653373,468.17481972073796
7/8,20.600837188097195,20.838607619267698,22.647450972233564,19.316081344818137,12.847693534247764,17.233026729009353,18.76395281990899,18.76395281990899,14.854870964110004,0.0,17.068192596321932,45.81888576588886,73.4854171933555,111.3605551294892,136.66428024831902,138.07732241747516,214.6262729328923,229.1932940636218,236.42356139216028,239.65033255432306,467.9479632039832
9/8b,23.28022792379225,23.94537512007395,24.15196893303365,18.66604367886628,13.756925653935909,18.26047582485209,19.230514216108453,19.230514216108453,17.55376850783564,17.068192596321932,0.0,44.99896432310343,72.530145234962,110.12542933522207,134.9298208774614,136.41607548513352,213.41999299470578,228.72974641368882,235.8698744896286,238.50031979988674,467.18157412364036
10/8b,42.30568390942778,42.53618647794332,40.83512290172832,37.55809006077534,43.15713993371847,43.289101077448045,44.145872428500496,44.145872428500496,44.87733716177173,45.81888576588886,44.99896432310343,0.0,58.543711805288766,102.77287246550688,121.49185811992753,122.61632962747254,196.91330449725658,217.1852132449293,222.97968730711847,223.49122712975375,451.75294437942347
5/8,73.03369507541255,73.1777625616903,72.95216887881494,72.32943297550189,70.65249878090809,72.79876694676187,71.91649573149506,71.91649573149506,73.43066449234888,73.4854171933555,72.530145234962,58.543711805288766,0.0,73.43271014481822,70.5780444754227,72.54320918876341,150.38868182018493,174.64881041703035,174.70290729662258,175.9585358858742,403.55203737774366
7/4,112.08722599534859,112.13384355985256,112.98287314890368,112.63793185923355,110.50145165307681,110.92656780426651,109.70285306648503,109.70285306648503,111.05855954736826,111.3605551294892,110.12542933522207,102.77287246550688,73.43271014481822,0.0,79.6473889935307,82.32927072767178,126.15056798505539,127.51707911722832,140.34397926463805,144.58744462405804,368.48868786092146
6/8a,135.56143238994287,135.59334055916736,135.95918489872463,135.8307221053793,133.986838288491,136.01566888749142,134.20071258549427,134.20071258549427,137.0813851565166,136.66428024831902,134.9298208774614,121.49185811992753,70.5780444754227,79.6473889935307,0.0,13.975788826488627,88.97590957822297,128.79479898151462,117.23997873624565,114.15010058706825,340.9893119757812
9/8a,136.80216551667962,136.70367077063753,137.06094294182643,136.89746772808743,135.62930146896963,137.95932081644906,135.5249245961737,135.5249245961737,138.7491555787148,138.07732241747516,136.41607548513352,122.61632962747254,72.54320918876341,82.32927072767178,13.975788826488627,0.0,88.9319559173659,129.463235365766,118.31413823712133,113.96845513824819,340.8240350061871
12/8b,214.32174490818232,214.22909217395073,214.65690054725584,214.58048493249476,212.8421946403963,214.7273640717772,212.64107168182497,212.64107168182497,215.020571693452,214.6262729328923,213.41999299470578,196.91330449725658,150.38868182018493,126.15056798505539,88.97590957822297,88.9319559173659,0.0,77.2073632347489,54.10077043354882,47.90462058551104,260.259139513176
9/4,230.27091512210188,230.15892312670778,230.67527486450126,230.9678225764755,228.26915641197002,229.47654276674774,227.5967417625342,227.5967417625342,229.37175920235003,229.1932940636218,228.72974641368882,217.1852132449293,174.64881041703035,127.51707911722832,128.79479898151462,129.463235365766,77.2073632347489,0.0,57.01456078141758,66.57815945695617,252.0159744963753
6/4,237.60745514088114,237.53410998591332,238.26911801662575,238.2136912447582,235.03583036722335,236.79583857521948,235.0397668724787,235.0397668724787,236.62043515019883,236.42356139216028,235.8698744896286,222.97968730711847,174.70290729662258,140.34397926463805,117.23997873624565,118.31413823712133,54.10077043354882,57.01456078141758,0.0,38.66398653770244,237.0263976605744
12/8a,239.35404553836727,239.25439111528274,239.77888330412077,239.7312286679793,237.9905828497395,239.75200189903046,237.48906466987856,237.48906466987856,240.17365945653373,239.65033255432306,238.50031979988674,223.49122712975375,175.9585358858742,144.58744462405804,114.15010058706825,113.96845513824819,47.90462058551104,66.57815945695617,38.66398653770244,0.0,235.55296057530438
12/4a,467.88277866231635,467.7591040105447,468.3625873825486,468.94155866033407,466.5353438780343,468.17159638011805,466.2671034053217,466.2671034053217,468.17481972073796,467.9479632039832,467.18157412364036,451.75294437942347,403.55203737774366,368.48868786092146,340.9893119757812,340.8240350061871,260.259139513176,252.0159744963753,237.0263976605744,235.55296057530438,0.0
