,4/4,12/4b,2/4,10/4,2/2,6/8b,10/8a,5/4,3/4,7/4,5/8,10/8b,7/8,12/4a,6/4,9/4,9/8b,12/8a,9/8a,6/8a,12/8b
4/4,0.0,2.8452158594023027,13.867272501594194,13.957798367904088,17.12722124086479,17.168081211640892,18.96522532717097,18.96522532717097,19.025789414239174,19.02756895396654,19.46319249502034,20.40429710147589,20.802294647764093,21.04604890423119,22.241331949995377,23.20817109193452,23.41991151988587,24.1783601154585,24.34289547400087,24.78268309833267,25.630980718463203
12/4b,2.8452158594023027,0.0,14.611271569547242,14.155051634512862,17.279572246896905,17.714694735870403,19.00496592804991,19.00496592804991,18.59365049508875,19.06944577355495,20.49634637321673,21.193672971650663,21.071164996249227,20.732560172813976,21.901169278599735,22.89398594930307,24.090562539199567,24.05837610630003,24.803074384917572,24.894437590142235,25.69616283266687
2/4,13.867272501594194,14.611271569547242,0.0,16.304787182975428,18.08898414131167,12.539830722205128,19.544391880626268,19.544391880626268,17.663877979053556,14.577897233911642,20.859357909979842,21.206039501274052,17.89963562370425,21.888292087194106,22.08643159750488,22.947640748020504,20.289527751458873,23.697310405108276,24.519929866282947,23.266090661746812,24.26410373915673
10/4,13.957798367904088,14.155051634512862,16.304787182975428,0.0,16.888278419268165,19.288969475819066,19.581609587125477,19.581609587125477,20.278229752823446,20.632558528036203,21.320919204831352,21.93872255044749,22.831897978237148,21.69689314459034,22.158698116077016,20.85146073288806,24.21282855638615,22.969812645380568,24.08086362665344,24.374882173137255,24.49490275638247
2/2,17.12722124086479,17.279572246896905,18.08898414131167,16.888278419268165,0.0,16.390888512644956,18.57742889882088,18.57742889882088,17.864238247967698,19.349682556342103,19.388530912065505,19.32025006936113,19.004413780528317,17.98780282694193,19.13740110968622,18.56221151721072,18.56546668408675,19.562702070544386,19.104148769624047,19.672344976678588,20.005441471184014
6/8b,17.168081211640892,17.714694735870403,12.539830722205128,19.288969475819066,16.390888512644956,0.0,14.568402317302523,14.568402317302523,14.059031921175508,14.56050675454488,17.286721893293706,17.7685246061002,13.519759424815186,21.58476638611939,20.685854371184686,20.702565786917877,14.509279975038083,22.253503781669135,21.142291129311484,19.89412735141291,22.486873046762664
10/8a,18.96522532717097,19.00496592804991,19.544391880626268,19.581609587125477,18.57742889882088,14.568402317302523,0.0,0.0,17.70891477614467,19.60970227571311,18.010582319339385,18.947179288783378,19.34477415652749,24.373051964356524,22.905620778437005,20.907255561392255,19.41511512873651,23.41995809747441,22.125871518786344,22.018745360794416,23.86636763837301
5/4,18.96522532717097,19.00496592804991,19.544391880626268,19.581609587125477,18.57742889882088,14.568402317302523,0.0,0.0,17.70891477614467,19.60970227571311,18.010582319339385,18.947179288783378,19.34477415652749,24.373051964356524,22.905620778437005,20.907255561392255,19.41511512873651,23.41995809747441,22.125871518786344,22.018745360794416,23.86636763837301
3/4,19.025789414239174,18.59365049508875,17.663877979053556,20.278229752823446,17.864238247967698,14.059031921175508,17.70891477614467,17.70891477614467,0.0,19.478741909559176,21.01523929014166,20.68108096999391,18.439769227014963,18.580525835384066,17.055866464671887,17.075835182751227,18.54039537602513,19.072927410703745,20.457308814815935,14.907255899826906,18.94705997745965
7/4,19.02756895396654,19.06944577355495,14.577897233911642,20.632558528036203,19.349682556342103,14.56050675454488,19.60970227571311,19.60970227571311,19.478741909559176,0.0,22.49040300013644,22.67726524616664,18.129872509505667,24.122637638062912,23.710859438394056,23.396632673545636,21.644241757388308,25.30608498186048,24.938255705318184,24.240837772015023,25.375384305757713
5/8,19.46319249502034,20.49634637321673,20.859357909979842,21.320919204831352,19.388530912065505,17.286721893293706,18.010582319339385,18.010582319339385,21.01523929014166,22.49040300013644,0.0,11.91737187449122,19.66471377775794,25.550141135074202,26.050270226001285,25.596928733365466,20.11159598534389,26.16351456520288,22.943296955320527,23.887248717992833,26.26447749655266
10/8b,20.40429710147589,21.193672971650663,21.206039501274052,21.93872255044749,19.32025006936113,17.7685246061002,18.947179288783378,18.947179288783378,20.68108096999391,22.67726524616664,11.91737187449122,0.0,20.392845518542842,25.236640037056247,25.700668495238244,24.42885216689598,19.826598831133797,25.986920676778766,22.741919117496607,22.74489532369082,25.215717050330337
7/8,20.802294647764093,21.071164996249227,17.89963562370425,22.831897978237148,19.004413780528317,13.519759424815186,19.34477415652749,19.34477415652749,18.439769227014963,18.129872509505667,19.66471377775794,20.392845518542842,0.0,25.06131512439496,25.17377000533606,24.946895787078603,18.868366885803717,26.28181793075043,21.79695578285918,21.16205133113363,25.5519752208393
12/4a,21.04604890423119,20.732560172813976,21.888292087194106,21.69689314459034,17.98780282694193,21.58476638611939,24.373051964356524,24.373051964356524,18.580525835384066,24.122637638062912,25.550141135074202,25.236640037056247,25.06131512439496,0.0,14.152951985892985,20.52372368873429,22.803231252987526,15.492210620531067,23.829555528937366,20.864094766009153,21.11339119270818
