,4/4,12/4b,10/4,2/4,5/4,10/8a,3/4,7/4,6/4,6/8b,5/8,7/8,9/4,10/8b,9/8b,6/8a,2/2,9/8a,12/8b,12/8a,12/4a
4/4,0.0,0.5483129932684492,0.8289172350122375,1.0201929387178665,1.4178700995384717,1.4178700995384717,1.4216531219864073,1.439489299715909,1.786739612860265,1.8497696815193003,1.905122603924186,1.9140331719722843,1.9249928903652342,1.9417704750375895,2.0169450868894283,2.047930801631868,2.163046458551929,2.1919454743721456,2.2842340857865793,2.3423521893059123,2.7056095395725723
12/4b,0.5483129932684492,0.0,0.9550719659042621,0.951957999160771,1.3172563758888818,1.3172563758888818,1.3169091086368212,1.3380452884624168,1.7594967771458165,1.5206697852473063,1.7808715866566216,1.7889953181345102,1.8770863635633115,1.7351340159450706,1.7063835791896027,1.947613716467848,1.6955163788072356,2.0885504245770585,2.1108479275585155,2.303614372538376,2.75341855053763
10/4,0.8289172350122375,0.9550719659042621,0.0,1.1167434279086836,1.391695432203269,1.391695432203269,1.4852470931551798,1.532889239433902,1.8154015706047402,1.8984348001894638,1.915507444128023,1.9497215721099515,1.9323984320244518,1.9597586791420138,2.0561754949286266,2.074588274305558,2.2053453711477293,2.203807847893956,2.306224509046091,2.3521467895853263,2.794021785469962
2/4,1.0201929387178665,0.951957999160771,1.1167434279086836,0.0,0.6739648051989073,0.6739648051989073,0.6312282584820126,0.6890774954854918,1.5473001827466577,1.0980242741695145,1.121323130627994,1.1188058205940892,1.5998080201824771,1.17835015868443,1.2956083857188496,1.4441349785244986,1.6378533782120517,1.5964144811653072,1.7631210529584809,2.0938585645313315,2.8627083395954975
5/4,1.4178700995384717,1.3172563758888818,1.391695432203269,0.6739648051989073,0.0,0.0,0.7298369562429987,0.7780327768167175,1.673161009290527,1.1542543710700337,1.0904282987561182,1.1816304258974952,1.6602487436527051,1.1680154457307739,1.3451161819355595,1.4929529974097564,1.6997885190348772,1.6391045685958177,1.802183607914069,2.193590971136464,3.0472142748452593
10/8a,1.4178700995384717,1.3172563758888818,1.391695432203269,0.6739648051989073,0.0,0.0,0.7298369562429987,0.7780327768167175,1.673161009290527,1.1542543710700337,1.0904282987561182,1.1816304258974952,1.6602487436527051,1.1680154457307739,1.3451161819355595,1.4929529974097564,1.6997885190348772,1.6391045685958177,1.802183607914069,2.193590971136464,3.0472142748452593
3/4,1.4216531219864073,1.3169091086368212,1.4852470931551798,0.6312282584820126,0.7298369562429987,0.7298369562429987,0.0,0.7308116776634954,1.2031302338576226,1.1293333998726551,1.1641632481438797,1.1477421102971865,1.2024000454486266,1.2166689754701634,1.2772928514475022,1.137196545741964,1.683821988192816,1.4151253744606784,1.4824940640428335,1.7653030321250838,2.680029278965096
7/4,1.439489299715909,1.3380452884624168,1.532889239433902,0.6890774954854918,0.7780327768167175,0.7780327768167175,0.7308116776634954,0.0,1.6454932959271664,1.1667026919376717,1.180665869946361,1.1362968827819806,1.6417034823733287,1.236971010188669,1.3532393914398693,1.4865941012618302,1.7086959679621525,1.619109391170665,1.797063266561607,2.165050231577975,3.0192688424837955
6/4,1.786739612860265,1.7594967771458165,1.8154015706047402,1.5473001827466577,1.673161009290527,1.673161009290527,1.2031302338576226,1.6454932959271664,0.0,2.005816702518263,2.062146160740305,2.0417248612717884,0.7288771987252652,2.093258924741952,2.0484352653770466,1.3613976767651523,2.340353304325802,1.7990923950738513,1.5502529427874514,0.9196331119617002,1.6437682590375557
6/8b,1.8497696815193003,1.5206697852473063,1.8984348001894638,1.0980242741695145,1.1542543710700337,1.1542543710700337,1.1293333998726551,1.1667026919376717,2.005816702518263,0.0,0.9125176389524758,0.9213670264573424,1.9926748490207737,0.7006506026076037,0.3706577932117919,1.4332189836219147,0.8128874127596674,1.4748256462981932,1.582835514528569,2.312983457902146,3.264136965524224
5/8,1.905122603924186,1.7808715866566216,1.915507444128023,1.121323130627994,1.0904282987561182,1.0904282987561182,1.1641632481438797,1.180665869946361,2.062146160740305,0.9125176389524758,0.0,0.7061444348460202,2.0531726759895306,0.4803252501795074,0.9344747861354861,1.341391716565392,1.5705035761752655,1.3408851330347638,1.6777062818238613,2.3134416454529023,3.3010129061577547
7/8,1.9140331719722843,1.7889953181345102,1.9497215721099515,1.1188058205940892,1.1816304258974952,1.1816304258974952,1.1477421102971865,1.1362968827819806,2.0417248612717884,0.9213670264573424,0.7061444348460202,0.0,2.027160104062571,0.7882158138053957,0.9440868540480021,1.3293419556976644,1.5757071128871165,1.3232410552129716,1.6666407555178042,2.2911152163809185,3.282334507150618
9/4,1.9249928903652342,1.8770863635633115,1.9323984320244518,1.5998080201824771,1.6602487436527051,1.6602487436527051,1.2024000454486266,1.6417034823733287,0.7288771987252652,1.9926748490207737,2.0531726759895306,2.027160104062571,0.0,2.083117021602428,2.037825344336217,1.3764458263522403,2.3415694539757284,1.7418915387110674,1.5677909846527598,1.2012381524236908,2.034552741523128
10/8b,1.9417704750375895,1.7351340159450706,1.9597586791420138,1.17835015868443,1.1680154457307739,1.1680154457307739,1.2166689754701634,1.236971010188669,2.093258924741952,0.7006506026076037,0.4803252501795074,0.7882158138053957,2.083117021602428,0.0,0.7229505915375593,1.3884936064767572,1.3023006658962086,1.3885960919231362,1.5627542864559083,2.3408546159908297,3.3231826870123164
9/8b,2.0169450868894283,1.7063835791896027,2.0561754949286266,1.2956083857188496,1.3451161819355595,1.3451161819355595,1.2772928514475022,1.3532393914398693,2.0484352653770466,0.3706577932117919,0.9344747861354861,0.9440868540480021,2.037825344336217,0.7229505915375593,0.0,1.2707231592897248,0.8893375677278555,1.2775772860961452,1.4098033946668478,2.21330595291891,3.258518277209921
6/8a,2.047930801631868,1.947613716467848,2.074588274305558,1.4441349785244986,1.4929529974097564,1.4929529974097564,1.137196545741964,1.4865941012618302,1.3613976767651523,1.4332189836219147,1.341391716565392,1.3293419556976644,1.3764458263522403,1.3884936064767572,1.2707231592897248,0.0,1.9138468572552882,0.6531835675129632,0.7337870968980365,1.2136540012930694,2.5876143113979415
2/2,2.163046458551929,1.6955163788072356,2.2053453711477293,1.6378533782120517,1.6997885190348772,1.6997885190348772,1.683821988192816,1.7086959679621525,2.340353304325802,0.8128874127596674,1.5705035761752655,1.5757071128871165,2.3415694539757284,1.3023006658962086,0.8893375677278555,1.9138468572552882,0.0,1.9496199656028494,1.895916913911279,2.612695744179464,3.452895893103417
9/8a,2.1919454743721456,2.0885504245770585,2.203807847893956,1.5964144811653072,1.6391045685958177,1.6391045685958177,1.4151253744606784,1.619109391170665,1.7990923950738513,1.4748256462981932,1.3408851330347638,1.3232410552129716,1.7418915387110674,1.3885960919231362,1.2775772860961452,0.6531835675129632,1.9496199656028494,0.0,0.9783940749104721,1.6248474155962926,2.9091110776991416
12/8b,2.2842340857865793,2.1108479275585155,2.306224509046091,1.7631210529584809,1.802183607914069,1.802183607914069,1.4824940640428335,1.797063266561607,1.5502529427874514,1.582835514528569,1.6777062818238613,1.6666407555178042,1.5677909846527598,1.5627542864559083,1.4098033946668478,0.7337870968980365,1.895916913911279,0.9783940749104721,0.0,1.3102881561384903,2.640178292819658
12/8a,2.3423521893059123,2.303614372538376,2.3521467895853263,2.0938585645313315,2.193590971136464,2.193590971136464,1.7653030321250838,2.165050231577975,0.9196331119617002,2.312983457902146,2.3134416454529023,2.2911152163809185,1.2012381524236908,2.3408546159908297,2.21330595291891,1.2136540012930694,2.612695744179464,1.6248474155962926,1.3102881561384903,0.0,1.630027559606045
12/4a,2.7056095395725723,2.75341855053763,2.794021785469962,2.8627083395954975,3.0472142748452593,3.0472142748452593,2.680029278965096,3.0192688424837955,1.6437682590375557,3.264136965524224,3.3010129061577547,3.282334507150618,2.034552741523128,3.3231826870123164,3.258518277209921,2.5876143113979415,3.452895893103417,2.9091110776991416,2.640178292819658,1.630027559606045,0.0
