,4/4,12/4,12/8,6/8,2/4,2/2,6/4,5/8,5/4,3/4,7/4,7/8,9/8,9/4
4/4,0.0,2.8452158594023027,2.8478596462757517,10.09882556838492,13.867272501594194,14.758944744669028,17.203848191445026,18.840907657536764,18.96522532717097,19.025789414239174,19.02756895396654,19.617198666480885,20.799835673161727,23.20817109193452
12/4,2.8452158594023027,0.0,0.32991631665548715,10.998877443417998,14.611271569547242,15.388458750687715,17.750382350553227,18.728645408368997,19.00496592804991,18.59365049508875,19.06944577355495,19.97232467030429,20.169293403514256,22.89398594930307
12/8,2.8478596462757517,0.32991631665548715,0.0,10.992099745245707,14.636135430604945,15.410554138049816,17.76166015303467,18.725596226811852,19.008423243834315,18.564679258388203,19.081869506258233,19.9680064902956,20.168326288452278,22.88352175208641
6/8,10.09882556838492,10.998877443417998,10.992099745245707,0.0,10.13971275857241,11.175397173287385,14.000691269467287,18.465633472375114,18.7019035135322,18.59737646331181,16.729918186357263,16.545412801555663,22.200906515968722,24.277884338153775
2/4,13.867272501594194,14.611271569547242,14.636135430604945,10.13971275857241,0.0,6.117655101037238,12.574070514894393,19.25346412139899,19.544391880626268,17.663877979053556,14.577897233911642,16.66393790471738,21.229471103748796,22.947640748020504
2/2,14.758944744669028,15.388458750687715,15.410554138049816,11.175397173287385,6.117655101037238,0.0,11.830468808650195,18.68090927191611,18.999690714197733,17.322879272374568,14.478418528412993,16.5737133900554,20.944760772189404,23.197418260387032
6/4,17.203848191445026,17.750382350553227,17.76166015303467,14.000691269467287,12.574070514894393,11.830468808650195,0.0,14.661798578546163,14.597001561771465,14.092474392656017,14.593353006572606,14.572082852787966,18.529828351062,20.731845974218086
5/8,18.840907657536764,18.728645408368997,18.725596226811852,18.465633472375114,19.25346412139899,18.68090927191611,14.661798578546163,0.0,3.325739516829195,17.64984969627946,19.00873142021236,21.107103769777254,20.30709960336045,20.882433644442752
5/4,18.96522532717097,19.00496592804991,19.008423243834315,18.7019035135322,19.544391880626268,18.999690714197733,14.597001561771465,3.325739516829195,0.0,17.70891477614467,19.60970227571311,21.403916067099452,20.7179745437681,20.907255561392255
3/4,19.025789414239174,18.59365049508875,18.564679258388203,18.59737646331181,17.663877979053556,17.322879272374568,14.092474392656017,17.64984969627946,17.70891477614467,0.0,19.478741909559176,18.752389993836502,13.17421202906097,17.075835182751227
7/4,19.02756895396654,19.06944577355495,19.081869506258233,16.729918186357263,14.577897233911642,14.478418528412993,14.593353006572606,19.00873142021236,19.60970227571311,19.478741909559176,0.0,14.455586921856675,20.34074260735212,23.396632673545636
7/8,19.617198666480885,19.97232467030429,19.9680064902956,16.545412801555663,16.66393790471738,16.5737133900554,14.572082852787966,21.107103769777254,21.403916067099452,18.752389993836502,14.455586921856675,0.0,20.570145857217177,23.353076220143304
9/8,20.799835673161727,20.169293403514256,20.168326288452278,22.200906515968722,21.229471103748796,20.944760772189404,18.529828351062,20.30709960336045,20.7179745437681,13.17421202906097,20.34074260735212,20.570145857217177,0.0,17.36001376344379
9/4,23.20817109193452,22.89398594930307,22.88352175208641,24.277884338153775,22.947640748020504,23.197418260387032,20.731845974218086,20.882433644442752,20.907255561392255,17.075835182751227,23.396632673545636,23.353076220143304,17.36001376344379,0.0
