No.,Rhythm,Rhythm Binary,Performance Complexity Povel and Essens,Perceptual Complexity Shmulevich and Povel
1,x x x x x . . x x . x . x . . .,1 1 1 1 1 0 0 1 1 0 1 0 1 0 0 0,5,1.56
2,x x x . x . x x x . . x x . . .,1 1 1 0 1 0 1 1 1 0 0 1 1 0 0 0,1,2.12
3,x . x x x . x x x . . x x . . .,1 0 1 1 1 0 1 1 1 0 0 1 1 0 0 0,0,2.08
4,x . x . x x x x x . . x x . . .,1 0 1 0 1 1 1 1 1 0 0 1 1 0 0 0,2,1.88
5,x . . x x . x . x x x x x . . .,1 0 0 1 1 0 1 0 1 1 1 1 1 0 0 0,3,1.8
6,x x x . x x x . x x . . x . . .,1 1 1 0 1 1 1 0 1 1 0 0 1 0 0 0,9,2.44
7,x . x x x x . x x . . x x . . .,1 0 1 1 1 1 0 1 1 0 0 1 1 0 0 0,7,2.2
8,x x . . x x x x x . x . x . . .,1 1 0 0 1 1 1 1 1 0 1 0 1 0 0 0,4,2.56
9,x x . . x . x x x . x x x . . .,1 1 0 0 1 0 1 1 1 0 1 1 1 0 0 0,14,3
10,x . x x x . x x x x . . x . . .,1 0 1 1 1 0 1 1 1 1 0 0 1 0 0 0,18,2.04
11,x x x . x x . . x x . x x . . .,1 1 1 0 1 1 0 0 1 1 0 1 1 0 0 0,19,2.76
12,x x . x x x x . x . . x x . . .,1 1 0 1 1 1 1 0 1 0 0 1 1 0 0 0,15,2.72
13,x x . x x . x x x x . . x . . .,1 1 0 1 1 0 1 1 1 1 0 0 1 0 0 0,13,3
14,x x . . x x . x x . x x x . . .,1 1 0 0 1 1 0 1 1 0 1 1 1 0 0 0,27,3.16
15,x . . x x x . x x x . x x . . .,1 0 0 1 1 1 0 1 1 1 0 1 1 0 0 0,10,2.04
16,x x . x x x x . x x . . x . . .,1 1 0 1 1 1 1 0 1 1 0 0 1 0 0 0,11,2.88
17,x x . x x x . x x x . . x . . .,1 1 0 1 1 1 0 1 1 1 0 0 1 0 0 0,17,2.6
18,x x . x x x . . x x . x x . . .,1 1 0 1 1 1 0 0 1 1 0 1 1 0 0 0,22,2.6
19,x x . . x x . x x x x . x . . .,1 1 0 0 1 1 0 1 1 1 1 0 1 0 0 0,21,2.64
20,x x . . x x . x x x . x x . . .,1 1 0 0 1 1 0 1 1 1 0 1 1 0 0 0,25,3.24
21,x x x x x . x x . x . . x . . .,1 1 1 1 1 0 1 1 0 1 0 0 1 0 0 0,29,3.08
22,x x x x . x . . x x x . x . . .,1 1 1 1 0 1 0 0 1 1 1 0 1 0 0 0,20,3.04
23,x x x . . x x . x x x . x . . .,1 1 1 0 0 1 1 0 1 1 1 0 1 0 0 0,16,3.04
24,x . x x x . . x . x x x x . . .,1 0 1 1 1 0 0 1 0 1 1 1 1 0 0 0,6,2.56
25,x . x . . x x x x . x x x . . .,1 0 1 0 0 1 1 1 1 0 1 1 1 0 0 0,8,2.56
26,x x x x . x . x . . x x x . . .,1 1 1 1 0 1 0 1 0 0 1 1 1 0 0 0,26,2.84
27,x x . x x x . x . . x x x . . .,1 1 0 1 1 1 0 1 0 0 1 1 1 0 0 0,23,3.6
28,x x . x . . x x x . x x x . . .,1 1 0 1 0 0 1 1 1 0 1 1 1 0 0 0,32,2.68
29,x . x x x x . x . . x x x . . .,1 0 1 1 1 1 0 1 0 0 1 1 1 0 0 0,28,3.28
30,x . . x x x x x . x x . x . . .,1 0 0 1 1 1 1 1 0 1 1 0 1 0 0 0,21,3.08
31,x x x x . x x x . . x . x . . .,1 1 1 1 0 1 1 1 0 0 1 0 1 0 0 0,30,3.52
32,x x x x . . x x . x x . x . . .,1 1 1 1 0 0 1 1 0 1 1 0 1 0 0 0,31,3.6
33,x x . x x x x . . x x . x . . .,1 1 0 1 1 1 1 0 0 1 1 0 1 0 0 0,24,3.04
34,x x . x . . x x x x x . x . . .,1 1 0 1 0 0 1 1 1 1 1 0 1 0 0 0,33,2.88
35,x . x . . x x x . x x x x . . .,1 0 1 0 0 1 1 1 0 1 1 1 1 0 0 0,12,3.08
