0, 2/2	16n	16 2 2 2 2	0 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4	15 0 8 4 12 2 10 6 14 1 9 5 13 3 11 7;
1, 2/4	16n	8 2 2 2	0 3 2 3 1 3 2 3	7 0 4 2 6 1 5 3;
2, 3/4	16n	12 3 2 2	0 3 2 3 1 3 2 3 1 3 2 3	11 0 6 3 9 1 7 4 10 2 8 5;
3, 4/4	16n	16 2 2 2 2	0 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4	15 0 8 4 12 2 10 6 14 1 9 5 13 3 11 7;
4, 5/4	16n	20 5 2 2	0 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3	19 0 10 5 15 1 11 6 16 3 13 8 18 2 12 7 17 4 14 9;
5, 6/4	16n	24 2 3 2 2	0 4 3 4 2 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 2 4 3 4	23 0 12 6 18 2 14 8 20 4 16 10 22 1 13 7 19 3 15 9 21 5 17 11;
6, 7/4	16n	28 7 2 2	0 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3	27 0 14 7 21 4 18 11 25 1 15 8 22 5 19 12 26 2 16 9 23 3 17 10 24 6 20 13;
7, 9/4	16n	36 3 3 2 2	0 4 3 4 2 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 2 4 3 4	35 0 18 9 27 3 21 12 30 6 24 15 33 1 19 10 28 4 22 13 31 7 25 16 34 2 20 11 29 5 23 14 32 8 26 17;
8, 12/4	16n	48 2 2 3 2 2	0 5 4 5 3 5 4 5 3 5 4 5 2 5 4 5 3 5 4 5 3 5 4 5 1 5 4 5 3 5 4 5 3 5 4 5 2 5 4 5 3 5 4 5 3 5 4 5	47 0 24 12 36 4 28 16 40 8 32 20 44 2 26 14 38 6 30 18 42 10 34 22 46 1 25 13 37 5 29 17 41 9 33 21 45 3 27 15 39 7 31 19 43 11 35 23;
9, 5/8	16n	10 5 2	0 2 1 2 1 2 1 2 1 2	9 0 5 1 6 3 8 2 7 4;
10, 6/8	16n	12 2 3 2	0 3 2 3 2 3 1 3 2 3 2 3	11 0 6 2 8 4 10 1 7 3 9 5;
11, 7/8	16n	14 7 2	0 2 1 2 1 2 1 2 1 2 1 2 1 2	13 0 7 4 11 1 8 5 12 2 9 3 10 6;
12, 9/8	16n	18 3 3 2	0 3 2 3 2 3 1 3 2 3 2 3 1 3 2 3 2 3	17 0 9 3 12 6 15 1 10 4 13 7 16 2 11 5 14 8;
13, 12/8	16n	24 2 2 3 2	0 4 3 4 3 4 2 4 3 4 3 4 1 4 3 4 3 4 2 4 3 4 3 4	23 0 12 4 16 8 20 2 14 6 18 10 22 1 13 5 17 9 21 3 15 7 19 11;
