Index,Group,Meter,Strat level,Pulses + Prime Factors,Metrical Levels,Indispensability,Weights R=0.5,Weights R=0.3
0,k,2/2,16n,16 2 2 2 2,0 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4,15 0 8 4 12 2 10 6 14 1 9 5 13 3 11 7,1. 0.070312 0.15625 0.101562 0.375 0.085938 0.21875 0.117188 0.75 0.078125 0.1875 0.109375 0.5 0.09375 0.25 0.125,1. 0.010463 0.04275 0.019913 0.195 0.015188 0.07425 0.024638 0.65 0.012825 0.0585 0.022275 0.3 0.01755 0.09 0.027
1,k,2/4,16n,8 2 2 2,0 3 2 3 1 3 2 3,7 0 4 2 6 1 5 3,1. 0.15625 0.375 0.21875 0.75 0.1875 0.5 0.25,1. 0.04275 0.195 0.07425 0.65 0.0585 0.3 0.09
2,k,3/4,16n,12 3 2 2,0 3 2 3 1 3 2 3 1 3 2 3,11 0 6 3 9 1 7 4 10 2 8 5,1. 0.145833 0.333333 0.208333 0.666667 0.166667 0.416667 0.229167 0.833333 0.1875 0.5 0.25,1. 0.0375 0.16 0.069 0.533333 0.048 0.23 0.0795 0.766667 0.0585 0.3 0.09
3,k,4/4,16n,16 2 2 2 2,0 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4,15 0 8 4 12 2 10 6 14 1 9 5 13 3 11 7,1. 0.070312 0.15625 0.101562 0.375 0.085938 0.21875 0.117188 0.75 0.078125 0.1875 0.109375 0.5 0.09375 0.25 0.125,1. 0.010463 0.04275 0.019913 0.195 0.015188 0.07425 0.024638 0.65 0.012825 0.0585 0.022275 0.3 0.01755 0.09 0.027
4,c,5/4,16n,20 5 2 2,0 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3,19 0 10 5 15 1 11 6 16 3 13 8 18 2 12 7 17 4 14 9,1. 0.1375 0.3 0.2 0.6 0.15 0.35 0.2125 0.7 0.175 0.45 0.2375 0.9 0.1625 0.4 0.225 0.8 0.1875 0.5 0.25,1. 0.0333 0.132 0.0648 0.44 0.0396 0.174 0.0711 0.58 0.0522 0.258 0.0837 0.86 0.0459 0.216 0.0774 0.72 0.0585 0.3 0.09
5,m,6/4,16n,24 2 3 2 2,0 4 3 4 2 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 2 4 3 4,23 0 12 6 18 2 14 8 20 4 16 10 22 1 13 7 19 3 15 9 21 5 17 11,1. 0.067708 0.145833 0.098958 0.3125 0.078125 0.1875 0.109375 0.4375 0.088542 0.229167 0.119792 0.75 0.072917 0.166667 0.104167 0.375 0.083333 0.208333 0.114583 0.5 0.09375 0.25 0.125,1. 0.009675 0.0375 0.019125 0.1425 0.012825 0.0585 0.022275 0.2475 0.015975 0.0795 0.025425 0.65 0.01125 0.048 0.0207 0.195 0.0144 0.069 0.02385 0.3 0.01755 0.09 0.027
6,c,7/4,16n,28 7 2 2,0 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3 1 3 2 3,27 0 14 7 21 4 18 11 25 1 15 8 22 5 19 12 26 2 16 9 23 3 17 10 24 6 20 13,1. 0.133929 0.285714 0.196429 0.571429 0.169643 0.428571 0.232143 0.857143 0.142857 0.321429 0.205357 0.642857 0.178571 0.464286 0.241071 0.928571 0.151786 0.357143 0.214286 0.714286 0.160714 0.392857 0.223214 0.785714 0.1875 0.5 0.25,1. 0.0315 0.12 0.063 0.4 0.0495 0.24 0.081 0.8 0.036 0.15 0.0675 0.5 0.054 0.27 0.0855 0.9 0.0405 0.18 0.072 0.6 0.045 0.21 0.0765 0.7 0.0585 0.3 0.09
7,m,9/4,16n,36 3 3 2 2,0 4 3 4 2 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 2 4 3 4 1 4 3 4 2 4 3 4 2 4 3 4,35 0 18 9 27 3 21 12 30 6 24 15 33 1 19 10 28 4 22 13 31 7 25 16 34 2 20 11 29 5 23 14 32 8 26 17,1. 0.065972 0.138889 0.097222 0.291667 0.076389 0.180556 0.107639 0.416667 0.086806 0.222222 0.118056 0.666667 0.069444 0.152778 0.100694 0.333333 0.079861 0.194444 0.111111 0.458333 0.090278 0.236111 0.121528 0.833333 0.072917 0.166667 0.104167 0.375 0.083333 0.208333 0.114583 0.5 0.09375 0.25 0.125,1. 0.00915 0.034 0.0186 0.125 0.0123 0.055 0.02175 0.23 0.01545 0.076 0.0249 0.533333 0.0102 0.041 0.01965 0.16 0.01335 0.062 0.0228 0.265 0.0165 0.083 0.02595 0.766667 0.01125 0.048 0.0207 0.195 0.0144 0.069 0.02385 0.3 0.01755 0.09 0.027
8,m,12/4,16n,48 2 2 3 2 2,0 5 4 5 3 5 4 5 3 5 4 5 2 5 4 5 3 5 4 5 3 5 4 5 1 5 4 5 3 5 4 5 3 5 4 5 2 5 4 5 3 5 4 5 3 5 4 5,47 0 24 12 36 4 28 16 40 8 32 20 44 2 26 14 38 6 30 18 42 10 34 22 46 1 25 13 37 5 29 17 41 9 33 21 45 3 27 15 39 7 31 19 43 11 35 23,1. 0.032552 0.067708 0.048177 0.140625 0.03776 0.088542 0.053385 0.203125 0.042969 0.109375 0.058594 0.375 0.035156 0.078125 0.050781 0.171875 0.040365 0.098958 0.05599 0.234375 0.045573 0.119792 0.061198 0.75 0.033854 0.072917 0.049479 0.15625 0.039062 0.09375 0.054688 0.21875 0.044271 0.114583 0.059896 0.5 0.036458 0.083333 0.052083 0.1875 0.041667 0.104167 0.057292 0.25 0.046875 0.125 0.0625,1. 0.002666 0.009675 0.005501 0.034875 0.003611 0.015975 0.006446 0.066375 0.004556 0.022275 0.007391 0.195 0.003139 0.012825 0.005974 0.050625 0.004084 0.019125 0.006919 0.082125 0.005029 0.025425 0.007864 0.65 0.002903 0.01125 0.005738 0.04275 0.003848 0.01755 0.006683 0.07425 0.004793 0.02385 0.007628 0.3 0.003375 0.0144 0.00621 0.0585 0.00432 0.0207 0.007155 0.09 0.005265 0.027 0.0081
9,c,5/8,16n,10 5 2,0 2 1 2 1 2 1 2 1 2,9 0 5 1 6 3 8 2 7 4,1. 0.3 0.6 0.35 0.7 0.45 0.9 0.4 0.8 0.5,1. 0.132 0.44 0.174 0.58 0.258 0.86 0.216 0.72 0.3
