Index,Group,Meter,Strat level,Pulses + Prime Factors,Metrical Levels,Indispensability,Weights R=0.5,Weights R=0.3
0,r,c1,16n,16,,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1,g,c2,16n,16,,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
2,b,c3,16n,15,,1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 ,1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 ,1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 
3,g,c4,16n,16,,1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0
4,b,c5,16n,15,,1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 ,1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 ,1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 
5,g,c6,16n,18,,1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0,1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0,1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
6,b,c7,16n,14,,1 0 0 0 0 0 0 1 0 0 0 0 0 0 ,1 0 0 0 0 0 0 1 0 0 0 0 0 0 ,1 0 0 0 0 0 0 1 0 0 0 0 0 0 
7,g,c8,16n,16,,1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
8,b,c9,16n,18,,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 ,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 ,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
9,g,c10,16n,20,,1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
10,g,c12,16n,24,,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
11,g,c14,16n,28,,1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
12,r,c16,16n,32,,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
13,r,bc1,1-24,24,,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14,g,bc2,1-24,24,,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0,1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0
