,2/2,4/4,2/4,6/8,12/4,9/8,12/8,9/4,3/4,5/4,7/8,5/8,6/4,7/4
2/2,0.0,0.0,0.6843871413472937,16.353206557271825,17.298453082751973,18.71223031977708,18.973703499189217,23.073251396666382,28.432970106639296,66.541033086484,68.64601333328093,70.25375713547841,96.88655103907695,99.03911692077037
4/4,0.0,0.0,0.6843871413472937,16.353206557271825,17.298453082751973,18.71223031977708,18.973703499189217,23.073251396666382,28.432970106639296,66.541033086484,68.64601333328093,70.25375713547841,96.88655103907695,99.03911692077037
2/4,0.6843871413472937,0.6843871413472937,0.0,16.427084826636968,17.279784262109146,18.71087920861897,19.060476964587757,23.226953296490688,28.523456686478596,66.57169606220324,68.65400061028147,70.24950251718998,96.91181123058229,99.01026284366174
6/8,16.353206557271825,16.353206557271825,16.427084826636968,0.0,17.749168896501704,13.781546657620135,9.848711697143274,14.634067190198394,19.138310024481502,63.33983271086332,71.98160790976422,70.91986401896361,95.98675297980469,100.29627274830392
12/4,17.298453082751973,17.298453082751973,17.279784262109146,17.749168896501704,0.0,23.97073776295571,19.65724461729065,23.16025617402624,27.24092276646472,66.46745684851636,71.40740173773544,71.75552553342835,95.59612015217786,100.7357551333643
9/8,18.71223031977708,18.71223031977708,18.71087920861897,13.781546657620135,23.97073776295571,0.0,18.041858689039085,25.12976932804655,23.819892269157673,63.19952163891531,71.87584422485757,72.7396298522928,96.7674041621568,99.72744672757608
12/8,18.973703499189217,18.973703499189217,19.060476964587757,9.848711697143274,19.65724461729065,18.041858689039085,0.0,17.384010904699835,21.51842978442242,64.63988519720724,71.84254119872848,73.33173786365381,96.20724587232432,101.06602503353285
9/4,23.073251396666382,23.073251396666382,23.226953296490688,14.634067190198394,23.16025617402624,25.12976932804655,17.384010904699835,0.0,20.59193140664261,64.84921498919671,73.24001522798375,72.89617995641822,96.07111056099109,103.28520803712327
3/4,28.432970106639296,28.432970106639296,28.523456686478596,19.138310024481502,27.24092276646472,23.819892269157673,21.51842978442242,20.59193140664261,0.0,52.95788154685906,75.90720737924106,68.12123674913505,93.7224930852163,105.34600276491938
5/4,66.541033086484,66.541033086484,66.57169606220324,63.33983271086332,66.46745684851636,63.19952163891531,64.63988519720724,64.84921498919671,52.95788154685906,0.0,115.16689450201777,54.36141438006295,80.21937409290334,143.98772718516446
7/8,68.64601333328093,68.64601333328093,68.65400061028147,71.98160790976422,71.40740173773544,71.87584422485757,71.84254119872848,73.24001522798375,75.90720737924106,115.16689450201777,0.0,129.38364874301067,159.2832013384732,50.56370389610529
5/8,70.25375713547841,70.25375713547841,70.24950251718998,70.91986401896361,71.75552553342835,72.7396298522928,73.33173786365381,72.89617995641822,68.12123674913505,54.36141438006295,129.38364874301067,0.0,68.82063600238402,156.57800517921632
6/4,96.88655103907695,96.88655103907695,96.91181123058229,95.98675297980469,95.59612015217786,96.7674041621568,96.20724587232432,96.07111056099109,93.7224930852163,80.21937409290334,159.2832013384732,68.82063600238402,0.0,192.55707451717177
7/4,99.03911692077037,99.03911692077037,99.01026284366174,100.29627274830392,100.7357551333643,99.72744672757608,101.06602503353285,103.28520803712327,105.34600276491938,143.98772718516446,50.56370389610529,156.57800517921632,192.55707451717177,0.0
