,2/2,4/4,2/4,c4,3/4,5/4,7/4,c8,6/4,c1,c2,5/8,7/8,9/4,6/8,9/8,12/8,c3,12/4,c6,c5,c16,c7,c12,c10,c9,c14
2/2,0.0,0.0,0.5713625498910355,0.7487936309057044,0.7808585109320324,0.7908579820928363,0.793012258147808,0.8680149559175657,0.9793272886944041,1.014468479783025,1.014468479783025,1.0340631848071955,1.0353574208397751,1.073629668142576,1.1076367221212904,1.1797742588723776,1.2802040909958925,1.4114315069764412,1.5239735416949591,1.7201513242621425,1.7211618158789828,1.899913016838256,1.9753537005003214,2.1084477335637737,2.216275029798686,2.219355407888365,2.6106080129481497
4/4,0.0,0.0,0.5713625498910355,0.7487936309057044,0.7808585109320324,0.7908579820928363,0.793012258147808,0.8680149559175657,0.9793272886944041,1.014468479783025,1.014468479783025,1.0340631848071955,1.0353574208397751,1.073629668142576,1.1076367221212904,1.1797742588723776,1.2802040909958925,1.4114315069764412,1.5239735416949591,1.7201513242621425,1.7211618158789828,1.899913016838256,1.9753537005003214,2.1084477335637737,2.216275029798686,2.219355407888365,2.6106080129481497
2/4,0.5713625498910355,0.5713625498910355,0.0,0.562734398147889,0.3278551527953735,0.35062914006168744,0.3566170839176929,1.3073913125452439,0.8422062190824534,0.5257394130651457,0.5257394130651457,0.5687515443763678,0.5701151230850959,0.8750964606892008,0.743087832623007,0.8137409931192062,1.1269124438945834,1.1237824769498568,1.6136071788100435,1.4977175486956547,1.4988585125331737,2.389408304187205,1.7907311473598866,2.063015472803755,2.049263002527252,2.0591218031826304,2.4805172822571238
c4,0.7487936309057044,0.7487936309057044,0.562734398147889,0.0,0.5786121950695781,0.5923524086130485,0.598032738894366,1.4142135623730951,0.8892996439540389,1.0,1.0,1.0234641364243533,1.0222816614244599,0.889204868285702,1.07416059618284,1.1769529636693625,1.285580021628669,1.4090291046251149,1.65097119916055,1.7253243712550144,1.7221998396470346,2.449489742783178,1.9802114713553232,1.9883380930045633,2.2188007849009166,2.2262044958564564,2.6200887131669544
3/4,0.7808585109320324,0.7808585109320324,0.3278551527953735,0.5786121950695781,0.0,0.3482017305426329,0.3567185381349066,1.523699348862208,0.6390281719327301,0.5411042389377494,0.5411042389377494,0.5729916088717013,0.5775099745284954,0.6385119693339508,0.5673312421773511,0.7042037034979899,0.9246458469814107,1.028385285736177,1.4887604469537363,1.3514111467723808,1.4854682163536783,2.5103014036328375,1.7740063657828178,1.8159956655955014,2.0240147447223555,1.999216284604241,2.45560775851362
5/4,0.7908579820928363,0.7908579820928363,0.35062914006168744,0.5923524086130485,0.3482017305426329,0.0,0.37732880591959905,1.531677149240665,0.8642078005216504,0.5524848344170975,0.5524848344170975,0.5215003231176772,0.5852483043836048,0.8504890852576493,0.7369892075803461,0.8005386696379058,1.1377645916950603,1.117635180980993,1.648587715676394,1.4810200781242244,1.381338681428677,2.5107825770162453,1.7735984311795583,2.036453378951739,1.8647816471204732,2.028571582361388,2.454988291509999
7/4,0.793012258147808,0.793012258147808,0.3566170839176929,0.598032738894366,0.3567185381349066,0.37732880591959905,0.0,1.5294049088206862,0.8666512467689604,0.5578057911536867,0.5578057911536867,0.5878618572430745,0.5527134941520594,0.8639303179444312,0.7422473701266755,0.8120146588472341,1.139675432255324,1.12166555373385,1.6509357310260633,1.4847925276607816,1.4894889526311985,2.5136618793630965,1.6763729097992153,2.0385146390922295,2.0297044341758186,2.0393303168261787,2.311287290320047
c8,0.8680149559175657,0.8680149559175657,1.3073913125452439,1.4142135623730951,1.523699348862208,1.531677149240665,1.5294049088206862,0.0,1.5172427005348845,1.7320508075688772,1.7320508075688772,1.743569536129644,1.7438928972480268,1.654000426290441,1.7676827799324082,1.8318304049988523,1.7614289935506746,1.9880347076139728,1.7661364680496185,2.2160701277379324,2.2197155980494347,2.0,2.4188039288373004,2.4208397543577864,2.631174057921088,2.624082890987822,2.9591817714964317
6/4,0.9793272886944041,0.9793272886944041,0.8422062190824534,0.8892996439540389,0.6390281719327301,0.8642078005216504,0.8666512467689604,1.5172427005348845,0.0,1.0807258406403695,1.0807258406403695,1.081466844281392,1.0813346887088815,0.39968556162363067,0.7358317833287117,0.9382226669709148,0.47861793700640326,1.157299196068388,0.9178152456875875,1.2409496463860505,1.7050577036201262,2.501920189995918,1.938486364329788,1.2689462382606684,2.1607708834276753,2.036066173284747,2.539416366753282
c1,1.014468479783025,1.014468479783025,0.5257394130651457,1.0,0.5411042389377494,0.5524848344170975,0.5578057911536867,1.7320508075688772,1.0807258406403695,0.0,0.0,0.22108807311395806,0.23035179007344966,1.0724052774225061,0.6299130617273755,0.6284309028163497,1.211834996535368,0.9985283792228454,1.8306739106385947,1.4059673488550548,1.4090385954289637,2.6457513110645907,1.7203079548323494,2.225643361388572,1.9806758753205744,1.9977672979278005,2.4328828411822303
