,2/2,4/4,c8,c4,c2,c1,c16,2/4,6/8,c12,c3,12/4,12/8,6/4,5/8,c6,9/8,c9,c10,c5,c14,9/4,c7,7/4,3/4,7/8,5/4
2/2,0.0,0.0,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.6843871413472937,16.353206557271825,16.589661368415243,16.713855198491018,17.298453082751973,17.850828662621215,18.401404183515773,18.46107393830861,18.578506662781944,18.594701189755288,19.219824339506154,19.70644226936862,19.815889203039955,19.86751339168723,19.978995049958215,20.179666999028427,25.265820088582135,28.432970106639296,34.010535245597595,35.1561443320996
4/4,0.0,0.0,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.6843871413472937,16.353206557271825,16.589661368415243,16.713855198491018,17.298453082751973,17.850828662621215,18.401404183515773,18.46107393830861,18.578506662781944,18.594701189755288,19.219824339506154,19.70644226936862,19.815889203039955,19.86751339168723,19.978995049958215,20.179666999028427,25.265820088582135,28.432970106639296,34.010535245597595,35.1561443320996
c8,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,0.0,0.0,0.42247283489375725,16.443057672920688,16.688555934928594,16.738726381615233,17.274858561808653,17.931504801074638,18.50200164121698,18.457004285366466,18.63718150838853,18.603997672383628,19.21418459441485,19.683490606496733,19.78897525928905,19.87693641336885,19.934063089033614,20.17091388554113,25.347988238011173,28.523596276963243,34.0630603144222,35.14326771784524
c4,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,0.0,0.0,0.42247283489375725,16.443057672920688,16.688555934928594,16.738726381615233,17.274858561808653,17.931504801074638,18.50200164121698,18.457004285366466,18.63718150838853,18.603997672383628,19.21418459441485,19.683490606496733,19.78897525928905,19.87693641336885,19.934063089033614,20.17091388554113,25.347988238011173,28.523596276963243,34.0630603144222,35.14326771784524
c2,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,0.0,0.0,0.42247283489375725,16.443057672920688,16.688555934928594,16.738726381615233,17.274858561808653,17.931504801074638,18.50200164121698,18.457004285366466,18.63718150838853,18.603997672383628,19.21418459441485,19.683490606496733,19.78897525928905,19.87693641336885,19.934063089033614,20.17091388554113,25.347988238011173,28.523596276963243,34.0630603144222,35.14326771784524
c1,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,0.0,0.0,0.42247283489375725,16.443057672920688,16.688555934928594,16.738726381615233,17.274858561808653,17.931504801074638,18.50200164121698,18.457004285366466,18.63718150838853,18.603997672383628,19.21418459441485,19.683490606496733,19.78897525928905,19.87693641336885,19.934063089033614,20.17091388554113,25.347988238011173,28.523596276963243,34.0630603144222,35.14326771784524
c16,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,0.0,0.0,0.42247283489375725,16.443057672920688,16.688555934928594,16.738726381615233,17.274858561808653,17.931504801074638,18.50200164121698,18.457004285366466,18.63718150838853,18.603997672383628,19.21418459441485,19.683490606496733,19.78897525928905,19.87693641336885,19.934063089033614,20.17091388554113,25.347988238011173,28.523596276963243,34.0630603144222,35.14326771784524
2/4,0.6843871413472937,0.6843871413472937,0.42247283489375725,0.42247283489375725,0.42247283489375725,0.42247283489375725,0.42247283489375725,0.0,16.427084826636968,16.69390255421013,16.71166713629612,17.279784262109146,17.94303323255838,18.50578478805124,18.477226060803872,18.617480552722668,18.593341538180585,19.21882860437837,19.688023916895983,19.811590330682883,19.881425614812727,19.937734219401737,20.179980264520697,25.34666740515811,28.523456686478596,34.057016770868444,35.18845094481881
6/8,16.353206557271825,16.353206557271825,16.443057672920688,16.443057672920688,16.443057672920688,16.443057672920688,16.443057672920688,16.427084826636968,0.0,5.8070384362021255,18.784284473758003,17.749168896501704,12.524315356422848,14.09983663424629,21.092569834596933,10.528083137635672,14.959413871831158,22.822836755632053,23.798733263906684,28.052635833360025,30.51345852082349,17.304401555270093,30.63888847172826,25.62511733122233,19.138310024481502,36.06434781931511,35.55850362997119
c12,16.589661368415243,16.589661368415243,16.688555934928594,16.688555934928594,16.688555934928594,16.688555934928594,16.688555934928594,16.69390255421013,5.8070384362021255,0.0,20.48020777421953,17.744975132146173,12.51282266534468,13.447276588709425,21.699889331682517,14.4253452291444,16.46878755693057,23.509526717077993,23.592604569938164,27.50120482718456,28.79317227558482,17.09199415971986,28.856953678932314,25.077354427586794,16.949559310352193,34.021245085667665,34.384636601189634
c3,16.713855198491018,16.713855198491018,16.738726381615233,16.738726381615233,16.738726381615233,16.738726381615233,16.738726381615233,16.71166713629612,18.784284473758003,20.48020777421953,0.0,22.610055528103516,21.599640050393543,22.508173060087884,23.64756809627998,20.42035224833365,21.41791435227951,16.738726381615237,25.594823541534836,31.728530519252132,28.854365045899932,23.985603366378804,29.38190629258264,28.49227524949842,29.270809188141307,42.709933591496714,38.96976251498342
12/4,17.298453082751973,17.298453082751973,17.274858561808653,17.274858561808653,17.274858561808653,17.274858561808653,17.274858561808653,17.279784262109146,17.749168896501704,17.744975132146173,22.610055528103516,0.0,14.2321979164725,11.238987135435892,24.402031991131086,21.433103355061352,24.246145903897418,25.119790541382994,24.908703127599704,27.258952803723812,27.568922733226202,20.24135471340572,27.839941826150245,27.69901165497887,27.24092276646472,37.53756644426048,35.95347786062469
12/8,17.850828662621215,17.850828662621215,17.931504801074638,17.931504801074638,17.931504801074638,17.931504801074638,17.931504801074638,17.94303323255838,12.524315356422848,12.51282266534468,21.599640050393543,14.2321979164725,0.0,9.637393043132661,25.55795116789392,17.619181300923326,20.705711544837758,24.906474248166017,26.896909719993904,29.24615296504214,30.068494311133097,20.060721408527883,30.17492780777424,24.828645223407875,22.957099465957935,37.173356518992804,36.915252557914904
6/4,18.401404183515773,18.401404183515773,18.50200164121698,18.50200164121698,18.50200164121698,18.50200164121698,18.50200164121698,18.50578478805124,14.09983663424629,13.447276588709425,22.508173060087884,11.238987135435892,9.637393043132661,0.0,24.89383483838249,19.426713822445752,23.000457607124755,25.524025086082233,26.37705327954314,28.678815123714852,28.926860860298632,21.32478376973932,29.268533991360442,24.761561058104085,22.898955162697447,36.50422715655989,36.204678305421304
5/8,18.46107393830861,18.46107393830861,18.457004285366466,18.457004285366466,18.457004285366466,18.457004285366466,18.457004285366466,18.477226060803872,21.092569834596933,21.699889331682517,23.64756809627998,24.402031991131086,25.55795116789392,24.89383483838249,0.0,21.96947311156521,24.530438325091687,23.6249386633355,14.474775251288722,22.846127937994932,27.10116630635744,25.672642935938065,28.11021559062483,29.55751784145341,29.156415720450376,37.83840210519596,30.85212169450442
c6,18.578506662781944,18.578506662781944,18.63718150838853,18.63718150838853,18.63718150838853,18.63718150838853,18.63718150838853,18.617480552722668,10.528083137635672,14.4253452291444,20.42035224833365,21.433103355061352,17.619181300923326,19.426713822445752,21.96947311156521,0.0,14.821969685768602,24.93059329106275,23.951424922399063,30.337116052808682,33.09028661041089,21.495676523734478,33.247129157389494,27.72584539043654,24.51779475602692,38.73330130886836,34.30162867422132
9/8,18.594701189755288,18.594701189755288,18.603997672383628,18.603997672383628,18.603997672383628,18.603997672383628,18.603997672383628,18.593341538180585,14.959413871831158,16.46878755693057,21.41791435227951,24.246145903897418,20.705711544837758,23.000457607124755,24.530438325091687,14.821969685768602,0.0,23.538955427190558,26.612287277197513,29.625766966020596,32.52758927465076,21.70201885681352,32.35514061111361,29.510552349524016,24.481799478143923,37.222109712419005,36.584387410995475
c9,19.219824339506154,19.219824339506154,19.21418459441485,19.21418459441485,19.21418459441485,19.21418459441485,19.21418459441485,19.21882860437837,22.822836755632053,23.509526717077993,16.738726381615237,25.119790541382994,24.906474248166017,25.524025086082233,23.6249386633355,24.93059329106275,23.538955427190558,0.0,27.07737767273091,28.8824101171302,28.099258924162903,25.504555301258357,28.778021211497816,30.59775840861438,30.129349687436587,42.133524920864495,38.66598607978914
