Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,bc12,bc24,bc48,bc4,bc8,bc16
2/2,0.0,0.9816719338482303,135.41324668817214,9.902279314226272,13.963206745795393,6.403063821310861,128.55048724370604,237.1492343267748,10.69945424775465,13.974978003832206,6.419258952444759,44.93588516262642,237.10153083377,10.702283182497291,17.264174578147514,11.099532927789499,8.833929724963541,17.123362155032957,17.123362155032957,17.123362155032957
2/4,0.9816719338482303,0.0,135.2661459419567,9.891206149307884,13.957798367904088,6.37917566937267,128.3969426692691,236.97890316381574,10.691070494057708,13.968639800234874,6.395661325812598,44.94977756595464,236.93117045556505,10.693907149679662,17.256390552873274,11.085931087833938,8.818938113069509,17.120437965037727,17.120437965037727,17.120437965037727
3/4,135.41324668817214,135.2661459419567,0.0,135.98459944697788,135.80295575940647,134.93206012232474,135.30491272188618,116.42582987041483,135.9790815893919,135.83287480714105,134.9867942996034,142.14209288935757,116.39711839650614,135.99697821952037,134.40966562758052,135.2542797603604,135.63483732608427,136.31348574006878,136.31348574006878,136.31348574006878
4/4,9.902279314226272,9.891206149307884,135.98459944697788,0.0,16.408369836920212,9.193280570097627,129.33078444750072,238.25991108778035,1.644681145092648,16.3932076874623,9.19434166453007,43.719101754407966,238.21245862508997,1.6491036802046521,21.636796941696215,13.71347694657254,9.833053939001935,18.50991098593475,18.50991098593475,18.50991098593475
5/4,13.963206745795393,13.957798367904088,135.80295575940647,16.408369836920212,0.0,14.322829817394481,128.81948835135762,237.7385711565837,16.951955392066036,1.362698728389227,14.325733683390066,43.277221216616695,237.69079095668545,16.953235336762962,19.560502042850658,13.716682743175546,15.414451389001199,16.881116206100554,16.881116206100554,16.881116206100554
6/4,6.403063821310861,6.37917566937267,134.93206012232474,9.193280570097627,14.322829817394481,0.0,128.01029777118785,237.2868941137295,9.492716152776456,14.283062507618181,0.17943368156025197,41.04724958411214,237.23904295878887,9.493489174884724,18.584736198690763,10.087619562709659,5.807854381053894,16.19716226031538,16.19716226031538,16.19716226031538
7/4,128.55048724370604,128.3969426692691,135.30491272188618,129.33078444750072,128.81948835135762,128.01029777118785,0.0,177.10177123239885,129.22915309745662,128.77133175109674,128.02491843251704,131.26742831308334,177.03802186055907,129.23226812324705,126.93418584574793,129.0476036342934,128.43784117333817,127.92368783359522,127.92368783359522,127.92368783359522
9/4,237.1492343267748,236.97890316381574,116.42582987041483,238.25991108778035,237.7385711565837,237.2868941137295,177.10177123239885,0.0,238.28482236007662,237.78793470475412,237.33709295897398,244.74311574290644,0.2001756656984068,238.30034656753298,234.62942275674976,237.86385677131855,237.8344067415258,238.13908922807133,238.13908922807133,238.13908922807133
12/4,10.69945424775465,10.691070494057708,135.9790815893919,1.644681145092648,16.951955392066036,9.492716152776456,129.22915309745662,238.28482236007662,0.0,16.929064516170087,9.491788546242045,43.432413144223695,238.23727815693536,0.05704803180007531,21.776159451283764,14.239429539341199,10.003599046425624,18.621048625853284,18.621048625853284,18.621048625853284
5/8,13.974978003832206,13.968639800234874,135.83287480714105,16.3932076874623,1.362698728389227,14.283062507618181,128.77133175109674,237.78793470475412,16.929064516170087,0.0,14.2818757524909,43.29333165881707,237.740025579624,16.929030506389626,19.512739497327257,13.631479482247123,15.385091474901706,16.864219397332974,16.864219397332974,16.864219397332974
