,bc12,bc16,bc4,bc8,2/4,2/2,6/8,6/4,3/4,9/8,9/4,4/4,5/8,5/4,bc24,bc48,7/8,7/4,12/8,12/4
bc12,0.0,16.688555934928594,16.688555934928594,16.688555934928594,17.256390552873274,17.264174578147514,18.58334321193376,18.584736198690763,18.976483274721954,19.152938618528136,19.155104687511,19.477864685334172,19.512739497327257,19.560502042850658,20.116008064341784,20.352271610516084,20.480863226664408,20.54766342497029,21.776635123760855,21.7767849927804
bc16,16.688555934928594,0.0,0.0,0.0,17.120437965037727,17.123362155032957,16.195369411495964,16.19716226031538,18.441503713272436,17.072239322332894,17.07614878442352,17.83270770573841,16.864219397332974,16.881116206100554,18.343713502168537,16.474650862156608,19.574818470918142,19.639320663359058,17.80883910546684,17.809039359189892
bc4,16.688555934928594,0.0,0.0,0.0,17.120437965037727,17.123362155032957,16.195369411495964,16.19716226031538,18.441503713272436,17.072239322332894,17.07614878442352,17.83270770573841,16.864219397332974,16.881116206100554,18.343713502168537,16.474650862156608,19.574818470918142,19.639320663359058,17.80883910546684,17.809039359189892
bc8,16.688555934928594,0.0,0.0,0.0,17.120437965037727,17.123362155032957,16.195369411495964,16.19716226031538,18.441503713272436,17.072239322332894,17.07614878442352,17.83270770573841,16.864219397332974,16.881116206100554,18.343713502168537,16.474650862156608,19.574818470918142,19.639320663359058,17.80883910546684,17.809039359189892
2/4,17.256390552873274,17.120437965037727,17.120437965037727,17.120437965037727,0.0,0.9816719338482303,6.395661325812598,6.37917566937267,16.78539969070689,16.138462993094404,16.13632104891534,12.245661643465748,13.968639800234874,13.957798367904088,11.085931087833938,8.818938113069509,16.36306345389738,16.455206817581992,15.783967050026083,15.782122759050464
2/2,17.264174578147514,17.123362155032957,17.123362155032957,17.123362155032957,0.9816719338482303,0.0,6.419258952444759,6.403063821310861,16.754782826944428,16.09718840529633,16.095115735745466,12.262429079719205,13.974978003832206,13.963206745795393,11.099532927789499,8.833929724963541,16.424598790861626,16.52334500958803,15.794776561009764,15.79293725866541
6/8,18.58334321193376,16.195369411495964,16.195369411495964,16.195369411495964,6.395661325812598,6.419258952444759,0.0,0.17943368156025197,16.067330323462215,14.89091630905358,14.892934539049765,11.28344039508639,14.2818757524909,14.325733683390066,10.085427743490046,5.805562093086122,16.518507312878985,16.59726391809414,14.11464520299275,14.114822531879518
6/4,18.584736198690763,16.19716226031538,16.19716226031538,16.19716226031538,6.37917566937267,6.403063821310861,0.17943368156025197,0.0,16.07069673664522,14.892395850511972,14.892948876552977,11.282811674395193,14.283062507618181,14.322829817394481,10.087619562709659,5.807854381053894,16.5195260249062,16.596165755682783,14.116202942456754,14.115769675035166
3/4,18.976483274721954,18.441503713272436,18.441503713272436,18.441503713272436,16.78539969070689,16.754782826944428,16.067330323462215,16.07069673664522,0.0,9.578912003015876,9.580027917893737,16.70573267231576,16.23555057577915,16.147189427096983,16.4936823061671,17.98096315247232,18.882717758438968,19.02982227145539,19.907667207721715,19.908149675302838
9/8,19.152938618528136,17.072239322332894,17.072239322332894,17.072239322332894,16.138462993094404,16.09718840529633,14.89091630905358,14.892395850511972,9.578912003015876,0.0,0.200175665698408,18.42366258351994,15.621588067027751,15.653681702102704,15.395953383634682,17.1622779606266,17.141362254184585,17.266593381186848,20.787125834213324,20.787260867929742
9/4,19.155104687511,17.07614878442352,17.07614878442352,17.07614878442352,16.13632104891534,16.095115735745466,14.892934539049765,14.892948876552977,9.580027917893737,0.200175665698408,0.0,18.42306882095588,15.624532000066752,15.654511130121422,15.397169582986056,17.164443918819554,17.142742529157847,17.267564185501048,20.79267975673984,20.792464477536758
4/4,19.477864685334172,17.83270770573841,17.83270770573841,17.83270770573841,12.245661643465748,12.262429079719205,11.28344039508639,11.282811674395193,16.70573267231576,18.42366258351994,18.42306882095588,0.0,16.393690096262397,16.410347637831,16.037747696780855,11.458413310093674,17.620692566203356,17.657037815202585,11.75198360527316,11.75139858981556
5/8,19.512739497327257,16.864219397332974,16.864219397332974,16.864219397332974,13.968639800234874,13.974978003832206,14.2818757524909,14.283062507618181,16.23555057577915,15.621588067027751,15.624532000066752,16.393690096262397,0.0,1.362698728389227,13.631479482247123,15.385091474901706,17.028098768411212,17.098040149791597,17.41934447086152,17.419447696853094
5/4,19.560502042850658,16.881116206100554,16.881116206100554,16.881116206100554,13.957798367904088,13.963206745795393,14.325733683390066,14.322829817394481,16.147189427096983,15.653681702102704,15.654511130121422,16.410347637831,1.362698728389227,0.0,13.716682743175546,15.414451389001199,17.107936003998883,17.17691797274757,17.443529454602054,17.442355569904706
bc24,20.116008064341784,18.343713502168537,18.343713502168537,18.343713502168537,11.085931087833938,11.099532927789499,10.085427743490046,10.087619562709659,16.4936823061671,15.395953383634682,15.397169582986056,16.037747696780855,13.631479482247123,13.716682743175546,0.0,14.169854075983336,18.147832134744633,18.208466656667337,18.992018672544557,18.992163336422283
bc48,20.352271610516084,16.474650862156608,16.474650862156608,16.474650862156608,8.818938113069509,8.833929724963541,5.805562093086122,5.807854381053894,17.98096315247232,17.1622779606266,17.164443918819554,11.458413310093674,15.385091474901706,15.414451389001199,14.169854075983336,0.0,18.092618027234728,18.16561501348286,13.744845296927448,13.745023741903918
7/8,20.480863226664408,19.574818470918142,19.574818470918142,19.574818470918142,16.36306345389738,16.424598790861626,16.518507312878985,16.5195260249062,18.882717758438968,17.141362254184585,17.142742529157847,17.620692566203356,17.028098768411212,17.107936003998883,18.147832134744633,18.092618027234728,0.0,1.3672125465302953,20.49782686816184,20.497933907194227
7/4,20.54766342497029,19.639320663359058,19.639320663359058,19.639320663359058,16.455206817581992,16.52334500958803,16.59726391809414,16.596165755682783,19.02982227145539,17.266593381186848,17.267564185501048,17.657037815202585,17.098040149791597,17.17691797274757,18.208466656667337,18.16561501348286,1.3672125465302953,0.0,20.50334528475414,20.503163039649465
12/8,21.776635123760855,17.80883910546684,17.80883910546684,17.80883910546684,15.783967050026083,15.794776561009764,14.11464520299275,14.116202942456754,19.907667207721715,20.787125834213324,20.79267975673984,11.75198360527316,17.41934447086152,17.443529454602054,18.992018672544557,13.744845296927448,20.49782686816184,20.50334528475414,0.0,0.05704803180007531
12/4,21.7767849927804,17.809039359189892,17.809039359189892,17.809039359189892,15.782122759050464,15.79293725866541,14.114822531879518,14.115769675035166,19.908149675302838,20.787260867929742,20.792464477536758,11.75139858981556,17.419447696853094,17.442355569904706,18.992163336422283,13.745023741903918,20.497933907194227,20.503163039649465,0.05704803180007531,0.0
