,bc16,bc4,bc8,6/8,6/4,bc48,bc12,5/8,5/4,9/8,9/4,2/4,2/2,12/8,12/4,4/4,bc24,3/4,7/8,7/4
bc16,0.0,0.0,0.0,16.195369411495964,16.19716226031538,16.474650862156608,16.688555934928594,16.864219397332974,16.881116206100554,17.072239322332894,17.07614878442352,17.120437965037727,17.123362155032957,17.80883910546684,17.809039359189892,17.83270770573841,18.343713502168537,18.441503713272436,19.574818470918142,19.639320663359058
bc4,0.0,0.0,0.0,16.195369411495964,16.19716226031538,16.474650862156608,16.688555934928594,16.864219397332974,16.881116206100554,17.072239322332894,17.07614878442352,17.120437965037727,17.123362155032957,17.80883910546684,17.809039359189892,17.83270770573841,18.343713502168537,18.441503713272436,19.574818470918142,19.639320663359058
bc8,0.0,0.0,0.0,16.195369411495964,16.19716226031538,16.474650862156608,16.688555934928594,16.864219397332974,16.881116206100554,17.072239322332894,17.07614878442352,17.120437965037727,17.123362155032957,17.80883910546684,17.809039359189892,17.83270770573841,18.343713502168537,18.441503713272436,19.574818470918142,19.639320663359058
6/8,16.195369411495964,16.195369411495964,16.195369411495964,0.0,0.17943368156025197,5.805562093086122,18.58334321193376,14.2818757524909,14.325733683390066,14.89091630905358,14.892934539049765,6.395661325812598,6.419258952444759,14.11464520299275,14.114822531879518,11.28344039508639,10.085427743490046,16.067330323462215,16.518507312878985,16.59726391809414
6/4,16.19716226031538,16.19716226031538,16.19716226031538,0.17943368156025197,0.0,5.807854381053894,18.584736198690763,14.283062507618181,14.322829817394481,14.892395850511972,14.892948876552977,6.37917566937267,6.403063821310861,14.116202942456754,14.115769675035166,11.282811674395193,10.087619562709659,16.07069673664522,16.5195260249062,16.596165755682783
bc48,16.474650862156608,16.474650862156608,16.474650862156608,5.805562093086122,5.807854381053894,0.0,20.352271610516084,15.385091474901706,15.414451389001199,17.1622779606266,17.164443918819554,8.818938113069509,8.833929724963541,13.744845296927448,13.745023741903918,11.458413310093674,14.169854075983336,17.98096315247232,18.092618027234728,18.16561501348286
bc12,16.688555934928594,16.688555934928594,16.688555934928594,18.58334321193376,18.584736198690763,20.352271610516084,0.0,19.512739497327257,19.560502042850658,19.152938618528136,19.155104687511,17.256390552873274,17.264174578147514,21.776635123760855,21.7767849927804,19.477864685334172,20.116008064341784,18.976483274721954,20.480863226664408,20.54766342497029
5/8,16.864219397332974,16.864219397332974,16.864219397332974,14.2818757524909,14.283062507618181,15.385091474901706,19.512739497327257,0.0,1.362698728389227,15.621588067027751,15.624532000066752,13.968639800234874,13.974978003832206,17.41934447086152,17.419447696853094,16.393690096262397,13.631479482247123,16.23555057577915,17.028098768411212,17.098040149791597
5/4,16.881116206100554,16.881116206100554,16.881116206100554,14.325733683390066,14.322829817394481,15.414451389001199,19.560502042850658,1.362698728389227,0.0,15.653681702102704,15.654511130121422,13.957798367904088,13.963206745795393,17.443529454602054,17.442355569904706,16.410347637831,13.716682743175546,16.147189427096983,17.107936003998883,17.17691797274757
9/8,17.072239322332894,17.072239322332894,17.072239322332894,14.89091630905358,14.892395850511972,17.1622779606266,19.152938618528136,15.621588067027751,15.653681702102704,0.0,0.200175665698408,16.138462993094404,16.09718840529633,20.787125834213324,20.787260867929742,18.42366258351994,15.395953383634682,9.578912003015876,17.141362254184585,17.266593381186848
9/4,17.07614878442352,17.07614878442352,17.07614878442352,14.892934539049765,14.892948876552977,17.164443918819554,19.155104687511,15.624532000066752,15.654511130121422,0.200175665698408,0.0,16.13632104891534,16.095115735745466,20.79267975673984,20.792464477536758,18.42306882095588,15.397169582986056,9.580027917893737,17.142742529157847,17.267564185501048
