,c12,6/8,12/8,6/4,c6,9/8,2/2,4/4,c2,c4,c8,2/4,3/4,9/4,12/4,c3,5/8,7/4,7/8,5/4
c12,0.0,5.8070384362021255,12.51282266534468,13.447276588709425,14.4253452291444,16.46878755693057,16.589661368415243,16.589661368415243,16.688555934928594,16.688555934928594,16.688555934928594,16.69390255421013,16.949559310352193,17.09199415971986,17.744975132146173,20.48020777421953,21.699889331682517,25.077354427586794,34.021245085667665,34.384636601189634
6/8,5.8070384362021255,0.0,12.524315356422848,14.09983663424629,10.528083137635672,14.959413871831158,16.353206557271825,16.353206557271825,16.443057672920688,16.443057672920688,16.443057672920688,16.427084826636968,19.138310024481502,17.304401555270093,17.749168896501704,18.784284473758003,21.092569834596933,25.62511733122233,36.06434781931511,35.55850362997119
12/8,12.51282266534468,12.524315356422848,0.0,9.637393043132661,17.619181300923326,20.705711544837758,17.850828662621215,17.850828662621215,17.931504801074638,17.931504801074638,17.931504801074638,17.94303323255838,22.957099465957935,20.060721408527883,14.2321979164725,21.599640050393543,25.55795116789392,24.828645223407875,37.173356518992804,36.915252557914904
6/4,13.447276588709425,14.09983663424629,9.637393043132661,0.0,19.426713822445752,23.000457607124755,18.401404183515773,18.401404183515773,18.50200164121698,18.50200164121698,18.50200164121698,18.50578478805124,22.898955162697447,21.32478376973932,11.238987135435892,22.508173060087884,24.89383483838249,24.761561058104085,36.50422715655989,36.204678305421304
c6,14.4253452291444,10.528083137635672,17.619181300923326,19.426713822445752,0.0,14.821969685768602,18.578506662781944,18.578506662781944,18.63718150838853,18.63718150838853,18.63718150838853,18.617480552722668,24.51779475602692,21.495676523734478,21.433103355061352,20.42035224833365,21.96947311156521,27.72584539043654,38.73330130886836,34.30162867422132
9/8,16.46878755693057,14.959413871831158,20.705711544837758,23.000457607124755,14.821969685768602,0.0,18.594701189755288,18.594701189755288,18.603997672383628,18.603997672383628,18.603997672383628,18.593341538180585,24.481799478143923,21.70201885681352,24.246145903897418,21.41791435227951,24.530438325091687,29.510552349524016,37.222109712419005,36.584387410995475
2/2,16.589661368415243,16.353206557271825,17.850828662621215,18.401404183515773,18.578506662781944,18.594701189755288,0.0,0.0,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.6843871413472937,28.432970106639296,19.978995049958215,17.298453082751973,16.713855198491018,18.46107393830861,25.265820088582135,34.010535245597595,35.1561443320996
4/4,16.589661368415243,16.353206557271825,17.850828662621215,18.401404183515773,18.578506662781944,18.594701189755288,0.0,0.0,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.6843871413472937,28.432970106639296,19.978995049958215,17.298453082751973,16.713855198491018,18.46107393830861,25.265820088582135,34.010535245597595,35.1561443320996
c2,16.688555934928594,16.443057672920688,17.931504801074638,18.50200164121698,18.63718150838853,18.603997672383628,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,0.42247283489375725,28.523596276963243,19.934063089033614,17.274858561808653,16.738726381615233,18.457004285366466,25.347988238011173,34.0630603144222,35.14326771784524
c4,16.688555934928594,16.443057672920688,17.931504801074638,18.50200164121698,18.63718150838853,18.603997672383628,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,0.42247283489375725,28.523596276963243,19.934063089033614,17.274858561808653,16.738726381615233,18.457004285366466,25.347988238011173,34.0630603144222,35.14326771784524
c8,16.688555934928594,16.443057672920688,17.931504801074638,18.50200164121698,18.63718150838853,18.603997672383628,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,0.42247283489375725,28.523596276963243,19.934063089033614,17.274858561808653,16.738726381615233,18.457004285366466,25.347988238011173,34.0630603144222,35.14326771784524
2/4,16.69390255421013,16.427084826636968,17.94303323255838,18.50578478805124,18.617480552722668,18.593341538180585,0.6843871413472937,0.6843871413472937,0.42247283489375725,0.42247283489375725,0.42247283489375725,0.0,28.523456686478596,19.937734219401737,17.279784262109146,16.71166713629612,18.477226060803872,25.34666740515811,34.057016770868444,35.18845094481881
3/4,16.949559310352193,19.138310024481502,22.957099465957935,22.898955162697447,24.51779475602692,24.481799478143923,28.432970106639296,28.432970106639296,28.523596276963243,28.523596276963243,28.523596276963243,28.523456686478596,0.0,26.149157591027354,27.24092276646472,29.270809188141307,29.156415720450376,27.936758925379312,30.69617890438257,34.125076228529075
9/4,17.09199415971986,17.304401555270093,20.060721408527883,21.32478376973932,21.495676523734478,21.70201885681352,19.978995049958215,19.978995049958215,19.934063089033614,19.934063089033614,19.934063089033614,19.937734219401737,26.149157591027354,0.0,20.24135471340572,23.985603366378804,25.672642935938065,30.88208204869528,38.67192816632699,37.541295556916005
12/4,17.744975132146173,17.749168896501704,14.2321979164725,11.238987135435892,21.433103355061352,24.246145903897418,17.298453082751973,17.298453082751973,17.274858561808653,17.274858561808653,17.274858561808653,17.279784262109146,27.24092276646472,20.24135471340572,0.0,22.610055528103516,24.402031991131086,27.69901165497887,37.53756644426048,35.95347786062469
c3,20.48020777421953,18.784284473758003,21.599640050393543,22.508173060087884,20.42035224833365,21.41791435227951,16.713855198491018,16.713855198491018,16.738726381615233,16.738726381615233,16.738726381615233,16.71166713629612,29.270809188141307,23.985603366378804,22.610055528103516,0.0,23.64756809627998,28.49227524949842,42.709933591496714,38.96976251498342
5/8,21.699889331682517,21.092569834596933,25.55795116789392,24.89383483838249,21.96947311156521,24.530438325091687,18.46107393830861,18.46107393830861,18.457004285366466,18.457004285366466,18.457004285366466,18.477226060803872,29.156415720450376,25.672642935938065,24.402031991131086,23.64756809627998,0.0,29.55751784145341,37.83840210519596,30.85212169450442
