,c6,6/8,9/8,c12,12/8,2/2,4/4,2/4,c2,c4,c8,c3,9/4,12/4,3/4,5/4,7/8,5/8,6/4,7/4
c6,0.0,10.528083137635672,12.560415279763731,14.4253452291444,14.562565122421637,18.578506662781944,18.578506662781944,18.617480552722668,18.63718150838853,18.63718150838853,18.63718150838853,20.42035224833365,20.49928878953114,21.433103355061352,24.51779475602692,63.44915543766829,73.12317974576075,73.22662902051425,96.78010656620876,100.27450467276792
6/8,10.528083137635672,0.0,13.781546657620135,5.8070384362021255,9.848711697143274,16.353206557271825,16.353206557271825,16.427084826636968,16.443057672920688,16.443057672920688,16.443057672920688,18.784284473758003,14.634067190198394,17.749168896501704,19.138310024481502,63.33983271086332,71.98160790976422,70.91986401896361,95.98675297980469,100.29627274830392
9/8,12.560415279763731,13.781546657620135,0.0,15.723565185614781,18.041858689039085,18.71223031977708,18.71223031977708,18.71087920861897,18.72146844128829,18.72146844128829,18.72146844128829,20.887286071680467,25.12976932804655,23.97073776295571,23.819892269157673,63.19952163891531,71.87584422485757,72.7396298522928,96.7674041621568,99.72744672757608
c12,14.4253452291444,5.8070384362021255,15.723565185614781,0.0,10.620486506175398,16.589661368415243,16.589661368415243,16.69390255421013,16.688555934928594,16.688555934928594,16.688555934928594,20.48020777421953,13.136584843896314,17.744975132146173,16.949559310352193,62.43108456975038,71.1445217750998,71.09453373116379,94.84167866343871,101.41844158035813
12/8,14.562565122421637,9.848711697143274,18.041858689039085,10.620486506175398,0.0,18.973703499189217,18.973703499189217,19.060476964587757,19.049624798505842,19.049624798505842,19.049624798505842,22.05929410361088,17.384010904699835,19.65724461729065,21.51842978442242,64.63988519720724,71.84254119872848,73.33173786365381,96.20724587232432,101.06602503353285
2/2,18.578506662781944,16.353206557271825,18.71223031977708,16.589661368415243,18.973703499189217,0.0,0.0,0.6843871413472937,0.5984002533353978,0.5984002533353978,0.5984002533353978,16.713855198491018,23.073251396666382,17.298453082751973,28.432970106639296,66.541033086484,68.64601333328093,70.25375713547841,96.88655103907695,99.03911692077037
4/4,18.578506662781944,16.353206557271825,18.71223031977708,16.589661368415243,18.973703499189217,0.0,0.0,0.6843871413472937,0.5984002533353978,0.5984002533353978,0.5984002533353978,16.713855198491018,23.073251396666382,17.298453082751973,28.432970106639296,66.541033086484,68.64601333328093,70.25375713547841,96.88655103907695,99.03911692077037
2/4,18.617480552722668,16.427084826636968,18.71087920861897,16.69390255421013,19.060476964587757,0.6843871413472937,0.6843871413472937,0.0,0.42247283489375725,0.42247283489375725,0.42247283489375725,16.71166713629612,23.226953296490688,17.279784262109146,28.523456686478596,66.57169606220324,68.65400061028147,70.24950251718998,96.91181123058229,99.01026284366174
c2,18.63718150838853,16.443057672920688,18.72146844128829,16.688555934928594,19.049624798505842,0.5984002533353978,0.5984002533353978,0.42247283489375725,0.0,0.0,0.0,16.738726381615233,23.22380211919291,17.274858561808653,28.523596276963243,66.56973461566977,68.64074287239033,70.26494426391287,96.89999088107824,99.02146244570683
c4,18.63718150838853,16.443057672920688,18.72146844128829,16.688555934928594,19.049624798505842,0.5984002533353978,0.5984002533353978,0.42247283489375725,0.0,0.0,0.0,16.738726381615233,23.22380211919291,17.274858561808653,28.523596276963243,66.56973461566977,68.64074287239033,70.26494426391287,96.89999088107824,99.02146244570683
c8,18.63718150838853,16.443057672920688,18.72146844128829,16.688555934928594,19.049624798505842,0.5984002533353978,0.5984002533353978,0.42247283489375725,0.0,0.0,0.0,16.738726381615233,23.22380211919291,17.274858561808653,28.523596276963243,66.56973461566977,68.64074287239033,70.26494426391287,96.89999088107824,99.02146244570683
c3,20.42035224833365,18.784284473758003,20.887286071680467,20.48020777421953,22.05929410361088,16.713855198491018,16.713855198491018,16.71166713629612,16.738726381615233,16.738726381615233,16.738726381615233,0.0,25.53235502898003,22.610055528103516,29.270809188141307,66.08960573738835,63.19047764538673,73.7474672499092,105.70450520065631,91.7618155087537
9/4,20.49928878953114,14.634067190198394,25.12976932804655,13.136584843896314,17.384010904699835,23.073251396666382,23.073251396666382,23.226953296490688,23.22380211919291,23.22380211919291,23.22380211919291,25.53235502898003,0.0,23.16025617402624,20.59193140664261,64.84921498919671,73.24001522798375,72.89617995641822,96.07111056099109,103.28520803712327
12/4,21.433103355061352,17.749168896501704,23.97073776295571,17.744975132146173,19.65724461729065,17.298453082751973,17.298453082751973,17.279784262109146,17.274858561808653,17.274858561808653,17.274858561808653,22.610055528103516,23.16025617402624,0.0,27.24092276646472,66.46745684851636,71.40740173773544,71.75552553342835,95.59612015217786,100.7357551333643
3/4,24.51779475602692,19.138310024481502,23.819892269157673,16.949559310352193,21.51842978442242,28.432970106639296,28.432970106639296,28.523456686478596,28.523596276963243,28.523596276963243,28.523596276963243,29.270809188141307,20.59193140664261,27.24092276646472,0.0,52.95788154685906,75.90720737924106,68.12123674913505,93.7224930852163,105.34600276491938
5/4,63.44915543766829,63.33983271086332,63.19952163891531,62.43108456975038,64.63988519720724,66.541033086484,66.541033086484,66.57169606220324,66.56973461566977,66.56973461566977,66.56973461566977,66.08960573738835,64.84921498919671,66.46745684851636,52.95788154685906,0.0,115.16689450201777,54.36141438006295,80.21937409290334,143.98772718516446
