Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,bc3,bc6,bc12,bc2,bc4,bc8
2/2,0.0,0.9816719338482303,16.754782826944428,12.262429079719205,13.963206745795393,6.403063821310861,16.52334500958803,16.095115735745466,15.79293725866541,13.974978003832206,6.419258952444759,16.424598790861626,16.09718840529633,15.794776561009764,22.119667093676142,20.89788595635358,17.264174578147514,17.123362155032957,17.123362155032957,17.123362155032957
2/4,0.9816719338482303,0.0,16.78539969070689,12.245661643465748,13.957798367904088,6.37917566937267,16.455206817581992,16.13632104891534,15.782122759050464,13.968639800234874,6.395661325812598,16.36306345389738,16.138462993094404,15.783967050026083,22.317309544352703,20.89021265567216,17.256390552873274,17.120437965037727,17.120437965037727,17.120437965037727
3/4,16.754782826944428,16.78539969070689,0.0,16.70573267231576,16.147189427096983,16.07069673664522,19.02982227145539,9.580027917893737,19.908149675302838,16.23555057577915,16.067330323462215,18.882717758438968,9.578912003015876,19.907667207721715,23.473424681025353,22.057428857055882,18.976483274721954,18.441503713272436,18.441503713272436,18.441503713272436
4/4,12.262429079719205,12.245661643465748,16.70573267231576,0.0,16.410347637831,11.282811674395193,17.657037815202585,18.42306882095588,11.75139858981556,16.393690096262397,11.28344039508639,17.620692566203356,18.42366258351994,11.75198360527316,23.27697099107639,22.646883711821058,19.477864685334172,17.83270770573841,17.83270770573841,17.83270770573841
5/4,13.963206745795393,13.957798367904088,16.147189427096983,16.410347637831,0.0,14.322829817394481,17.17691797274757,15.654511130121422,17.442355569904706,1.362698728389227,14.325733683390066,17.107936003998883,15.653681702102704,17.443529454602054,22.671172674632285,22.50966766251088,19.560502042850658,16.881116206100554,16.881116206100554,16.881116206100554
6/4,6.403063821310861,6.37917566937267,16.07069673664522,11.282811674395193,14.322829817394481,0.0,16.596165755682783,14.892948876552977,14.115769675035166,14.283062507618181,0.17943368156025197,16.5195260249062,14.892395850511972,14.116202942456754,22.20525228487399,21.694504179682507,18.584736198690763,16.19716226031538,16.19716226031538,16.19716226031538
7/4,16.52334500958803,16.455206817581992,19.02982227145539,17.657037815202585,17.17691797274757,16.596165755682783,0.0,17.267564185501048,20.503163039649465,17.098040149791597,16.59726391809414,1.3672125465302953,17.266593381186848,20.50334528475414,24.539703943176374,23.875226304900902,20.54766342497029,19.639320663359058,19.639320663359058,19.639320663359058
9/4,16.095115735745466,16.13632104891534,9.580027917893737,18.42306882095588,15.654511130121422,14.892948876552977,17.267564185501048,0.0,20.792464477536758,15.624532000066752,14.892934539049765,17.142742529157847,0.200175665698408,20.79267975673984,22.813687855080705,22.36580399963445,19.155104687511,17.07614878442352,17.07614878442352,17.07614878442352
12/4,15.79293725866541,15.782122759050464,19.908149675302838,11.75139858981556,17.442355569904706,14.115769675035166,20.503163039649465,20.792464477536758,0.0,17.419447696853094,14.114822531879518,20.497933907194227,20.787260867929742,0.05704803180007531,23.807760755207912,23.994587220168903,21.7767849927804,17.809039359189892,17.809039359189892,17.809039359189892
5/8,13.974978003832206,13.968639800234874,16.23555057577915,16.393690096262397,1.362698728389227,14.283062507618181,17.098040149791597,15.624532000066752,17.419447696853094,0.0,14.2818757524909,17.028098768411212,15.621588067027751,17.41934447086152,22.782584547499148,22.667047751495293,19.512739497327257,16.864219397332974,16.864219397332974,16.864219397332974
